name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Mug bouteille Isotherme 12 H - Acier Inoxydable - 350 ml - CA820180,1 900 FCFA,https://www.jumia.sn/canette-isotherme-acier-inoxydable-350-ml-generic-mpg7654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/7601/1.jpg?4593,False,13 000 FCFA,85%,3.3 out of 5,(51)
Generic Thermos-Mug Isotherme - Inoxydable - Boisson chaude et froide - 500ml,3 500 FCFA,https://www.jumia.sn/thermos-mug-isotherme-acier-inoxydable-boisson-chaude-et-froide-500ml-b-generic-mpg45669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/09489/1.jpg?4652,False,5 000 FCFA,30%,4.4 out of 5,(13)
Generic Thermos-Mug Isotherme Nice Day Boisson chaude et froide multucouleure - 450 ml,4 900 FCFA,https://www.jumia.sn/thermos-mug-isotherme-nice-day-boisson-chaude-et-froide-multucouleure-450-ml-generic-mpg35866.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/66774/1.jpg?6688,False,,,3.8 out of 5,(13)
White Label Set de 6 verres de Boisson - Long Drink Lux - 600 ml - CA820200,2 000 FCFA,https://www.jumia.sn/white-label-set-de-6-verres-de-boisson-long-drink-lux-600-ml-ca820200-89033.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/098/1.jpg?7141,False,6 000 FCFA,67%,4.1 out of 5,(30)
Generic Thermos-Mug Isotherme -Acier Inoxydable - Boisson chaude et froide - 500ml,5 000 FCFA,https://www.jumia.sn/generic-thermos-mug-isotherme-acier-inoxydable-boisson-chaude-et-froide-500ml-9902048.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/02099/1.jpg?2670,False,,,,
White Label Ensemble Théière + Tasse en Verre - Recouvert de Plastique,3 399 FCFA,https://www.jumia.sn/white-label-ensemble-theiere-tasse-en-verre-recouvert-de-plastique-9843055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/03489/1.jpg?4133,False,9 000 FCFA,62%,,
Generic Set de 6 verre a eau CA820659,3 500 FCFA,https://www.jumia.sn/generic-set-de-6-verre-a-eau-ca820659-9898230.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/28989/1.jpg?3288,False,20 000 FCFA,83%,3.5 out of 5,(2)
"Generic Couvercle Silicone Alimentaire, 6 pcs",1 400 FCFA,https://www.jumia.sn/generic-couvercle-silicone-alimentaire-6-pcs-9850204.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/20589/1.jpg?2077,False,5 000 FCFA,72%,3 out of 5,(1)
Generic Plateau Petit Déjeuner - Repliable en Bambou - CA820400,12 900 FCFA,https://www.jumia.sn/generic-plateau-petit-dejeuner-repliable-en-bambou-ca820400-3088527.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/58803/1.jpg?9501,False,30 000 FCFA,57%,4.3 out of 5,(43)
Generic Verre à boisson - 6 Pièces- Verre-Transparent,4 400 FCFA,https://www.jumia.sn/verre-a-boisson-6-pieces-verre-transparent-generic-mpg43424.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/58778/1.jpg?5315,False,5 900 FCFA,25%,4.3 out of 5,(4)
Generic Tasse café céramique+coussin chauffant,7 400 FCFA,https://www.jumia.sn/tasse-cafe-ceramiquecoussin-chauffant-generic-mpg46240.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/11589/1.jpg?9977,False,,,,
Generic Ensemble Verrerie 6 coupe de verres,5 540 FCFA,https://www.jumia.sn/ensemble-verrerie-6-coupe-de-verres-generic-mpg30486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/42416/1.jpg?7410,False,8 400 FCFA,34%,4.5 out of 5,(4)
Generic Thermos-Mug Isotherme -Acier Inoxydable - Boisson chaude et froide - 500ml bl0,3 900 FCFA,https://www.jumia.sn/thermos-mug-isotherme-acier-inoxydable-boisson-chaude-et-froide-500ml-bl0-generic-mpg35851.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/93879/1.jpg?9243,False,10 000 FCFA,61%,3.9 out of 5,(19)
Generic Ciseaux de Cuisine - En Acier Inox - CA820234,1 350 FCFA,https://www.jumia.sn/ciseaux-de-cuisine-en-acier-inox-noir-vert-generic-mpg1478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/518/1.jpg?6830,False,6 000 FCFA,78%,4.2 out of 5,(30)
Generic Thermos-Mug Isotherme -Acier Inoxydable - Boisson chaude et froide,3 200 FCFA,https://www.jumia.sn/thermos-mug-isotherme-acier-inoxydable-boisson-chaude-et-froide-generic-mpg35841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/42488/1.jpg?2398,False,10 000 FCFA,68%,5 out of 5,(2)
White Label Lot 12 Torchons de Service - Bleu-rouge-orange-vert,4 900 FCFA,https://www.jumia.sn/white-label-lot-12-torchons-de-service-bleu-rouge-orange-vert-5078506.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/58705/1.jpg?0957,False,,,3.9 out of 5,(10)
