name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Original Rechange de Filtre à Eau 24 et 16L,5 000 FCFA,https://www.jumia.sn/original-rechange-de-filtre-a-eau-24-et-16l-467384.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3764/1.jpg?0202,False,,,,
Generic Garden Patio Parasol Umbrella Cover Bag Green Fit 7ft Umbrella +Draw String Neck,1 795 FCFA,https://www.jumia.sn/generic-garden-patio-parasol-umbrella-cover-bag-green-fit-7ft-umbrella-draw-string-neck-1767834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/87671/1.jpg?4463,False,3 520 FCFA,49%,,
"Generic 200LED-22m-Guirlande LED Solaire Avec, étanche, éclairage Extérieur, éclairage Décoratif, Guirlande Lumineuse, Décoration Pour Le Jardin Ou Pour Noël (lumière Chaude)",6 990 FCFA,https://www.jumia.sn/generic-200led-22m-guirlande-led-solaire-avec-etanche-eclairage-exterieur-eclairage-decoratif-guirlande-lumineuse-decoration-pour-le-jardin-ou-pour-noel-lumiere-chaude-9825374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/35289/1.jpg?5397,True,10 990 FCFA,36%,,
Generic 30/40/50/60/100A Solaire MPPT régulateur de charge Double USB écran lcd 12 V 24 V Auto panneau de commande Chargeur Régulateur Avec Charge,16 711 FCFA,https://www.jumia.sn/generic-30405060100a-solaire-mppt-regulateur-de-charge-double-usb-ecran-lcd-12-v-24-v-auto-panneau-de-commande-chargeur-regulateur-avec-charge-3662219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/22663/1.jpg?0923,False,32 767 FCFA,49%,4 out of 5,(1)
Other Mini projecteur solaire + Panneau intégré 0.55w + Detecteur de mouvement,13 000 FCFA,https://www.jumia.sn/other-mini-projecteur-solaire-panneau-integre-0.55w-detecteur-de-mouvement-3205625.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/65023/1.jpg?5779,True,,,,
Generic Kit Arche de Ballons 97 pièces – Rose Gold Gris,7 900 FCFA,https://www.jumia.sn/generic-kit-arche-de-ballons-97-pieces-rose-gold-gris-9794932.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/94979/1.jpg?5846,False,25 000 FCFA,68%,2 out of 5,(1)
Oe Mini Projecteur Solaire avec Détecteur de Mouvement,2 600 FCFA,https://www.jumia.sn/mini-projecteur-solaire-avec-detecteur-de-mouvement-oe-mpg37095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/24439/1.jpg?0189,False,5 000 FCFA,48%,5 out of 5,(2)
Fashion Fontaine à eau,15 800 FCFA,https://www.jumia.sn/fashion-fontaine-a-eau-9838342.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/38389/1.jpg?8967,False,30 000 FCFA,47%,,
Generic Tapis De Prière de Poche Avec Boussole Noir,3 500 FCFA,https://www.jumia.sn/generic-tapis-de-priere-de-poche-avec-boussole-noir-9992228.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/22999/1.jpg?9751,False,8 000 FCFA,56%,,
Generic Tapis De Prière de Poche Avec Boussole Noir,3 500 FCFA,https://www.jumia.sn/generic-tapis-de-priere-de-poche-avec-boussole-noir-9992225.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/22999/1.jpg?9750,False,8 000 FCFA,56%,,
Generic Bird Feeder With Red Transparent Poly- Arbonate Tube Hummingbird Feeders-red+transparent-40 M,67 990 FCFA,https://www.jumia.sn/generic-bird-feeder-with-red-transparent-poly-arbonate-tube-hummingbird-feeders-redtransparent-40-m-9302263.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/22039/1.jpg?8178,False,135 980 FCFA,50%,,
Tania Projecteur LED Rechargeable 20W - Portatif - Multifonctionnel,24 210 FCFA,https://www.jumia.sn/tania-projecteur-led-rechargeable-20w-portatif-multifonctionnel-1213217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/23121/1.jpg?4628,False,26 900 FCFA,10%,5 out of 5,(1)
Generic Tapis De Prière de Poche Avec Boussole Noir,3 500 FCFA,https://www.jumia.sn/generic-tapis-de-priere-de-poche-avec-boussole-noir-9993176.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/13999/1.jpg?2865,False,8 000 FCFA,56%,,
