name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Réveil Numérique à 7 Couleurs à LED,2 900 FCFA,https://www.jumia.sn/generic-reveil-numerique-a-7-couleurs-a-led-9801083.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/01089/1.jpg?9396,True,5 686 FCFA,49%,2.7 out of 5,(3)
Generic 12PCS 3D Aimant Papillon DIY Stickers - random color,890 FCFA,https://www.jumia.sn/generic-12pcs-3d-aimant-papillon-diy-stickers-random-color-9801081.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/01089/1.jpg?9398,True,1 745 FCFA,49%,4.3 out of 5,(3)
Generic Chaud Nouveau Réveil Rétro-éclairage Grand Affichage électronique LCD Réveil Numérique--Noir,5 990 FCFA,https://www.jumia.sn/generic-chaud-nouveau-reveil-retro-eclairage-grand-affichage-electronique-lcd-reveil-numerique-noir-9433465.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/43349/1.jpg?2261,True,11 745 FCFA,49%,4 out of 5,(1)
Generic 12PCS 3D Aimant Papillon DIY Stickers,790 FCFA,https://www.jumia.sn/generic-12pcs-3d-aimant-papillon-diy-stickers-9801080.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/01089/1.jpg?9396,True,1 549 FCFA,49%,3 out of 5,(1)
"Generic Bas de Porte Isolant, Bande d’étanchéité porte – Contre la poussière et les rampants",5 000 FCFA,https://www.jumia.sn/generic-bas-de-porte-isolant-bande-detancheite-porte-contre-la-poussiere-et-les-rampants-9927263.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/27299/1.jpg?2461,False,7 000 FCFA,29%,1 out of 5,(1)
Generic 18 pièces Autocollant à motif papillon - OR,1 980 FCFA,https://www.jumia.sn/generic-18-pieces-autocollant-a-motif-papillon-or-9944313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/34499/1.jpg?2510,False,3 800 FCFA,48%,,
Generic Rideau pour Salon ou chambre - Grise,21 000 FCFA,https://www.jumia.sn/rideau-pour-salon-ou-chambre-grise-generic-mpg35152.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/56489/1.jpg?0906,False,50 000 FCFA,58%,4.7 out of 5,(3)
Generic Horloge Murale - 3D - DIY - Argent,10 480 FCFA,https://www.jumia.sn/horloge-murale-3d-diy-argent-generic-mpg46513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/72588/1.jpg?0206,True,18 176 FCFA,42%,4.5 out of 5,(6)
"Generic Lampe LED De Nuit étoilée, Projecteur De Ciel étoilé Romantique, Lampe De Chambre à Coucher",4 900 FCFA,https://www.jumia.sn/generic-lampe-led-de-nuit-etoilee-projecteur-de-ciel-etoile-romantique-lampe-de-chambre-a-coucher-9826917.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/96289/1.jpg?4268,True,7 990 FCFA,39%,,
Generic Lamp led veilleuse de nuit avec capteur de mouvement,4 200 FCFA,https://www.jumia.sn/lamp-led-veilleuse-de-nuit-avec-capteur-de-mouvement-generic-mpg33974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/50089/1.jpg?7804,False,,,3 out of 5,(3)
Eissely Mini Boîte à Musique Vintage avec Boîte à Bijoux - Boîte Déco de Table Style Machine à Coudre,7 400 FCFA,https://www.jumia.sn/eissely-mini-boite-a-musique-vintage-avec-boite-a-bijoux-boite-deco-de-table-style-machine-a-coudre-144397.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/3441/1.jpg?5187,False,14 510 FCFA,49%,3 out of 5,(1)
Generic Brûleur d'encens en céramique avec couvercle en laiton,2 719 FCFA - 2 788 FCFA,https://www.jumia.sn/bruleur-dencens-en-ceramique-avec-couvercle-en-laiton-generic-mpg28442.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/69316/1.jpg?7412,False,15 000 FCFA,82%,4 out of 5,(4)
Generic 3D Horloge Effet Miroir Mural Sticker Mural DIY Horloges - Murales Amovible Art Decal Autocollant Maison Salon Décor Artisanat,8 840 FCFA,https://www.jumia.sn/generic-3d-horloge-effet-miroir-mural-sticker-mural-diy-horloges-murales-amovible-art-decal-autocollant-maison-salon-decor-artisanat-9802449.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/42089/1.jpg?1994,True,18 880 FCFA,53%,,
Generic Verre avec paille 450ml Mason Jar,1 900 FCFA,https://www.jumia.sn/generic-verre-avec-paille-450ml-mason-jar-9828154.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/18289/1.jpg?8046,False,6 900 FCFA,72%,,
3D Wall Clock Horloge Murale - Taille Large - Noire avec des Chiffres,18 000 FCFA,https://www.jumia.sn/3d-wall-clock-horloge-murale-taille-large-noire-avec-des-chiffres-14965.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/941/1.jpg?2284,False,19 000 FCFA,5%,4.1 out of 5,(11)
Original Encens Mamool Misk al oudh de Qualité Supérieur 100g,2 450 FCFA,https://www.jumia.sn/encens-mamool-misk-al-oudh-de-qualite-superieur-100g-original-mpg45817.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/78389/1.jpg?4326,False,4 500 FCFA,46%,,
Generic Diffuseur D'huile Essentielle Bureau Brumisateur,5 250 FCFA,https://www.jumia.sn/diffuseur-dhuile-essentielle-bureau-brumisateur-generic-mpg13242.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/85149/1.jpg?3205,False,15 000 FCFA,65%,3.4 out of 5,(34)
Generic Tapis de Prière - en Velours - Multicolore,6 693 FCFA - 6 900 FCFA,https://www.jumia.sn/tapis-de-priere-en-velours-multicolore-generic-mpg41841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/79729/1.jpg?3453,False,15 000 FCFA,55%,,
