name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Déodorant Spray Original - 250ML,1 770 FCFA,https://www.jumia.sn/deodorant-48h-anti-transpirant-spray-de-200ml-dove-mpg30695.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/53219/1.jpg?1626,True,,,2.7 out of 5,(3)
Axe Déodorant Axe Black Pour Homme- 150 ml,1 700 FCFA,https://www.jumia.sn/deodorant-axe-black-0-sels-daluminium-150-ml-axe-mpg10165.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5474/1.jpg?0152,False,,,5 out of 5,(1)
Rexona déodorant men sensitive - 200 ML,1 700 FCFA,https://www.jumia.sn/rexona-deodorant-men-sensitive-200-ml-rexona-mpg16993.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/33042/1.jpg?6646,False,,,,
Rexona Déodorant Femme Spray Fresh - 200ML,1 830 FCFA,https://www.jumia.sn/rexona-deodorant-femme-spray-fresh-200ml-9123578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/53219/1.jpg?7153,True,,,5 out of 5,(2)
Evoluderm Déodorant Exaltant Monoï à la Folie - 200 ml,1 480 FCFA,https://www.jumia.sn/evoluderm-deodorant-exaltant-monoi-a-la-folie-200-ml-9906827.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/86099/1.jpg?3930,True,2 500 FCFA,41%,,
Evoluderm Déodorant Cocooning Exquise Vanille,1 480 FCFA,https://www.jumia.sn/evoluderm-deodorant-cocooning-exquise-vanille-9906826.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/86099/1.jpg?3930,True,2 500 FCFA,41%,4.5 out of 5,(6)
Narta Déodorant Pour Homme Protection5 - 200ML,2 200 FCFA,https://www.jumia.sn/narta-deodorant-pour-homme-protection5-200ml-9123618.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/63219/1.jpg?8870,True,,,,
Men+Care -Déodorant Antitranspirant extra fresh 48H - 250 ml,1 700 FCFA,https://www.jumia.sn/mencare-deodorant-antitranspirant-extra-fresh-48h-250-ml-dove-mpg10434.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/3955/1.jpg?0200,False,,,4 out of 5,(11)
Lot de 2 Dove Men+Care Dry Spray Antitranspirant Déodorant Invisible Dry 250 ml,3 200 FCFA,https://www.jumia.sn/lot-de-2-dove-mencare-dry-spray-antitranspirant-deodorant-invisible-dry-250-ml-dove-mpg27301.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/36774/1.jpg?6675,False,,,4.7 out of 5,(9)
Axe Déodorant Homme Spray - Dark Temptation - 150ml,2 000 FCFA,https://www.jumia.sn/axe-deodorant-homme-spray-dark-temptation-150ml-axe-mpg11308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/60221/1.jpg?5749,False,,,5 out of 5,(1)
Rexona Déodorant Homme Extra Cool - 200ML,2 325 FCFA,https://www.jumia.sn/rexona-deodorant-homme-extra-cool-200ml-9123583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/53219/1.jpg?9274,True,,,4.3 out of 5,(7)
Evoluderm Déodorant Fraîcheur Souffle de Thé Vert & Concombre,1 480 FCFA,https://www.jumia.sn/evoluderm-deodorant-fraicheur-souffle-de-the-vert-concombre-9906829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/86099/1.jpg?3930,True,2 500 FCFA,41%,,
Axe Lot de 2 Déodorants Atomiseur Dark Temptation - 150 ml,3 200 FCFA,https://www.jumia.sn/lot-de-2-deodorants-atomiseur-dark-temptation-150-ml-axe-mpg19933.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/66384/1.jpg?9554,False,,,4.6 out of 5,(9)
Brut Déodorant Original - 200ML,1 890 FCFA,https://www.jumia.sn/brut-deodorant-original-200ml-9123563.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/53219/1.jpg?8007,True,,,5 out of 5,(1)
Axe Déodorant Atomiseur Dark Temptation - 150 ml,1 600 FCFA,https://www.jumia.sn/deodorant-atomiseur-dark-temptation-150-ml-axe-mpg19931.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/28043/1.jpg?0656,False,,,4.7 out of 5,(12)
Narta Déodorant Pour Femme Invisble 0% - 200ML,2 340 FCFA,https://www.jumia.sn/narta-deodorant-pour-femme-invisble-0-200ml-9123621.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/63219/1.jpg?9265,True,,,5 out of 5,(2)
Axe Déodorant Atomiseur Provocation - 150 ml,1 700 FCFA,https://www.jumia.sn/deodorant-atomiseur-provocation-150-ml-axe-mpg27974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/51706/1.jpg?3335,False,,,5 out of 5,(1)
Déodorant dove go frech concombre 40ml,1 500 FCFA,https://www.jumia.sn/deodorant-dove-go-frech-concombre-40ml-dove-mpg11389.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6955/1.jpg?2149,False,,,4.3 out of 5,(3)
Ushuaia Déodorant Pour Femme Grenade - 200ML,1 960 FCFA,https://www.jumia.sn/ushuaia-deodorant-pour-femme-grenade-200ml-9123615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/63219/1.jpg?8534,True,,,,
Amalfi Déodorant à Bille - Amalfi - Dermo Protect - 50 ml,1 200 FCFA,https://www.jumia.sn/deodorant-a-bille-amalfi-dermo-protect-50-ml-white-label-mpg10785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/1684/1.jpg?2800,False,,,4.2 out of 5,(6)
Lot de 3 DOVE Déodorant Spray - 250 ml - Go Fresh Concombre,4 600 FCFA,https://www.jumia.sn/lot-de-3-dove-deodorant-spray-250-ml-go-fresh-concombre-dove-mpg36847.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/59619/1.jpg?0797,False,,,5 out of 5,(1)
Monsavon Déodorant Femme Bombe Grenade - 200ML,2 075 FCFA,https://www.jumia.sn/monsavon-deodorant-femme-bombe-grenade-200ml-9123557.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/53219/1.jpg?3039,True,,,,
Brut - Déodorant Homme - Spray Original - 200 ml,1 700 FCFA,https://www.jumia.sn/brut-deodorant-homme-spray-original-200-ml-3534387.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/34353/1.jpg?4001,False,,,3.8 out of 5,(4)
Narta Déodorant Pour Homme Classique - 200ML,2 080 FCFA,https://www.jumia.sn/narta-deodorant-pour-homme-classique-200ml-9123617.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/63219/1.jpg?8754,True,,,,
Lot de 3 DOVE Déodorant Spray - 250 ml - Go Fresh Grenade,4 600 FCFA,https://www.jumia.sn/dove-lot-de-3-dove-deodorant-spray-250-ml-go-fresh-grenade-8893332.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/33988/1.jpg?1292,False,,,4.3 out of 5,(3)
