name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Novelas Désodorisant Brise marine - 400ML,640 FCFA,https://www.jumia.sn/novelas-desodorisant-brise-marine-400ml-9370277.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/20739/1.jpg?5883,True,,,3.5 out of 5,(2)
Febreze Désodorisant Air Rose Du Matin 300ml – 300ML,3 200 FCFA,https://www.jumia.sn/febreze-desodorisant-air-rose-du-matin-300ml-300ml-9279747.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/79729/1.jpg?8506,True,,,4 out of 5,(1)
Febreze Désodorisant Voiture Fleur Naissante – 2ML,1 920 FCFA,https://www.jumia.sn/febreze-desodorisant-voiture-fleur-naissante-2ml-9279750.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/79729/1.jpg?8531,True,,,4.3 out of 5,(3)
Generic Mini Facial Steamer & Diffuseur de parfum pour chambre / voiture,2 290 FCFA,https://www.jumia.sn/mini-facial-steamer-diffuseur-de-parfum-pour-chambre-voiture-generic-mpg39672.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/67795/1.jpg?9521,False,15 000 FCFA,85%,3.8 out of 5,(28)
Sanytol Désinfectant Chaussures Fraicheur - 150ML,2 080 FCFA,https://www.jumia.sn/sanytol-desinfectant-chaussures-fraicheur-150ml-9279676.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/69729/1.jpg?4321,True,,,,
Nova Lot de 3 Nova Desodorisant Nova Fresh Oud 500ml,2 900 FCFA,https://www.jumia.sn/nova-lot-de-3-nova-desodorisant-nova-fresh-oud-500ml-4324363.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/34234/1.jpg?3477,False,,,5 out of 5,(1)
Generic Brûleur d'Encens Electrique - 40W - Doré,3 381 FCFA,https://www.jumia.sn/bruleur-dencens-electrique-40w-dore-generic-mpg20079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/05692/1.jpg?3500,False,,,3.1 out of 5,(16)
Febreze Désodorisant Air Fleur Naissante – 300ML,2 080 FCFA,https://www.jumia.sn/febreze-desodorisant-air-fleur-naissante-300ml-9279746.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/79729/1.jpg?8497,True,,,5 out of 5,(1)
Generic Encensoir Electrique - Sphère,3 900 FCFA,https://www.jumia.sn/encensoir-electrique-sphere-argent-generic-mpg14198.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/06489/1.jpg?9311,False,4 900 FCFA,20%,4.2 out of 5,(20)
Nova Fresh - Parfum de Chambre - Fraicheur Bleue - 500 ml,990 FCFA,https://www.jumia.sn/fresh-parfum-de-chambre-fraicheur-bleue-500-ml-nova-mpg3543.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/55774/1.jpg?5915,False,,,4.4 out of 5,(8)
