name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Casamançaise Eau Minérale - 10 Litres,790 FCFA,https://www.jumia.sn/casamancaise-eau-minerale-10-litres-9276404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/46729/1.jpg?3056,True,800 FCFA,1%,4.6 out of 5,(111)
Eau Minérale - 10 Litres,825 FCFA,https://www.jumia.sn/kirene-eau-minerale-10-litres-9354845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/84539/1.jpg?4301,True,875 FCFA,6%,4.5 out of 5,(111)
"Casamançaise Pack de 6 Bouteilles d'Eau Minérale - 1,5 Litres",1 420 FCFA,https://www.jumia.sn/casamancaise-pack-de-6-bouteilles-deau-minerale-15-litres-9276405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/46729/1.jpg?2138,True,,,4.5 out of 5,(35)
Seo Bouteilles d'eau Minérale - 4.5 Litres,390 FCFA,https://www.jumia.sn/seo-bouteilles-deau-minerale-4.5-litres-9372486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/42739/1.jpg?0396,True,500 FCFA,22%,,
"Pack de 6 Bouteilles d'Eau Minérale - 1,5 Litres",1 500 FCFA,https://www.jumia.sn/pack-de-6-bouteilles-deau-minerale-15-litres-bleu-kirene-mpg23985.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/84539/1.jpg?9611,True,1 550 FCFA,3%,4.4 out of 5,(94)
Seo Bouteille d'eau Minérale - 10 Litres,840 FCFA,https://www.jumia.sn/seo-bouteille-deau-minerale-10-litres-9372487.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/42739/1.jpg?2540,True,850 FCFA,1%,4.2 out of 5,(9)
"Casamançaise Pack de 12 Bouteilles d'Eau Minérale - 0,6 Litres",2 130 FCFA,https://www.jumia.sn/casamancaise-pack-de-12-bouteilles-deau-minerale-06-litres-9276406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/46729/1.jpg?2248,True,,,4.1 out of 5,(16)
Pack de 12 Bouteilles d'Eau Minérale - 33CL,1 350 FCFA,https://www.jumia.sn/kirene-pack-de-12-bouteilles-deau-minerale-33cl-9483835.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/83849/1.jpg?2852,True,1 390 FCFA,3%,4.2 out of 5,(5)
Pack de 12 Bouteilles d'Eau Minérale - 50CL,2 300 FCFA,https://www.jumia.sn/pack-de-12-bouteilles-deau-minerale-50cl-bleu-kirene-mpg19816.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/84539/1.jpg?0676,True,2 400 FCFA,4%,4.2 out of 5,(17)
Bouteille d'eau Minérale Pétillante - 75CL,425 FCFA,https://www.jumia.sn/bouteille-deau-minerale-petillante-75cl-kirene-mpg30708.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/84539/1.jpg?2036,True,430 FCFA,1%,,
