name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Alcatel Téléphone fixe portatif,20 000 FCFA,https://www.jumia.sn/alcatel-telephone-fixe-portatif-10003088.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/030001/1.jpg?0435,False,22 000 FCFA,9%,,
Generic Mini Vidéoprojecteur LED Full HD 1080p 60 Pouces - Blanc/Jaune,33 900 FCFA,https://www.jumia.sn/mini-videoprojecteur-led-full-hd-1080p-60-pouces-generic-mpg44488.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/07489/1.jpg?8600,False,100 000 FCFA,66%,4 out of 5,(1)
Generic Mini Vidéoprojecteur LED Full HD 1080p 60 Pouces - EXCELVAN,38 500 FCFA,https://www.jumia.sn/generic-mini-videoprojecteur-led-full-hd-1080p-60-pouces-excelvan-8851150.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/11588/1.jpg?5738,False,100 000 FCFA,62%,3 out of 5,(4)
Generic Support TÉLÉPHONE pose bureau,2 990 FCFA,https://www.jumia.sn/support-telephone-pose-bureau-generic-mpg35600.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/95979/1.jpg?2360,False,,,3.6 out of 5,(5)
Generic AD-818 - Détecteur de faux billets à lampe UV Safescan 45 - Noir,14 000 FCFA,https://www.jumia.sn/generic-ad-818-detecteur-de-faux-billets-a-lampe-uv-safescan-45-noir-9477368.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/37749/1.jpg?9474,False,20 000 FCFA,30%,,
White Détecteur de faux billets à lampe UV Safescan 45 - Noir,14 900 FCFA,https://www.jumia.sn/white-detecteur-de-faux-billets-a-lampe-uv-safescan-45-noir-9415853.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/85149/1.jpg?4468,False,,,,
Generic Mini Vidéoprojecteur LED Full HD 1080p 60 Pouces - EXCELVAN,38 500 FCFA,https://www.jumia.sn/generic-mini-videoprojecteur-led-full-hd-1080p-60-pouces-excelvan-9398782.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/78939/1.jpg?0044,False,50 000 FCFA,23%,,
Panasonic Téléphone sans fil - Panasonic - KX-TG3712BX - 2 Postes - Garantie 6 Mois,60 000 FCFA,https://www.jumia.sn/panasonic-telephone-sans-fil-panasonic-kx-tg3712bx-2-postes-garantie-6-mois-121340.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3121/1.jpg?7335,False,75 000 FCFA,20%,,
Generic Mini Vidéoprojecteur LED Full HD 1080p 60 Pouces,50 000 FCFA,https://www.jumia.sn/generic-mini-videoprojecteur-led-full-hd-1080p-60-pouces-9970782.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/70799/1.jpg?8008,False,,,,
Ad Tech Détecteur de faux billets à lampe UV Safescan 45 - Noir,11 500 FCFA,https://www.jumia.sn/detecteur-de-faux-billets-a-lampe-uv-safescan-45-noir-ad-tech-mpg15709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/64149/1.jpg?4413,False,18 000 FCFA,36%,4.4 out of 5,(7)
Other SUPPORT BUREAU POUR TÉLÉPHONE,2 900 FCFA,https://www.jumia.sn/support-bureau-pour-telephone-other-mpg37267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/23788/1.jpg?0762,False,,,1.5 out of 5,(2)
Autre STYLO LED UV DÉTECTEUR DE FAUX BILLETS,3 500 FCFA,https://www.jumia.sn/autre-stylo-led-uv-detecteur-de-faux-billets-9805927.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/95089/1.jpg?1973,False,15 000 FCFA,77%,4.5 out of 5,(2)
Generic Ad Tech Détecteur de faux billets à lampe UV- Noir,11 500 FCFA,https://www.jumia.sn/ad-tech-detecteur-de-faux-billets-a-lampe-uv-noir-generic-mpg46452.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/59099/1.jpg?7259,False,15 000 FCFA,23%,,
"Autre Vidéoprojecteur - 174pouces (4,42 mètres) 5000 LUMENS Synchronisation d'écran",109 000 FCFA,https://www.jumia.sn/autre-videoprojecteur-174pouces-442-metres-5000-lumens-synchronisation-decran-9842958.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/92489/1.jpg?4131,False,279 000 FCFA,61%,,
Generic Détecteur de faux billets à lampe UV- Noir,12 900 FCFA,https://www.jumia.sn/detecteur-de-faux-billets-a-lampe-uv-noir-generic-mpg13341.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/34089/1.jpg?1784,False,15 000 FCFA,14%,3.5 out of 5,(2)
Generic dizionario francese-italiano italiano- francese,11 000 FCFA,https://www.jumia.sn/generic-dizionario-francese-italiano-italiano-francese-9946493.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/46499/1.jpg?4281,False,,,,
Generic Mini Vidéoprojecteur LED Full HD 1080p 60 Pouces - EXCELVAN,36 900 FCFA,https://www.jumia.sn/mini-videoprojecteur-led-full-hd-1080p-60-pouces-excelvan-generic-mpg39737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/64779/1.jpg?5486,False,42 000 FCFA,12%,3 out of 5,(9)
Autre Télécommande sans fil pointeur laser pour présentation powerpoint / Navigateur,13 000 FCFA,https://www.jumia.sn/autre-telecommande-sans-fil-pointeur-laser-pour-presentation-powerpoint-navigateur-3694704.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/74963/1.jpg?4555,False,23 000 FCFA,43%,4.2 out of 5,(5)
Rii Mini Clavier QWERTY Ergonomique sans Fil avec Touchpad,15 000 FCFA,https://www.jumia.sn/rii-mini-clavier-qwerty-ergonomique-sans-fil-avec-touchpad-2835514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/55382/1.jpg?5874,False,24 900 FCFA,40%,3 out of 5,(1)
