name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Pack d'encres pour Imprimante HP / Canon / Epson /- Noir, Jaune, Bleu, Rouge",10 500 FCFA,https://www.jumia.sn/pack-dencres-pour-imprimante-hp-canon-epson-noir-jaune-bleu-rouge-generic-mpg26633.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/72104/1.jpg?9595,False,15 500 FCFA,32%,4.1 out of 5,(16)
Hp 17A LaserJet Cartouche de toner noir - CF217A,20 000 FCFA,https://www.jumia.sn/hp-17a-laserjet-cartouche-de-toner-noir-cf217a-hp-mpg8974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/925/1.jpg?3144,False,,,4.7 out of 5,(3)
Generic Hp Kit recharge cartouche d'encre couleur universelle 100ml imprimantes pour HP/CANON/EPSON et autres,3 550 FCFA,https://www.jumia.sn/generic-hp-kit-recharge-cartouche-dencre-couleur-universelle-100ml-imprimantes-pour-hpcanonepson-et-autres-9415059.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/05149/1.jpg?6529,False,4 000 FCFA,11%,3.5 out of 5,(2)
Generic encre de recharge 4 couleur 500 ml pour imprimantes à cartouches,18 000 FCFA,https://www.jumia.sn/encre-de-recharge-4-couleur-500-ml-pour-imprimantes-a-cartouches-generic-mpg36137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/11579/1.jpg?7501,False,40 000 FCFA,55%,2.5 out of 5,(2)
"Generic Pack de 4 bouteilles d'encres pour Imprimante - Noir, Jaune, Bleu, Rouge",8 200 FCFA,https://www.jumia.sn/generic-pack-de-4-bouteilles-dencres-pour-imprimante-noir-jaune-bleu-rouge-9517133.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/17159/1.jpg?5310,False,15 000 FCFA,45%,4 out of 5,(4)
Hp 05A Noir Toner LaserJet – CE505A,15 000 FCFA,https://www.jumia.sn/hp-05a-noir-toner-laserjet-ce505a-51342.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/315/1.jpg?3803,False,,,5 out of 5,(1)
Hp Cartouche laser,220 000 FCFA,https://www.jumia.sn/hp-cartouche-laser-9849003.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/09489/1.jpg?8228,False,,,,
Original Cartouche De Toner LaserJet Compatible Noir (CCT-CB540A/CRG-116/316/416/716BK),25 000 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cct-cb540acrg-116316416716bk-403597.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5304/1.jpg?4503,False,,,,
Hp Cartouches D'encre 123 - Trois Couleurs - F6V16AE,11 500 FCFA,https://www.jumia.sn/cartouches-dencre-123-trois-couleurs-f6v16ae-hp-mpg12932.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/894/1.jpg?1222,False,16 000 FCFA,28%,4.3 out of 5,(10)
Original Cartouche De Toner LaserJet Compatible Noir (CBT-CB435A/436A/CE285A/CE278) (Star Ink),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cbt-cb435a436ace285ace278-star-ink-434217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/2434/1.jpg?1025,False,,,,
Original Cartouche De Toner LaserJet Compatible Noir (CBT-CE505A/CRG-719) (Star Ink),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cbt-ce505acrg-719-star-ink-434216.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/2434/1.jpg?0957,False,,,,
Hp Cartouche HP 123 Noir,17 500 FCFA,https://www.jumia.sn/hp-cartouche-hp-123-noir-8872282.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/22788/1.jpg?5729,False,19 000 FCFA,8%,4.5 out of 5,(2)
Hp Cartouche HP 305 Noir,16 000 FCFA,https://www.jumia.sn/hp-cartouche-hp-305-noir-9226008.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/06229/1.jpg?2978,False,19 500 FCFA,18%,,
Generic l’encre noire 500 ml pour imprimantes à cartouches,8 000 FCFA,https://www.jumia.sn/generic-lencre-noire-500-ml-pour-imprimantes-a-cartouches-8874578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/54788/1.jpg?0242,False,9 000 FCFA,11%,5 out of 5,(1)
Original Cartouche De Toner LaserJet Compatible Noir (CBT-Q5949A/Q7553A/CRG-308/315/508/515/708/715),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cbt-q5949aq7553acrg-308315508515708715-403577.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/5304/1.jpg?4499,False,,,,
Asta 19A Tambour d'imagerie CF219A LaserJet compatible pour HP Pro M102 M130,12 000 FCFA,https://www.jumia.sn/asta-19a-tambour-dimagerie-cf219a-laserjet-compatible-pour-hp-pro-m102-m130-9753188.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/13579/1.jpg?5707,False,,,,
Original Cartouche De Toner LaserJet Compatible Noir (CBT-CB435A/436A/CE285A/CRG125/312/313/325/712/713/725/912/913/925),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cbt-cb435a436ace285acrg125312313325712713725912913925-403575.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/5304/1.jpg?4498,False,,,,
Asta 205A Noir CF530A toner LaserJet compatible pour HP Pro M180n M181fw,16 500 FCFA,https://www.jumia.sn/asta-205a-noir-cf530a-toner-laserjet-compatible-pour-hp-pro-m180n-m181fw-9753195.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/13579/1.jpg?5706,False,,,,
Hp Cartouche 903 Bleu - Bleu,30 000 FCFA,https://www.jumia.sn/hp-cartouche-903-bleu-bleu-9331409.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/41339/1.jpg?3597,False,,,,
Original Cartouche De Toner LaserJet Compatible Noir (CCT-CF283A) (Star Ink),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cct-cf283a-star-ink-434213.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/2434/1.jpg?0961,False,,,,
Hp 203A Noir Toner LaserJet – CF540A,29 000 FCFA,https://www.jumia.sn/hp-203a-noir-toner-laserjet-cf540a-469579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/5964/1.jpg?9808,False,,,2 out of 5,(1)
Original Cartouche De Toner LaserJet Compatible Noir (CBT-CE505A/CF280A/CRG-219/319/719),12 500 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cbt-ce505acf280acrg-219319719-403591.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/5304/1.jpg?4499,False,,,,
Hp Cartouche d'encre noire HP 940XL Officejet - 2200 pages - garantie 12 mois,45 900 FCFA,https://www.jumia.sn/hp-cartouche-dencre-noire-hp-940xl-officejet-2200-pages-garantie-12-mois-99494.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/499/1.jpg?2412,False,,,,
Generic l’encre noire 1000 ml pour imprimantes à cartouches,9 500 FCFA - 11 900 FCFA,https://www.jumia.sn/lencre-noire-1000-ml-pour-imprimantes-a-cartouches-generic-mpg36176.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/65779/1.jpg?7623,False,20 000 FCFA - 38 000 FCFA,69%,,
Original Cartouche De Toner LaserJet Compatible Noir (CCT-CB540A/CE320A/CF210X),25 000 FCFA,https://www.jumia.sn/original-cartouche-de-toner-laserjet-compatible-noir-cct-cb540ace320acf210x-403594.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/5304/1.jpg?4498,False,,,,
Generic recharge cartouche d'encre noir100ml imprimantes HP/CANON/EPSON,3 000 FCFA,https://www.jumia.sn/generic-recharge-cartouche-dencre-noir100ml-imprimantes-hpcanonepson-9990565.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/50999/1.jpg?4358,False,6 500 FCFA,54%,,
Asta 205A Magenta CF533A toner LaserJet compatible pour HP Pro M180n M181fw,16 500 FCFA,https://www.jumia.sn/asta-205a-magenta-cf533a-toner-laserjet-compatible-pour-hp-pro-m180n-m181fw-9753198.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/13579/1.jpg?5707,False,,,,
Asta 203A Noir CF540A toner LaserJet compatible pour HP Pro M254 M280 M281,16 500 FCFA,https://www.jumia.sn/asta-203a-noir-cf540a-toner-laserjet-compatible-pour-hp-pro-m254-m280-m281-9753193.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/13579/1.jpg?5706,False,,,,
