name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Fer à Repasser à Vapeur - 1600 W - Bleu,4 500 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-1600-w-bleu-generic-mpg33500.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/75016/1.jpg?0540,True,9 349 FCFA,52%,3.8 out of 5,(126)
Generic Fer A Repasser A Vapeur - Pour Voyage - Puissance 220V - Blanc/ Bleu,4 703 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-pour-voyage-puissance-220v-blanc-bleu-generic-mpg46055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/51488/1.jpg?9372,True,9 222 FCFA,49%,3.4 out of 5,(51)
SMART TECHNOLOGY Fer à Repasser à Vapeur - 1600W - Bleu,7 300 FCFA,https://www.jumia.sn/smart-technology-fer-a-repasser-a-vapeur-1600w-bleu-9838264.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/28389/1.jpg?9986,True,10 000 FCFA,27%,4.5 out of 5,(2)
Generic Fer A Repasser A Vapeur - Pour Voyage - Puissance 220V - Blanc/ Bleu,6 500 FCFA,https://www.jumia.sn/generic-fer-a-repasser-a-vapeur-pour-voyage-puissance-220v-blanc-bleu-9988721.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/78899/1.jpg?9051,False,,,,
White Label Mini professionnel tenu dans la main micro portatif de vapeur de vêtement de fer de vapeur pour des vêtements,8 900 FCFA,https://www.jumia.sn/white-label-mini-professionnel-tenu-dans-la-main-micro-portatif-de-vapeur-de-vetement-de-fer-de-vapeur-pour-des-vetements-9988460.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/48899/1.jpg?2381,False,9 400 FCFA,5%,,
Calor Défroisseur Vapeur DT6130C0 ACCESS STEAM FIRST,36 000 FCFA,https://www.jumia.sn/calor-defroisseur-vapeur-dt6130c0-access-steam-first-10023481.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/432001/1.jpg?4785,False,,,,
SMART TECHNOLOGY Fer à Repasser à Vapeur - 1600W - Vert,8 450 FCFA,https://www.jumia.sn/smart-technology-fer-a-repasser-a-vapeur-1600w-vert-9838265.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/28389/1.jpg?4357,True,10 000 FCFA,16%,5 out of 5,(1)
"Tefal Fer à Repasser à vapeur - Tefal Virtuo FV1739E0 système anti-goutte, Bleu",20 800 FCFA,https://www.jumia.sn/tefal-fer-a-repasser-a-vapeur-tefal-virtuo-fv1739e0-systeme-anti-goutte-bleu-8865143.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/15688/1.jpg?4476,False,26 000 FCFA,20%,,
Generic Fer à Repasser à Vapeur - Garantie 1 An -,12 000 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-garantie-1-an-generic-mpg33499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/58749/1.jpg?2103,False,30 000 FCFA,60%,4 out of 5,(9)
An Nuo Défroisseur à Vapeur - 800 W - Blanc,11 000 FCFA,https://www.jumia.sn/defroisseur-a-vapeur-800-w-blanc-an-nuo-mpg7114.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/63209/1.jpg?8651,False,15 000 FCFA,27%,3.5 out of 5,(10)
White Label Mini professionnel tenu dans la main micro portatif de vapeur de vêtement de fer de vapeur pour des vêtements,10 000 FCFA,https://www.jumia.sn/white-label-mini-professionnel-tenu-dans-la-main-micro-portatif-de-vapeur-de-vetement-de-fer-de-vapeur-pour-des-vetements-10007850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/870001/1.jpg?7315,False,25 000 FCFA,60%,,
Generic Fer A Repasser A Vapeur - Pour Voyage - Puissance 220V - Blanc/ Bleu,5 900 FCFA,https://www.jumia.sn/generic-fer-a-repasser-a-vapeur-pour-voyage-puissance-220v-blanc-bleu-9988722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/78899/1.jpg?9049,False,,,,
Tefal Defroisseur Portable Acces Steam Minute,28 800 FCFA,https://www.jumia.sn/tefal-defroisseur-portable-acces-steam-minute-10021852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/812001/1.jpg?5731,False,,,,
Generic Fer à Repasser à Vapeur - Garantie 1 An - Blanc / Mauve / vert,11 000 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-garantie-1-an-blanc-mauve-vert-generic-mpg26281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/35549/1.jpg?9405,False,20 000 FCFA,45%,4.2 out of 5,(5)
Generic Fer A Repasser,5 900 FCFA,https://www.jumia.sn/generic-fer-a-repasser-10029044.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/092001/1.jpg?8812,False,15 000 FCFA,61%,,
White Label Mini Fer de Vapeur Professionnel - Micro portatif de vêtement,9 000 FCFA,https://www.jumia.sn/white-label-mini-fer-de-vapeur-professionnel-micro-portatif-de-vetement-9988751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/78899/1.jpg?9048,False,,,3 out of 5,(1)
Konka Fer à Repasser Vapeur de Voyage - 1100W - 3 Vitesses,15 900 FCFA,https://www.jumia.sn/konka-fer-a-repasser-vapeur-de-voyage-1100w-3-vitesses-9802061.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/02089/1.jpg?0365,False,25 000 FCFA,36%,,
Tefal Fer A Repasser à vapeur - Tefal - Eco Master - 1800W - Garantie 12 mois - Vert,23 500 FCFA,https://www.jumia.sn/tefal-fer-a-repasser-a-vapeur-tefal-eco-master-1800w-garantie-12-mois-vert-5757794.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/77575/1.jpg?4722,False,,,4.3 out of 5,(3)
Generic Fer à Repasser Electrique - 1200W,5 990 FCFA,https://www.jumia.sn/fer-a-repasser-electrique-1200w-scarlett-mpg9386.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/99913/1.jpg?1588,False,10 000 FCFA,40%,3.6 out of 5,(11)
Generic Fer à Repasser Electrique,5 996 FCFA,https://www.jumia.sn/fer-a-repasser-electrique-generic-mpg46508.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/24089/1.jpg?9761,False,,,4.5 out of 5,(2)
SMART TECHNOLOGY Fer à Repasser à Vapeur - 2200W - Blanc/Violet,13 000 FCFA,https://www.jumia.sn/smart-technology-fer-a-repasser-a-vapeur-2200w-blancviolet-9838266.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/28389/1.jpg?4358,True,15 000 FCFA,13%,,
Dessini Fer à Repasser à Vapeur - - Garantie 12 Mois,12 500 FCFA,https://www.jumia.sn/dessini-fer-a-repasser-a-vapeur-garantie-12-mois-6071325.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/31706/1.jpg?0612,False,15 000 FCFA,17%,4.5 out of 5,(2)
An Nuo Fer à Repasser - 1800 W,7 000 FCFA,https://www.jumia.sn/fer-a-repasser-1800-w-bleu-blanc-an-nuo-mpg11281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/27706/1.jpg?3932,False,,,3.6 out of 5,(7)
Fer à Repasser à Vapeur CAC - 1600W / 220-240V - CA820454,5 900 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-cac-1600w-220-240v-ca820454-3715639.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/65173/1.jpg?7961,True,10 000 FCFA,41%,3.8 out of 5,(270)
White Label Fer A Repasser - 1200W - Bleu-Blanc,6 499 FCFA,https://www.jumia.sn/white-label-fer-a-repasser-1200w-bleu-blanc-9774698.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/64779/1.jpg?4621,False,,,,
Generic Fer à Repasser a sec,6 375 FCFA,https://www.jumia.sn/generic-fer-a-repasser-a-sec-6025495.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/45206/1.jpg?0989,False,7 500 FCFA,15%,3 out of 5,(2)
White Label Défroisseur et Nettoyeur à Vapeur à main Kelli (Kelly) KL-317,13 000 FCFA,https://www.jumia.sn/white-label-defroisseur-et-nettoyeur-a-vapeur-a-main-kelli-kelly-kl-317-9827322.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/37289/1.jpg?3874,False,20 000 FCFA,35%,,
Generic FER A REPASSER PHILIPS GC A VAPEUR,25 000 FCFA,https://www.jumia.sn/fer-a-repasser-philips-gc-a-vapeur-generic-mpg33472.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/13979/1.jpg?1474,False,47 900 FCFA,48%,5 out of 5,(1)
Generic Fer à Repasser à Vapeur - Garantie 1 An - (Multicolore),12 900 FCFA,https://www.jumia.sn/generic-fer-a-repasser-a-vapeur-garantie-1-an-multicolore-9974035.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/04799/1.jpg?8686,False,15 000 FCFA,14%,,
Autre Fer à Repasser à Vapeur .,10 900 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-.-autre-mpg30963.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/20098/1.jpg?2249,False,13 900 FCFA,22%,4.2 out of 5,(10)
Scarlett Pack : Fer à Repasser Electrique scarlett - + Table à Repasser,50 000 FCFA,https://www.jumia.sn/scarlett-pack-fer-a-repasser-electrique-scarlett-table-a-repasser-9982365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/32899/1.jpg?1647,False,,,,
