name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Protection écran Antichoc Samsung A10 A10E A10S A20 A20S A20E A30 A30S A40 A50 A50S A60 A70 A70S A70E A80 A90,2 500 FCFA,https://www.jumia.sn/protection-ecran-antichoc-samsung-a10-a10e-a10s-a20-a20s-a20e-a30-a30s-a40-a50-a50s-a60-a70-a70s-a70e-a80-a90-generic-mpg35042.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/30739/1.jpg?1879,False,3 500 FCFA,29%,3.3 out of 5,(3)
Generic Protection Ecran Antichoc Blindée verre trempée iPhone 6s Plus,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-iphone-6s-plus-9402237.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/22049/1.jpg?4600,False,3 000 FCFA,17%,,
Generic Protection Ecran - Antichoc Blindée verre trempée Nokia 6.1 plus,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-nokia-6.1-plus-9372335.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/32739/1.jpg?2206,False,3 000 FCFA,17%,2.5 out of 5,(2)
Generic 11 Pro / 11 Pro Max Style Metal Rear Camera Lens Protector Film for iPhone X / XS / XS Max(Black),2 590 FCFA,https://www.jumia.sn/generic-11-pro-11-pro-max-style-metal-rear-camera-lens-protector-film-for-iphone-x-xs-xs-maxblack-1221657.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/61221/1.jpg?4534,False,10 000 FCFA,74%,2 out of 5,(4)
Generic Protection Ecran Antichoc Blindée verre trempée verre trempée Samsung Galaxy S9 plus,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-verre-trempee-samsung-galaxy-s9-plus-9372382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/32739/1.jpg?2207,False,3 000 FCFA,17%,2 out of 5,(2)
Generic Protection Ecran Antichoc Blindée verre trempée Samsung Galaxy A32,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-samsung-galaxy-a32-9372346.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/32739/1.jpg?2207,False,3 000 FCFA,17%,3 out of 5,(2)
Generic Protection Ecran - Antichoc 3D Blindée iPhone 6 plus ou 6S plus,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-3d-blindee-iphone-6-plus-ou-6s-plus-9372329.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/32739/1.jpg?1961,False,3 000 FCFA,17%,,
Generic Protection Ecran Antichoc Blindée verre trempée Tecno Pova,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-tecno-pova-9402291.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/22049/1.jpg?4601,False,3 000 FCFA,17%,1 out of 5,(1)
Generic Protection Ecran Antichoc Blindée verre trempée Xiaomi Mi 9T Pro,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-xiaomi-mi-9t-pro-9766447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/46679/1.jpg?8416,False,3 000 FCFA,17%,,
Generic Protection Ecran Antichoc Blindée verre trempée Huawei Y7a,2 500 FCFA,https://www.jumia.sn/generic-protection-ecran-antichoc-blindee-verre-trempee-huawei-y7a-9734008.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/04379/1.jpg?3907,False,3 000 FCFA,17%,1 out of 5,(1)
