name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Kalenji Montre chronomètre de course � pied ATW100 bleu by Decathlon,7 490 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-pied-atw100-bleu-by-decathlon-6093483.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/43906/1.jpg?6951,False,,,4.1 out of 5,(9)
Generic Smart Watch Sports Bluetooth Bracelet Heart Rate,6 200 FCFA,https://www.jumia.sn/generic-smart-watch-sports-bluetooth-bracelet-heart-rate-9253702.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/73529/1.jpg?7917,True,9 000 FCFA,31%,3.6 out of 5,(8)
Kalenji Montre Connectée Avec Cardio Kalenji Cw700 Hr Noire,43 335 FCFA,https://www.jumia.sn/kalenji-montre-connectee-avec-cardio-kalenji-cw700-hr-noire-10024450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/442001/1.jpg?6994,False,,,,
Kalenji W200 S Noir By Decathlon,9 095 FCFA,https://www.jumia.sn/kalenji-w200-s-noir-by-decathlon-6077299.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/27706/1.jpg?9691,False,,,4 out of 5,(5)
Kalenji Montre chronomètre de course a pied W200 M rouge et noire by Decathlon,8 025 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-a-pied-w200-m-rouge-et-noire-by-decathlon-6062118.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/12606/1.jpg?9224,False,,,4.2 out of 5,(9)
Kalenji Montre Chronomètre Antichoc De Course À Pied Homme W700xc M Noir,20 865 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-antichoc-de-course-a-pied-homme-w700xc-m-noir-10023202.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/232001/1.jpg?7416,False,,,,
Kalenji Montre Chronomètre De Course À Pied W200 M Bleu Et Orange,8 025 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-a-pied-w200-m-bleu-et-orange-10023205.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/232001/1.jpg?7417,False,,,,
Kalenji Montre Chronomètre De Course À Pied W200 S Bleu Et Orange,11 235 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-a-pied-w200-s-bleu-et-orange-10024982.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/942001/1.jpg?5300,False,,,,
Kalenji Montre Chronomètre De Course À Pied Homme W900 Blanche Et Cuivre,31 565 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-a-pied-homme-w900-blanche-et-cuivre-10023204.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/232001/1.jpg?7413,False,,,,
Newfeel Montre A400 Noire,40 660 FCFA,https://www.jumia.sn/newfeel-montre-a400-noire-10024625.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/642001/1.jpg?4080,False,,,,
Kalenji Montre De Sport a Aiguilles Enfant A300 S Rouge,13 910 FCFA,https://www.jumia.sn/kalenji-montre-de-sport-a-aiguilles-enfant-a300-s-rouge-10024825.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/842001/1.jpg?4080,False,,,,
"White Label Montres numériques Sports Hommes - Montre de sport imperméable en plein air avec alarme/minuterie, montres à poignet militaire de gros visage avec rétroéclairage à LED pour les",10 000 FCFA,https://www.jumia.sn/white-label-montres-numeriques-sports-hommes-montre-de-sport-impermeable-en-plein-air-avec-alarmeminuterie-montres-a-poignet-militaire-de-gros-visage-avec-retroeclairage-a-led-pour-les-10007862.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/870001/1.jpg?7320,False,15 000 FCFA,33%,,
Generic Montre militaire boussole multifonctionnelle montres de sport numériques,14 000 FCFA,https://www.jumia.sn/generic-montre-militaire-boussole-multifonctionnelle-montres-de-sport-numeriques-9993203.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/23999/1.jpg?9679,False,,,,
Generic Digital Montre murale horloge de bureau grand écran LCD,7 000 FCFA,https://www.jumia.sn/digital-montre-murale-horloge-de-bureau-grand-ecran-lcd-generic-mpg33170.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/92089/1.jpg?2157,False,15 500 FCFA,55%,4.8 out of 5,(4)
