name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic lampe de Tueur de Moustique Bug Insectes Feux Anti Moustique Tuer Piège Répulsif Mouche,6 800 FCFA,https://www.jumia.sn/lampe-de-tueur-de-moustique-bug-insectes-feux-anti-moustique-tuer-piege-repulsif-mouche-generic-mpg45693.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/17489/1.jpg?3415,False,8 000 FCFA,15%,4 out of 5,(1)
Generic Parfum de Chambre - Gilca Ambiantador Sanitorios - 750ml,5 900 FCFA,https://www.jumia.sn/generic-parfum-de-chambre-gilca-ambiantador-sanitorios-750ml-9977925.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/97799/1.jpg?3771,False,8 900 FCFA,34%,,
Generic Gant en silicone de nettoyage,2 100 FCFA,https://www.jumia.sn/generic-gant-en-silicone-de-nettoyage-9850225.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/20589/1.jpg?2078,False,13 000 FCFA,84%,,
Generic Brosse de nettoyage électrique 5-en-1 Magic Battery Powered,3 500 FCFA,https://www.jumia.sn/generic-brosse-de-nettoyage-electrique-5-en-1-magic-battery-powered-9846982.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/96489/1.jpg?7029,False,15 500 FCFA,77%,,
Generic Gants De Nettoyage et Lave-Vaisselle en Silicone - Multifonctionnel,2 975 FCFA,https://www.jumia.sn/generic-gants-de-nettoyage-et-lave-vaisselle-en-silicone-multifonctionnel-4325404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/45234/1.jpg?3150,False,5 000 FCFA,41%,3.4 out of 5,(5)
Generic Gant en silicone de nettoyage,2 100 FCFA,https://www.jumia.sn/generic-gant-en-silicone-de-nettoyage-9844440.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/44489/1.jpg?2081,False,13 000 FCFA,84%,3 out of 5,(1)
Generic Gant en silicone de nettoyage,2 100 FCFA,https://www.jumia.sn/generic-gant-en-silicone-de-nettoyage-9850224.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/20589/1.jpg?2078,False,13 000 FCFA,84%,3 out of 5,(1)
Generic Bombe dépoussierante à air comprimé - 450ML,4 500 FCFA,https://www.jumia.sn/generic-bombe-depoussierante-a-air-comprime-450ml-8873228.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/23788/1.jpg?1951,False,15 000 FCFA,70%,4.5 out of 5,(2)
Generic Paquet de 5 Serpillières - Coton 100% - 50 x 60 cm - Beige,2 900 FCFA,https://www.jumia.sn/paquet-de-5-serpillieres-coton-100-50-x-60-cm-beige-generic-mpg8951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/05979/1.jpg?6502,False,4 900 FCFA,41%,4.1 out of 5,(27)
Somafix Nettoyeur Haute Pression - 1400 W / 110 Bar / - MODEL-SFX8497,79 900 FCFA,https://www.jumia.sn/somafix-nettoyeur-haute-pression-1400-w-110-bar-model-sfx8497-1213250.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/23121/1.jpg?6188,False,100 000 FCFA,20%,,
Generic Sèche - Linge pour intérieur de maison - 155 x 100 x 39 cm - Bleu,24 000 FCFA,https://www.jumia.sn/seche-linge-pour-interieur-de-maison-155-x-100-x-39-cm-bleu-generic-mpg29433.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/86606/1.jpg?8694,False,,,,
