name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Simfer Cuisinière à Gaz - 4Feux 50×50 gris - Garantie 1 an,69 900 FCFA,https://www.jumia.sn/simfer-cuisiniere-a-gaz-4feux-5050-gris-garantie-1-an-10039347.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/393001/1.jpg?0442,True,85 000 FCFA,18%,,
Haier Cuisinière à Gaz 4 Feux – HCR1040EGX – 60x50cm – Inox – Garantie 12 Mois,109 900 FCFA,https://www.jumia.sn/haier-cuisiniere-a-gaz-4-feux-hcr1040egx-60x50cm-inox-garantie-12-mois-9970823.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/80799/1.jpg?4754,True,112 061 FCFA,2%,3 out of 5,(2)
Westpool CUISINIERE 60X60 FULL OPTION - Silver - Garantie 12 Mois,115 000 FCFA,https://www.jumia.sn/westpool-cuisiniere-60x60-full-option-silver-garantie-12-mois-9977713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/77799/1.jpg?2217,True,130 000 FCFA,12%,5 out of 5,(1)
ZGBES Premium Gazinière en Verre trempé- 2 Feux,18 000 FCFA,https://www.jumia.sn/premium-gaziniere-en-verre-trempe-2-feux-zgbes-mpg38885.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/83489/1.jpg?2880,False,25 000 FCFA,28%,3 out of 5,(2)
Beko Cuisinière À Gaz 4 Feux - 50x50 Cm - Argent - Gril / Four - Garantie 12 Mois,124 900 FCFA,https://www.jumia.sn/beko-cuisiniere-a-gaz-4-feux-50x50-cm-argent-gril-four-garantie-12-mois-9973727.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/73799/1.jpg?7559,True,150 000 FCFA,17%,,
Beko CUISINIERE - BEKO - 4 FEUX - AVEC TOURNE BROCHE - GARANTIE 12 MOIS,295 000 FCFA,https://www.jumia.sn/beko-cuisiniere-beko-4-feux-avec-tourne-broche-garantie-12-mois-1218878.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/88121/1.jpg?8208,False,350 000 FCFA,16%,,
Generic Support de Gaz à Roulettes,6 900 FCFA,https://www.jumia.sn/support-de-gaz-a-roulettes-generic-mpg43384.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/53716/1.jpg?6471,False,7 500 FCFA,8%,,
Generic Support de gaz à roulette,4 900 FCFA,https://www.jumia.sn/support-de-gaz-a-roulette-generic-mpg35612.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/01016/1.jpg?1320,False,9 000 FCFA,46%,2.5 out of 5,(2)
Elactron Cuisinière à Gaz 5 Feux Inox - 60 X 90 Cm - Garantie 12 mois,239 000 FCFA,https://www.jumia.sn/elactron-cuisiniere-a-gaz-5-feux-inox-60-x-90-cm-garantie-12-mois-9833450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/43389/1.jpg?6890,False,275 000 FCFA,13%,,
Beko Cuisinière à Gaz 4 Feux CG6060W + Plaque De Cuisson Far - Garantie 12 Mois,129 900 FCFA,https://www.jumia.sn/beko-cuisiniere-a-gaz-4-feux-cg6060w-plaque-de-cuisson-far-garantie-12-mois-9973725.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/73799/1.jpg?6741,True,149 000 FCFA,13%,,
