name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Evoluderm Gel Lavant Doux Bébé - Visage & Corps - 500ml,2 900 FCFA,https://www.jumia.sn/evoluderm-gel-lavant-doux-bebe-visage-corps-500ml-6172667.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/62716/1.jpg?7706,False,,,,
Evoluderm Gel Lavant Doux Bébé - 500 ml,3 600 FCFA,https://www.jumia.sn/evoluderm-gel-lavant-doux-bebe-500-ml-evoluderm-mpg10166.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/1684/1.jpg?1797,False,,,4 out of 5,(2)
Savonet Gel Lavant Liquide - Citron - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-citron-350ml-10030514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/503001/1.jpg?4802,True,,,,
Savonet Gel Lavant Liquide - Aqua - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-aqua-350ml-10030512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/503001/1.jpg?4350,True,,,,
Savonet Gel Lavant Liquide - Pêche - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-peche-350ml-10030513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/503001/1.jpg?4615,True,,,,
Madar Gel Lavant Mains - Passion - 500ML,565 FCFA,https://www.jumia.sn/madar-gel-lavant-mains-passion-500ml-8872321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/32788/1.jpg?5516,True,590 FCFA,4%,5 out of 5,(3)
Madar Gel Lavant Mains - Savon de Marseille - 500ML,590 FCFA,https://www.jumia.sn/madar-gel-lavant-mains-savon-de-marseille-500ml-8872352.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/32788/1.jpg?5709,True,,,4 out of 5,(1)
Savonet Gel Lavant Liquide - Aloé Vera - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-aloe-vera-350ml-10030515.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/503001/1.jpg?4820,True,,,,
Gel Lavant Moussant à L'extrait De Lavande - 500ml,1 200 FCFA,https://www.jumia.sn/carrefour-gel-lavant-moussant-a-lextrait-de-lavande-500ml-3402406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/42043/1.jpg?3382,False,,,5 out of 5,(1)
"Generic Pack de Toilettes (Lait Corporel, Vaseline, Talc, Gel Lavant, Eau de Toilette + Crème Hydratante)",4 990 FCFA,https://www.jumia.sn/pack-de-toilettes-lait-corporel-vaseline-talc-gel-lavant-eau-de-toilette-creme-hydratante-generic-mpg11897.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/41431/1.jpg?4791,False,,,5 out of 5,(3)
Gel Lavant Bébé Corps & Cheveux Bio - 250ml,1 890 FCFA,https://www.jumia.sn/carrefour-gel-lavant-bebe-corps-cheveux-bio-250ml-6073381.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/33706/1.jpg?7242,False,,,,
Gel Lavant Moussant Pêche - 500ml,1 150 FCFA,https://www.jumia.sn/carrefour-gel-lavant-moussant-peche-500ml-2509829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/89052/1.jpg?8979,False,,,4 out of 5,(1)
Lcs Gel Lavant Mains Bio Mandarine Bergamote - 300ml,1 650 FCFA,https://www.jumia.sn/lcs-gel-lavant-mains-bio-mandarine-bergamote-300ml-6073305.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/33706/1.jpg?6419,False,,,,
