name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
White Label Lentilles Freshlook + Solution Nettoyante + Garde Lentilles,4 675 FCFA,https://www.jumia.sn/white-label-lentilles-freshlook-solution-nettoyante-garde-lentilles-9998570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/58999/1.jpg?1402,False,5 900 FCFA,21%,,
Generic 250 Degree Women Retro Anti-Blu-ray Reading Glasses Fashion Wear-resistant Computer Presbyopic Glasses,1 150 FCFA,https://www.jumia.sn/generic-250-degree-women-retro-anti-blu-ray-reading-glasses-fashion-wear-resistant-computer-presbyopic-glasses-970403.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/4079/1.jpg?3720,False,2 255 FCFA,49%,,
Generic Lentilles de Contact - Freshlook - 2 Lentilles,2 190 FCFA - 3 190 FCFA,https://www.jumia.sn/lentilles-de-contact-freshlook-2-lentilles-gris-generic-mpg1864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/57743/1.jpg?0662,False,5 000 FCFA,56%,3.3 out of 5,(20)
White Label Lentilles Freshlook + Solution Nettoyante + Garde Lentilles : Bleu,4 900 FCFA,https://www.jumia.sn/lentilles-freshlook-solution-nettoyante-garde-lentilles-bleu-white-label-mpg20775.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/89333/1.jpg?2121,False,,,3.7 out of 5,(7)
Generic Lentilles Freshlook + Solution Nettoyante + Garde Lentilles : Gris,5 999 FCFA,https://www.jumia.sn/lentilles-freshlook-solution-nettoyante-garde-lentilles-gris-generic-mpg34052.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/07379/1.jpg?2444,False,10 000 FCFA,40%,3 out of 5,(2)
Sérum Physiologique - 30X5ml,1 990 FCFA,https://www.jumia.sn/carrefour-serum-physiologique-30x5ml-2265570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/55622/1.jpg?1831,False,,,,
Generic 2 Lentilles Freshlook pour un regard attirant - Bleu saphir,2 900 FCFA,https://www.jumia.sn/2-lentilles-freshlook-pour-un-regard-attirant-bleu-saphir-generic-mpg43047.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/30706/1.jpg?0602,False,,,3.4 out of 5,(5)
Lentilles de Couleur - Gris,2 500 FCFA,https://www.jumia.sn/fresh-look-lentilles-de-couleur-gris-2207323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/37022/1.jpg?8845,False,,,,
White Label Lentilles Freshlook + Solution Nettoyante + Garde Lentilles,5 900 FCFA,https://www.jumia.sn/lentilles-freshlook-gris-solution-nettoyante-garde-lentilles-white-label-mpg5947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/66727/1.jpg?1969,False,10 000 FCFA,41%,3.4 out of 5,(8)
Generic 2 Lentilles Freshlook pour un regard attirant - Bleu saphir,2 900 FCFA,https://www.jumia.sn/generic-2-lentilles-freshlook-pour-un-regard-attirant-bleu-saphir-9981890.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/81899/1.jpg?7020,False,5 000 FCFA,42%,,
White Label Lentilles Freshlook + Solution Nettoyante + Garde Lentilles : Honey,4 699 FCFA,https://www.jumia.sn/white-label-lentilles-freshlook-solution-nettoyante-garde-lentilles-honey-3199914.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/99913/1.jpg?1587,False,10 000 FCFA,53%,5 out of 5,(1)
White Label Lentilles Freshlook + Solution Nettoyante + Garde Lentilles : Marron,5 190 FCFA,https://www.jumia.sn/white-label-lentilles-freshlook-solution-nettoyante-garde-lentilles-marron-3199907.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/99913/1.jpg?1587,False,10 000 FCFA,48%,3 out of 5,(2)
