name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Global Air Ventilateur Sur Pied 10 pouces - Global Air - Noir,7 900 FCFA,https://www.jumia.sn/global-air-ventilateur-sur-pied-10-pouces-global-air-noir-38574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/583/1.jpg?6102,True,11 900 FCFA,34%,3.4 out of 5,(19)
Generic Fer à Repasser à Vapeur - 1600 W - Bleu,4 500 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-1600-w-bleu-generic-mpg33500.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/75016/1.jpg?0540,True,9 349 FCFA,52%,3.8 out of 5,(126)
Generic Fer A Repasser A Vapeur - Pour Voyage - Puissance 220V - Blanc/ Bleu,4 703 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-pour-voyage-puissance-220v-blanc-bleu-generic-mpg46055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/51488/1.jpg?9372,True,9 222 FCFA,49%,3.4 out of 5,(51)
Generic Robinet Intelligent-noir,2 998 FCFA,https://www.jumia.sn/generic-robinet-intelligent-noir-9096408.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/46909/1.jpg?4200,True,5 196 FCFA,42%,3.9 out of 5,(23)
Astech Air cooler 16 litres - CP16NG-AL,49 900 FCFA,https://www.jumia.sn/astech-air-cooler-16-litres-cp16ng-al-10028447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/482001/1.jpg?4645,True,75 000 FCFA,33%,,
SMART TECHNOLOGY Split Éco Anti Corrosion Et Purificateur 1.25 CV9000BTU-Blanc-Garantie12mois,129 000 FCFA,https://www.jumia.sn/smart-technology-split-eco-anti-corrosion-et-purificateur-1.25-cv9000btu-blanc-garantie12mois-8886047.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/06888/1.jpg?8159,True,200 000 FCFA,36%,4.3 out of 5,(3)
Generic Balance De Cuisine Numérique - 5kg - Blanc,2 338 FCFA,https://www.jumia.sn/generic-balance-de-cuisine-numerique-5kg-blanc-8841534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/51488/1.jpg?9372,True,4 584 FCFA,49%,3.2 out of 5,(26)
Generic Moustiquaire En Forme Dôme Pop-up Pliable pour Lit 3 places - 2 sorties,8 750 FCFA,https://www.jumia.sn/generic-moustiquaire-en-forme-dome-pop-up-pliable-pour-lit-3-places-2-sorties-9156372.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/36519/1.jpg?2469,False,12 500 FCFA,30%,4.2 out of 5,(13)
Generic Sonde De Thermomètre Numérique,1 500 FCFA,https://www.jumia.sn/generic-sonde-de-thermometre-numerique-9801079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/01089/1.jpg?9396,True,2 941 FCFA,49%,4 out of 5,(1)
Generic Distributeur De Dentifrices Automatique - Blanc,4 273 FCFA,https://www.jumia.sn/distributeur-de-dentifrices-automatique-blanc-generic-mpg33178.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/75016/1.jpg?0715,True,8 378 FCFA,49%,3.6 out of 5,(27)
Nasco NASCO - Batteur Sur Socle - HM945B - 2.3 Litres - 200-250W - Blanc,6 900 FCFA,https://www.jumia.sn/nasco-nasco-batteur-sur-socle-hm945b-2.3-litres-200-250w-blanc-9850838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/80589/1.jpg?5600,True,12 000 FCFA,43%,4.1 out of 5,(26)
