name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Other Barbecue au Charbon de Bois Portable + 12 brochettes, plateau couteaux",22 990 FCFA,https://www.jumia.sn/barbecue-au-charbon-de-bois-portable-12-brochettes-plateau-couteaux-other-mpg37190.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/06134/1.jpg?2186,False,55 000 FCFA,58%,2.7 out of 5,(3)
Generic Barbecue Pique-Nique Portable - à Charbon 48x33x30cm,18 900 FCFA,https://www.jumia.sn/barbecue-pique-nique-portable-a-charbon-48x33x30cm-generic-mpg32592.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/56888/1.jpg?2733,False,38 900 FCFA,51%,,
Barbecook Premium Barbecue - Double Face - 45 x 45 cm Barbecue au charbon,3 500 FCFA,https://www.jumia.sn/barbecook-premium-barbecue-double-face-45-x-45-cm-barbecue-au-charbon-4320032.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/00234/1.jpg?5585,False,20 000 FCFA,83%,,
Generic Barbecue à Charbon - Rouge/Noir - 70 x 96 cm,23 000 FCFA,https://www.jumia.sn/generic-barbecue-a-charbon-rougenoir-70-x-96-cm-9169258.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/29619/1.jpg?0805,False,30 000 FCFA,23%,,
White Label Fritteuse 28Cm,6 999 FCFA,https://www.jumia.sn/white-label-fritteuse-28cm-9900810.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/80099/1.jpg?8063,False,15 000 FCFA,53%,,
White Label Mini Barbecue - 61 cm - Noir,5 999 FCFA,https://www.jumia.sn/mini-barbecue-61-cm-noir-white-label-mpg38454.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/89333/1.jpg?2121,False,12 999 FCFA,54%,3.6 out of 5,(9)
White Label Fritteuse électrique,26 599 FCFA,https://www.jumia.sn/fritteuse-electrique-white-label-mpg46414.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/80099/1.jpg?8061,False,45 000 FCFA,41%,,
Generic Barbecue à charbon,23 000 FCFA,https://www.jumia.sn/generic-barbecue-a-charbon-10039038.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/093001/1.jpg?5699,False,30 000 FCFA,23%,,
Generic Ensemble Barbecue Pique-Nique Portable+10 piques+06 couteaux,35 500 FCFA,https://www.jumia.sn/ensemble-barbecue-pique-nique-portable10-piques06-couteaux-generic-mpg33322.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/54979/1.jpg?6378,False,,,,
Generic Barbecue Pique-Nique Portable - à Charbon 73x71x30cm,24 200 FCFA,https://www.jumia.sn/generic-barbecue-pique-nique-portable-a-charbon-73x71x30cm-8886561.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/56888/1.jpg?2733,False,40 000 FCFA,40%,4 out of 5,(1)
Generic Bec à gaz pour cuisine,2 000 FCFA,https://www.jumia.sn/bec-a-gaz-pour-cuisine-generic-mpg45292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/08489/1.jpg?9611,False,6 000 FCFA,67%,,
Generic Barbecue au Charbon de Bois Portable,12 900 FCFA,https://www.jumia.sn/barbecue-au-charbon-de-bois-portable-generic-mpg32595.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/84534/1.jpg?5511,False,24 000 FCFA,46%,,
Generic Grille pain a deux planche,12 500 FCFA,https://www.jumia.sn/generic-grille-pain-a-deux-planche-9797715.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/77979/1.jpg?9696,False,20 000 FCFA,38%,,
