name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Karolina Riz de la Vallée Entier - 5KG,2 680 FCFA,https://www.jumia.sn/riz-long-grain-karolina-5kg-karolina-mpg30664.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/30298/1.jpg?7582,True,,,4.1 out of 5,(27)
Generic Couscous Moyen Capa - 1KG,800 FCFA,https://www.jumia.sn/generic-couscous-moyen-capa-1kg-8832751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/72388/1.jpg?6422,True,,,3.9 out of 5,(7)
NOR DAR Couscous Fin 500g,430 FCFA,https://www.jumia.sn/nor-dar-couscous-fin-500g-9774311.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/34779/1.jpg?7188,True,,,4 out of 5,(1)
Generic Riz Basmati - 5KG,5 225 FCFA,https://www.jumia.sn/generic-riz-basmati-5kg-9774326.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/34779/1.jpg?3001,True,,,4.8 out of 5,(4)
Thiof Riz Parfumé Brisé 100% - 25Kg,12 990 FCFA,https://www.jumia.sn/riz-parfume-brise-100-25kg-thiof-mpg30659.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/72388/1.jpg?7906,True,,,3.8 out of 5,(10)
Royal Sénégal Riz Long Grain 5% Parfumé - 1KG,600 FCFA,https://www.jumia.sn/royal-senegal-riz-long-grain-5-parfume-1kg-9156649.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/66519/1.jpg?4867,True,,,3.6 out of 5,(5)
NOR DAR Couscous Moyen 1kg,910 FCFA,https://www.jumia.sn/nor-dar-couscous-moyen-1kg-9774314.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/34779/1.jpg?4619,True,,,4.8 out of 5,(5)
Generic Riz Basmati - 1KG,1 040 FCFA,https://www.jumia.sn/generic-riz-basmati-1kg-9774325.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/34779/1.jpg?2921,True,,,5 out of 5,(2)
NOR DAR Couscous Moyen 500g,430 FCFA,https://www.jumia.sn/nor-dar-couscous-moyen-500g-9774312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/34779/1.jpg?4563,True,,,5 out of 5,(1)
NOR DAR Couscous Fin - 1kg,910 FCFA,https://www.jumia.sn/nor-dar-couscous-fin-1kg-9774313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/34779/1.jpg?4583,True,,,,
