name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Boitier Disque dur Externe WD 2.0/3.0,4 000 FCFA,https://www.jumia.sn/boitier-disque-dur-externe-wd-2.03.0-generic-mpg44445.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/82489/1.jpg?8492,False,6 000 FCFA,33%,3 out of 5,(2)
Jerry Power Enceinte Bluetooth -Home Theatre - JD3 - Rouge Noir,27 000 FCFA,https://www.jumia.sn/enceinte-bluetooth-home-theatre-jd3-rouge-noir-jerry-power-mpg44732.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/83489/1.jpg?2880,False,45 000 FCFA,40%,,
Generic Haut Parleur Bluetooth - sans Fil avec câble de charge - Bleu,2 900 FCFA,https://www.jumia.sn/generic-haut-parleur-bluetooth-sans-fil-avec-cable-de-charge-bleu-9414717.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/74149/1.jpg?5155,False,5 500 FCFA,47%,,
Generic Woofer Speaker HI-FI - Avec télécommande - Noir,15 990 FCFA,https://www.jumia.sn/generic-woofer-speaker-hi-fi-avec-telecommande-noir-5740994.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/90475/1.jpg?9980,False,60 000 FCFA,73%,3.1 out of 5,(9)
Ecobox Haut parleur Bluetooth 10 W Portatif EB8001 - Noir,30 000 FCFA,https://www.jumia.sn/haut-parleur-bluetooth-10-w-portatif-eb8001-noir-ecobox-mpg19994.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/96606/1.jpg?7123,True,,,4 out of 5,(2)
Generic Haut Parleur pour PC - Master IT,3 190 FCFA,https://www.jumia.sn/generic-haut-parleur-pour-pc-master-it-9806748.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/76089/1.jpg?3622,False,20 000 FCFA,84%,,
Generic Stéréo BT speaker Bluetooth avec port & carte,2 807 FCFA,https://www.jumia.sn/generic-stereo-bt-speaker-bluetooth-avec-port-carte-9760701.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/70679/1.jpg?7023,False,7 500 FCFA,63%,1.5 out of 5,(2)
Generic Haut Parleur- Bluetooth - sans fil WS - 1601 - Noir,12 500 FCFA,https://www.jumia.sn/generic-haut-parleur-bluetooth-sans-fil-ws-1601-noir-9489449.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/49849/1.jpg?9148,False,20 000 FCFA,38%,,
White Home Cinéma 2.1 -IMP avec Bluetooth - port USB/SD - Noir - haut qualité,20 000 FCFA,https://www.jumia.sn/white-home-cinema-2.1-imp-avec-bluetooth-port-usbsd-noir-haut-qualite-9805825.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/85089/1.jpg?5325,False,60 000 FCFA,67%,3 out of 5,(1)
Generic Enceinte Haut-Parleur USB Sans Fil - 113 - Mains Libres - Bluetooth - Noir,3 325 FCFA,https://www.jumia.sn/enceinte-haut-parleur-usb-sans-fil-113-mains-libres-bluetooth-noir-generic-mpg33301.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/48849/1.jpg?2994,False,3 500 FCFA,5%,4 out of 5,(4)
Lonen - Ampoule Bluetooth pour soirée romantique avec Musique - Rechargeable,5 490 FCFA,https://www.jumia.sn/ampoule-bluetooth-pour-soiree-romantique-avec-musique-rechargeable-lonen-mpg36837.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/15289/1.jpg?1774,False,10 000 FCFA,45%,,
Generic Double baffles -Haut Parleur pour PC et téléviseur - Noir,4 900 FCFA,https://www.jumia.sn/generic-double-baffles-haut-parleur-pour-pc-et-televiseur-noir-9960294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/20699/1.jpg?9401,False,8 000 FCFA,39%,,
Generic Haut Parleur Bluetooth - 113 - sans Fil - Noir,3 325 FCFA,https://www.jumia.sn/haut-parleur-bluetooth-113-sans-fil-noir-generic-mpg33708.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/86849/1.jpg?9204,False,3 500 FCFA,5%,,
Generic Woofer Speaker HI-FI - Home Cinéma + Télécommande - Noir,16 500 FCFA,https://www.jumia.sn/generic-woofer-speaker-hi-fi-home-cinema-telecommande-noir-9264517.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/54629/1.jpg?8745,False,25 000 FCFA,34%,3.5 out of 5,(4)
