name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
SMART TECHNOLOGY Système Audio Avec Haut-parleur Multimédia - Radio /Usb/SD Card/mp3 - STHB-9888M - Noir,32 600 FCFA,https://www.jumia.sn/smart-technology-systeme-audio-avec-haut-parleur-multimedia-radio-usbsd-cardmp3-sthb-9888m-noir-9752599.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/52579/1.jpg?8839,True,45 000 FCFA,28%,4.8 out of 5,(4)
SMART TECHNOLOGY Système Audio avec Haut-parleur multimédia STHB-9917M - Radio FM - Port USB - Port Carte Mémoire,29 900 FCFA,https://www.jumia.sn/smart-technology-systeme-audio-avec-haut-parleur-multimedia-sthb-9917m-radio-fm-port-usb-port-carte-memoire-9802709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/72089/1.jpg?4544,True,43 000 FCFA,30%,,
"Generic 2.1 Haut-parleurs Bluetooth sans fil- 3en1 avec port USB, carte SD & radio FM",6 900 FCFA,https://www.jumia.sn/2.1-haut-parleurs-bluetooth-sans-fil-3en1-avec-port-usb-carte-sd-radio-fm-generic-mpg45263.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/01389/1.jpg?8802,False,15 000 FCFA,54%,3 out of 5,(1)
Sony Système audio - Snoy - high-power - MHC V21D - Avec technologie BLUETOOTH,185 000 FCFA,https://www.jumia.sn/sony-systeme-audio-snoy-high-power-mhc-v21d-avec-technologie-bluetooth-1359720.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/79531/1.jpg?2129,False,220 000 FCFA,16%,,
Generic Home Cinéma Mini 2.1 Bluetooth sans fil avec port USBcarteSD FM- Noir,9 135 FCFA,https://www.jumia.sn/generic-home-cinema-mini-2.1-bluetooth-sans-fil-avec-port-usbcartesd-fm-noir-9413123.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/13149/1.jpg?1190,False,20 300 FCFA,55%,4.1 out of 5,(7)
White Home Cinéma Mini - 2.1 avec Bluetooth port USB carte SD FM - Noir,9 400 FCFA,https://www.jumia.sn/white-home-cinema-mini-2.1-avec-bluetooth-port-usb-carte-sd-fm-noir-9460778.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/70649/1.jpg?7065,False,19 000 FCFA,51%,3.7 out of 5,(7)
Hisense Barre De Son 2.0CH - 60W - HS205 - Noir - Garantie 12 mois,49 000 FCFA,https://www.jumia.sn/hisense-barre-de-son-2.0ch-60w-hs205-noir-garantie-12-mois-9959977.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/99599/1.jpg?9679,True,60 000 FCFA,18%,,
Generic haut-parleurs true sound système de cinéma audionic,29 000 FCFA,https://www.jumia.sn/generic-haut-parleurs-true-sound-systeme-de-cinema-audionic-9844972.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/94489/1.jpg?4610,False,45 000 FCFA,36%,,
SMART TECHNOLOGY Système Audio avec Haut-parleur multimédia - STHB-9988M - Fonction Bluetooth + USD + AUX - Port USB,30 500 FCFA,https://www.jumia.sn/smart-technology-systeme-audio-avec-haut-parleur-multimedia-sthb-9988m-fonction-bluetooth-usd-aux-port-usb-9802712.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/72089/1.jpg?1782,True,40 000 FCFA,24%,4.5 out of 5,(2)
Generic HOME CINEMA AVEC BLUETOOTH USB/SD-WOOFER JERRY POWER,34 550 FCFA,https://www.jumia.sn/home-cinema-avec-bluetooth-usbsd-woofer-jerry-power-generic-mpg33657.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/17159/1.jpg?5308,False,65 000 FCFA,47%,4 out of 5,(4)
