name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
J'Adore Huile de Tournesol - 5L,7 760 FCFA,https://www.jumia.sn/jadore-huile-de-tournesol-5l-9960713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/70699/1.jpg?7034,True,,,3.8 out of 5,(10)
Mis Huile Tournesol Mis 5 litres,7 950 FCFA,https://www.jumia.sn/mis-huile-tournesol-mis-5-litres-8845385.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/35488/1.jpg?3126,True,,,4.6 out of 5,(34)
J'Adore Huile de Tournesol - 1L,1 600 FCFA,https://www.jumia.sn/jadore-huile-de-tournesol-1l-9960714.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/70699/1.jpg?7056,True,,,5 out of 5,(1)
J'Adore Huile de Tournesol - 250ML,410 FCFA,https://www.jumia.sn/jadore-huile-de-tournesol-250ml-9960716.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/70699/1.jpg?4476,True,,,,
TERRA DELYSSA Huile D'olive 250ml,1 710 FCFA,https://www.jumia.sn/terra-delyssa-huile-dolive-250ml-9774319.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/34779/1.jpg?2432,True,,,4.8 out of 5,(5)
Hemani Huile pour peau de Coco concentré et Pure - 100% Naturelle - 400 ml,1 750 FCFA,https://www.jumia.sn/hemani-huile-pour-peau-de-coco-concentre-et-pure-100-naturelle-400-ml-10021447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/412001/1.jpg?8910,False,17 000 FCFA,90%,,
Hemani Huile de Coco concentré et Pure - 100% Naturelle - 400 ml,3 200 FCFA,https://www.jumia.sn/hemani-huile-de-coco-concentre-et-pure-100-naturelle-400-ml-9913705.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/73199/1.jpg?2468,False,15 000 FCFA,79%,,
TERRA DELYSSA Huile D'olive 500ml,3 210 FCFA,https://www.jumia.sn/terra-delyssa-huile-dolive-500ml-9774320.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/34779/1.jpg?2413,True,,,4 out of 5,(2)
Lesieur Huile Végétale Lesieur - 3L,5 225 FCFA,https://www.jumia.sn/lesieur-huile-vegetale-lesieur-3l-3075023.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/05703/1.jpg?5276,False,,,4.3 out of 5,(18)
Ducros Huile D'olives 500 Ml,5 240 FCFA,https://www.jumia.sn/ducros-huile-dolives-500-ml-9752902.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/92579/1.jpg?9826,True,,,4 out of 5,(1)
