name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Always Serviettes Hygiéniques - Longues - Ultra Minces - x14,1 090 FCFA,https://www.jumia.sn/always-serviettes-hygieniques-longues-ultra-minces-x14-9287967.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/97829/1.jpg?0693,True,,,,
Nana 10 Pièces - Serviettes Hygieniques Maxi Plus Normal,610 FCFA,https://www.jumia.sn/nana-10-pieces-serviettes-hygieniques-maxi-plus-normal-9785146.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/15879/1.jpg?5895,True,,,4 out of 5,(3)
Always Serviettes Hygiéniques Maxi Epaisse - 7 Pièces rose,525 FCFA,https://www.jumia.sn/always-serviettes-hygieniques-maxi-epaisse-7-pieces-rose-9279758.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/79729/1.jpg?8898,True,,,4.3 out of 5,(4)
Nana 9 Pièces - Serviettes Hygieniques Maxi Plus Super,650 FCFA,https://www.jumia.sn/nana-9-pieces-serviettes-hygieniques-maxi-plus-super-9785147.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/15879/1.jpg?5861,True,,,4.4 out of 5,(5)
Nana 20 Pièces - Protège Slip Douceur Extreme Normal,1 300 FCFA,https://www.jumia.sn/nana-20-pieces-protege-slip-douceur-extreme-normal-9785148.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/15879/1.jpg?5758,True,,,4 out of 5,(1)
White Label Cristaux de Menthole,500 FCFA,https://www.jumia.sn/cristaux-de-menthole-white-label-mpg38366.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/61/1.jpg?6283,False,1 000 FCFA,50%,3.6 out of 5,(221)
Always Serviettes Hygiéniques Maxi Epaisse - 7 Pièces,525 FCFA,https://www.jumia.sn/always-serviettes-hygieniques-maxi-epaisse-7-pieces-9279759.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/79729/1.jpg?7532,True,,,,
Always Serviettes Hygiéniques Ultra Thin Long - 14 Pièces,1 030 FCFA,https://www.jumia.sn/always-serviettes-hygieniques-ultra-thin-long-14-pieces-9279765.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/79729/1.jpg?1072,True,,,3.3 out of 5,(4)
Nana 9 Pièces - Serviettes Hygieniques Maxi Super,760 FCFA,https://www.jumia.sn/nana-9-pieces-serviettes-hygieniques-maxi-super-9785143.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/15879/1.jpg?5630,True,,,,
Always Serviettes Hygiéniques Ultra Thin Long - 7 Pièces,525 FCFA,https://www.jumia.sn/always-serviettes-hygieniques-ultra-thin-long-7-pieces-9279766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/79729/1.jpg?9784,True,,,3 out of 5,(2)
Naturel Pommade POUR FESSE ET HANCHE Boom Boom,2 500 FCFA,https://www.jumia.sn/naturel-pommade-pour-fesse-et-hanche-boom-boom-10028226.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/282001/1.jpg?3479,False,8 000 FCFA,69%,,
Nana 8 Pièces - Serviettes Hygieniques Extra Nuit,870 FCFA,https://www.jumia.sn/nana-8-pieces-serviettes-hygieniques-extra-nuit-9800198.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/10089/1.jpg?5814,True,,,4 out of 5,(2)
Generic Lingettes pour Femme - Lalal Bassang - 80 Pièces,1 875 FCFA,https://www.jumia.sn/lingettes-pour-femme-lalal-bassang-80-pieces-generic-mpg43220.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/46738/1.jpg?3452,False,,,,
White Label Huile d'Avocat - 60 ml,1 490 FCFA,https://www.jumia.sn/huile-davocat-60-ml-white-label-mpg5874.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/498/1.jpg?0863,False,,,5 out of 5,(1)
