name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Hp Imprimante Multifonctions Deskjet 2130 avec Cartouche 302 XL,48 700 FCFA,https://www.jumia.sn/imprimante-multifonctions-deskjet-2130-avec-cartouche-302-xl-hp-mpg44536.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/58103/1.jpg?8303,False,59 900 FCFA,19%,4.8 out of 5,(6)
Hp IMPRIMANTE MULTI-FONCTIONS HP DeskJet 2320,42 500 FCFA,https://www.jumia.sn/hp-imprimante-multi-fonctions-hp-deskjet-2320-9923072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/03299/1.jpg?1193,False,55 000 FCFA,23%,4 out of 5,(1)
Hp Imprimante tout-en-un jet d'encre couleur - DeskJet HP 2710 - Wifi,50 990 FCFA,https://www.jumia.sn/hp-imprimante-tout-en-un-jet-dencre-couleur-deskjet-hp-2710-wifi-9156783.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/76519/1.jpg?7780,False,78 000 FCFA,35%,4.5 out of 5,(2)
Hp Imprimante multifonction WIFI tout-en-un jet d'encre couleur - HP DeskJet 2710,48 000 FCFA,https://www.jumia.sn/hp-imprimante-multifonction-wifi-tout-en-un-jet-dencre-couleur-hp-deskjet-2710-9158490.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/48519/1.jpg?1242,False,85 900 FCFA,44%,3.1 out of 5,(7)
Hp M130a Laserjet Pro MULTIFONCTION LASER 3-EN-1 (USB 2.0),181 900 FCFA,https://www.jumia.sn/hp-m130a-laserjet-pro-multifonction-laser-3-en-1-usb-2.0-9790425.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/40979/1.jpg?0480,False,255 000 FCFA,29%,4.5 out of 5,(2)
Hp Cartouche 123 Noir et Couleur,29 500 FCFA,https://www.jumia.sn/cartouche-123-noir-et-couleur-hp-mpg36473.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/23788/1.jpg?1949,False,,,4.6 out of 5,(5)
Hp Imprimante à Réservoir Ink Tank 415 - Impression - Photocopie - Scanner -Wifi,175 000 FCFA,https://www.jumia.sn/hp-imprimante-a-reservoir-ink-tank-415-impression-photocopie-scanner-wifi-9797417.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/47979/1.jpg?3167,False,250 000 FCFA,30%,,
Hp Copy Cartouche HP 203A,39 900 FCFA,https://www.jumia.sn/hp-copy-cartouche-hp-203a-10021681.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/612001/1.jpg?2953,False,,,,
Hp Imprimante tout-en-un jet d'encre - DeskJet 2320,43 000 FCFA,https://www.jumia.sn/hp-imprimante-tout-en-un-jet-dencre-deskjet-2320-9368688.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/68639/1.jpg?0577,False,56 000 FCFA,23%,,
Dymo Ruban d'étiquettes 91201,7 000 FCFA,https://www.jumia.sn/dymo-ruban-detiquettes-91201-9356380.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/36539/1.jpg?3277,False,,,,
Generic Kit recharge cartouche d'encre couleur universelle 100ml,10 500 FCFA,https://www.jumia.sn/generic-kit-recharge-cartouche-dencre-couleur-universelle-100ml-8814957.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/94188/1.jpg?0914,False,18 000 FCFA,42%,3.8 out of 5,(4)
Hp imprimante multifonction deskjet 2320 avec cartouche 302,50 000 FCFA,https://www.jumia.sn/hp-imprimante-multifonction-deskjet-2320-avec-cartouche-302-8872692.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/62788/1.jpg?5010,False,52 900 FCFA,5%,1 out of 5,(2)
Hp Imprimante multifonction HP LaserJet Pro M28w,184 000 FCFA,https://www.jumia.sn/hp-imprimante-multifonction-hp-laserjet-pro-m28w-9928359.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/38299/1.jpg?3870,False,202 700 FCFA,9%,,
Printer Imprimente d étiquette Bluetooth,13 993 FCFA,https://www.jumia.sn/printer-imprimente-d-etiquette-bluetooth-9900660.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/60099/1.jpg?3709,False,19 990 FCFA,30%,,
White Label Détecteur de Faux billets,6 900 FCFA,https://www.jumia.sn/detecteur-de-faux-billets-white-label-mpg7336.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/556/1.jpg?2483,False,7 900 FCFA,13%,3.8 out of 5,(13)
Hp Kit recharge cartouche d'encre couleur universelle 100ml imprimantes pour HP/CANON/EPSON et autres,3 900 FCFA,https://www.jumia.sn/hp-kit-recharge-cartouche-dencre-couleur-universelle-100ml-imprimantes-pour-hpcanonepson-et-autres-8772344.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/32778/1.jpg?3889,False,,,4.3 out of 5,(3)
Hp OfficeJet Pro 7720 Imprimante Multifonction jet d’encre,250 000 FCFA,https://www.jumia.sn/hp-officejet-pro-7720-imprimante-multifonction-jet-dencre-9779981.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/99779/1.jpg?4541,False,300 910 FCFA,17%,4 out of 5,(1)
Hp - Laser 107a - Imprimante Laser - Monochrome - Monofonction,125 000 FCFA,https://www.jumia.sn/hp-laser-107a-imprimante-laser-monochrome-monofonction-9734060.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/04379/1.jpg?3339,False,150 000 FCFA,17%,,
Hp DeskJet 2320 (7WN42B,43 000 FCFA,https://www.jumia.sn/deskjet-2320-7wn42b-hp-mpg36478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/30339/1.jpg?2745,False,55 950 FCFA,23%,,
Hp Hp-DeskJet 2320 (7WN42B),47 000 FCFA,https://www.jumia.sn/hp-hp-deskjet-2320-7wn42b-9156910.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/96519/1.jpg?9443,False,65 000 FCFA,28%,,
Hp Imprimante HP Laser 107a Mono Laser,124 800 FCFA,https://www.jumia.sn/hp-imprimante-hp-laser-107a-mono-laser-9974224.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/24799/1.jpg?8267,False,250 000 FCFA,50%,,
Generic Impirmante hp 2710 - Blanc,50 000 FCFA,https://www.jumia.sn/generic-impirmante-hp-2710-blanc-8937125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/17398/1.jpg?2957,False,,,,
Hp Impirmante hp 428 fdw - noir,310 000 FCFA,https://www.jumia.sn/hp-impirmante-hp-428-fdw-noir-8937153.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/17398/1.jpg?2958,False,,,,
Hp Laserjet MFP 135a Imprimante Laser Monochrome Multifonction,160 000 FCFA,https://www.jumia.sn/hp-laserjet-mfp-135a-imprimante-laser-monochrome-multifonction-8937174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/17398/1.jpg?2958,False,,,3 out of 5,(1)
Hp Imprimante HP DeskJet 2710 - Wifi,47 800 FCFA,https://www.jumia.sn/hp-imprimante-hp-deskjet-2710-wifi-9158488.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/48519/1.jpg?1242,False,60 500 FCFA,21%,3 out of 5,(1)
Hp IMPRIMANTE HP DeskJet 2320,43 500 FCFA,https://www.jumia.sn/imprimante-hp-deskjet-2320-hp-mpg36481.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/03979/1.jpg?3822,False,60 600 FCFA,28%,,
Hp Imprimante tout-en-un HP DeskJet 2320,46 900 FCFA,https://www.jumia.sn/imprimante-tout-en-un-hp-deskjet-2320-hp-mpg45729.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/01589/1.jpg?0168,False,60 000 FCFA,22%,,
