name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Kangourou -Porte-Bébé de 0 à 2 ans - Baby Carriers - rouge,4 460 FCFA,https://www.jumia.sn/kangourou-porte-bebe-de-0-a-2-ans-baby-carriers-rouge-generic-mpg33873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/10529/1.jpg?1603,False,4 800 FCFA,7%,4.2 out of 5,(17)
Game Design House Happy game fence - CA820916,27 000 FCFA,https://www.jumia.sn/game-design-house-happy-game-fence-ca820916-6036722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/76306/1.jpg?7371,False,55 000 FCFA - 65 000 FCFA,58%,,
Generic Poupée enfant black girl,17 990 FCFA,https://www.jumia.sn/generic-poupee-enfant-black-girl-9806008.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/06089/1.jpg?2257,False,25 000 FCFA,28%,,
Generic Porte-Bébé - Kangourou Premium - Baby Carriers,4 500 FCFA,https://www.jumia.sn/porte-bebe-kangourou-premium-baby-carriers-generic-mpg29225.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/17159/1.jpg?5310,False,8 500 FCFA,47%,3 out of 5,(2)
Tijinou Youpala Bébé - Vert,34 700 FCFA,https://www.jumia.sn/tijinou-youpala-bebe-vert-5735388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/35375/1.jpg?1435,False,35 000 FCFA,1%,2.7 out of 5,(3)
Happy Space Gymnase et Tapis de Jeu 2en1 pour Enfant A partir de 6 Mois,24 500 FCFA,https://www.jumia.sn/gymnase-et-tapis-de-jeu-2en1-pour-enfant-a-partir-de-6-mois-happy-space-mpg36446.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/52189/1.jpg?8075,False,50 000 FCFA,51%,3.8 out of 5,(4)
Generic Ensemble 7 en 1 avec table et 2 chaises - Bloc de Construction Kidcheer Enfant 2-10 Ans -,29 000 FCFA,https://www.jumia.sn/ensemble-7-en-1-avec-table-et-2-chaises-bloc-de-construction-kidcheer-enfant-2-10-ans-generic-mpg33320.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/24879/1.jpg?1168,False,55 000 FCFA,47%,5 out of 5,(1)
Generic Gymnase et Tapis de Jeu 2en1 pour Enfant A partir de 6 Mois,24 900 FCFA,https://www.jumia.sn/generic-gymnase-et-tapis-de-jeu-2en1-pour-enfant-a-partir-de-6-mois-9806570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/56089/1.jpg?1952,False,35 000 FCFA,29%,,
Generic MT Cute Infant Baby Play Activity Spiral Bed & Stroller Toys Set Hanging Toys-multi Color,17 935 FCFA,https://www.jumia.sn/generic-mt-cute-infant-baby-play-activity-spiral-bed-stroller-toys-set-hanging-toys-multi-color-2199674.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/69912/1.jpg?3597,False,35 167 FCFA,49%,,
White Chaise bébé berçante Table à manger -siège enfant de 0-5 ans,55 000 FCFA,https://www.jumia.sn/white-chaise-bebe-bercante-table-a-manger-siege-enfant-de-0-5-ans-9735052.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/05379/1.jpg?8492,False,95 000 FCFA,42%,,
