name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Tijinou Youpala Bébé - Vert,34 700 FCFA,https://www.jumia.sn/tijinou-youpala-bebe-vert-5735388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/35375/1.jpg?1435,False,35 000 FCFA,1%,2.7 out of 5,(3)
Tijinou Youpla bébé - Vert,28 500 FCFA,https://www.jumia.sn/youpla-bebe-vert-tijinou-mpg25148.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/03904/1.jpg?0314,False,35 000 FCFA,19%,,
White Chaise bébé berçante Table à manger -siège enfant de 0-5 ans,55 000 FCFA,https://www.jumia.sn/white-chaise-bebe-bercante-table-a-manger-siege-enfant-de-0-5-ans-9735052.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/05379/1.jpg?8492,False,95 000 FCFA,42%,,
Generic Youpala pour bébé avec des jeux,34 000 FCFA,https://www.jumia.sn/generic-youpala-pour-bebe-avec-des-jeux-9846452.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/46489/1.jpg?0898,False,60 000 FCFA,43%,,
Generic Balance Youpala Bébé - Bleu,30 000 FCFA,https://www.jumia.sn/balance-youpala-bebe-bleu-generic-mpg32574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/12579/1.jpg?3382,False,,,4.5 out of 5,(2)
White Tapis de jeu grand cercle de bébé -couverture fitnes piscine,46 500 FCFA,https://www.jumia.sn/tapis-de-jeu-grand-cercle-de-bebe-couverture-fitnes-piscine-white-mpg40313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/53849/1.jpg?5744,False,60 000 FCFA,23%,,
White Youpala pour Bébé - avec des jeux d'enfant,27 930 FCFA,https://www.jumia.sn/white-youpala-pour-bebe-avec-des-jeux-denfant-9483718.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/73849/1.jpg?1463,False,39 900 FCFA,30%,3 out of 5,(1)
Generic Voiture enfant poussette moderne,39 000 FCFA,https://www.jumia.sn/generic-voiture-enfant-poussette-moderne-9728996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/98279/1.jpg?9317,False,75 000 FCFA,48%,,
Tijinou Balance Youpala Bébé -,33 000 FCFA,https://www.jumia.sn/balance-youpala-bebe-tijinou-mpg38177.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/24089/1.jpg?1323,False,50 000 FCFA,34%,,
Generic Balance Youpala Bébé -,34 000 FCFA,https://www.jumia.sn/generic-balance-youpala-bebe-10050215.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/205001/1.jpg?7439,False,40 000 FCFA,15%,,
Tijinou Youpla bébé - Vert,28 500 FCFA,https://www.jumia.sn/youpla-bebe-vert-tijinou-mpg43609.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/82595/1.jpg?4475,False,35 000 FCFA,19%,,
Tijinou Youpla Bébé - CA820585,25 000 FCFA,https://www.jumia.sn/tijinou-youpla-bebe-ca820585-1215734.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/75121/1.jpg?3669,False,45 000 FCFA,44%,,
Generic Youpala Bébé - Vert,35 000 FCFA,https://www.jumia.sn/generic-youpala-bebe-vert-4884263.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/24884/1.jpg?0757,False,45 000 FCFA,22%,,
Generic couverture fitnes piscine-Tapis de jeu grand cercle de bébé,40 375 FCFA,https://www.jumia.sn/generic-couverture-fitnes-piscine-tapis-de-jeu-grand-cercle-de-bebe-9489565.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/59849/1.jpg?7387,False,42 500 FCFA,5%,,
Generic Youpala Bébé - Haut - qualitré,35 500 FCFA,https://www.jumia.sn/generic-youpala-bebe-haut-qualitre-10019306.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/391001/1.jpg?0847,False,65 500 FCFA,46%,,
Generic Youpla bébé - Trotteur à Roulette,45 000 FCFA,https://www.jumia.sn/generic-youpla-bebe-trotteur-a-roulette-9767665.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/67679/1.jpg?6104,False,100 000 FCFA,55%,,
Generic Youpla bébé - multicouleur pour s'assoir et y jouer,50 000 FCFA,https://www.jumia.sn/youpla-bebe-multicouleur-pour-sassoir-et-y-jouer-generic-mpg36101.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/67679/1.jpg?6104,False,100 000 FCFA,50%,,
