name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Mini Jus Cocktail Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-cocktail-briquette-200-ml-9852753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/72589/1.jpg?3892,True,,,4 out of 5,(4)
Mini Jus Ananas Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-ananas-briquette-200-ml-9852754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/72589/1.jpg?3898,True,,,4.4 out of 5,(7)
Mini Jus Orange Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-orange-briquette-200-ml-9852752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/72589/1.jpg?3884,True,,,4.4 out of 5,(7)
Mini Jus Pomme Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-pomme-briquette-200-ml-9852755.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/72589/1.jpg?3905,True,200 FCFA,10%,5 out of 5,(1)
Présséa Fresh Pack De 6 Canettes Ananas Coco - 25 CL,1 500 FCFA,https://www.jumia.sn/pack-de-6-canettes-ananas-coco-25-cl-pressea-fresh-mpg30705.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/94539/1.jpg?5366,True,1 550 FCFA,3%,4.3 out of 5,(27)
Présséa Fresh Pack De 6 Canettes Goyave - 25 CL,1 500 FCFA,https://www.jumia.sn/pack-de-6-canettes-goyave-25-cl-pressea-fresh-mpg30709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/94539/1.jpg?5446,True,1 550 FCFA,3%,4.4 out of 5,(27)
Présséa Fresh Pack De 6 Canettes Orange - 25 CL,1 500 FCFA,https://www.jumia.sn/pack-de-6-canettes-orange-25-cl-pressea-fresh-mpg30706.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/84539/1.jpg?2345,True,1 550 FCFA,3%,4.4 out of 5,(24)
Nectar De Fruits - Cocktail - 1 Litre,850 FCFA,https://www.jumia.sn/pressea-nectar-de-fruits-cocktail-1-litre-9354853.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/84539/1.jpg?9882,True,890 FCFA,4%,4.3 out of 5,(10)
Nectar De Fruits - Mix Coco/Ananas - 1 Litre,850 FCFA,https://www.jumia.sn/jus-mix-coco-ananas-1l-pressea-mpg19845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/84539/1.jpg?9722,True,890 FCFA,4%,4.5 out of 5,(49)
Nectar De Fruits - Orange - 1 Litre,850 FCFA,https://www.jumia.sn/jus-orange-1-litre-pressea-mpg19846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/84539/1.jpg?9764,True,890 FCFA,4%,4.2 out of 5,(28)
Présséa Fresh Canette Orange - 25 CL,250 FCFA,https://www.jumia.sn/pressea-fresh-canette-orange-25-cl-9415232.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/25149/1.jpg?9711,True,260 FCFA,4%,4.5 out of 5,(4)
Nectar De Fruits - Pomme - 1 Litre,850 FCFA,https://www.jumia.sn/jus-pomme-1-litre-pressea-mpg19847.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/84539/1.jpg?9850,True,890 FCFA,4%,4.6 out of 5,(33)
Nectar De Fruits - Ananas - 1 Litre,850 FCFA,https://www.jumia.sn/jus-ananas-1-litre-pressea-mpg19839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/84539/1.jpg?9786,True,890 FCFA,4%,4.5 out of 5,(51)
Nectar De Fruits - Goyave - 1 Litre,1 050 FCFA,https://www.jumia.sn/jus-goyave-1-litre-pressea-mpg19842.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/84539/1.jpg?9820,True,1 090 FCFA,4%,4.3 out of 5,(67)
Présséa Fresh Canette Mangue - 25 CL,250 FCFA,https://www.jumia.sn/pressea-fresh-canette-mangue-25-cl-9415231.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/25149/1.jpg?9688,True,260 FCFA,4%,3.9 out of 5,(7)
Pur Jus 100% Raisin - 1 Litre,1 120 FCFA,https://www.jumia.sn/pressea-pur-jus-100-raisin-1-litre-9977948.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/97799/1.jpg?8385,True,,,,
Pur Jus 100% Multifruit - 1 Litre,1 120 FCFA,https://www.jumia.sn/pressea-pur-jus-100-multifruit-1-litre-9977950.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/97799/1.jpg?8413,True,,,,
Présséa Fresh Pack De 6 Canettes Mangue - 25 CL,1 500 FCFA,https://www.jumia.sn/pack-de-6-canettes-mangue-25-cl-pressea-fresh-mpg30707.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/94539/1.jpg?5340,True,1 550 FCFA,3%,4.2 out of 5,(18)
Nectar De Fruits - Cocktail - Sans Sucres Ajoutés - 1 Litre,850 FCFA,https://www.jumia.sn/jus-sans-sucres-ajoutes-cocktail-1-litre-pressea-mpg19848.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/84539/1.jpg?9968,True,890 FCFA,4%,4.2 out of 5,(27)
