name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Candia Lait 1/2 Ecrémé Edge 200 ML,90 FCFA,https://www.jumia.sn/candia-lait-12-ecreme-edge-200-ml-10039383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/393001/1.jpg?4197,True,,,,
Candia Lait Demi-Ecrémé GrandLait - 1 Litre,950 FCFA,https://www.jumia.sn/lait-demi-ecreme-grandlait-1-litre-candia-mpg30704.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/84539/1.jpg?8453,True,1 050 FCFA,10%,4.5 out of 5,(61)
Candia Lait Candy'Up Vanille - 200ML,190 FCFA,https://www.jumia.sn/candia-lait-candyup-vanille-200ml-9415213.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/25149/1.jpg?7406,True,,,,
Candia Lait Entier GrandLait - 1 Litre,1 050 FCFA,https://www.jumia.sn/candia-lait-entier-grandlait-1-litre-9354860.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/84539/1.jpg?0087,True,1 100 FCFA,5%,4.5 out of 5,(11)
"Candia Lait ""Berlingot"" Demi écrémé - 200 ML",190 FCFA,https://www.jumia.sn/candia-lait-berlingot-demi-ecreme-200-ml-9415210.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/25149/1.jpg?8108,True,,,5 out of 5,(1)
Candia Lait 1/2 Ecrémé Edge 200 ML,225 FCFA,https://www.jumia.sn/candia-lait-12-ecreme-edge-200-ml-9852749.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/72589/1.jpg?3857,True,,,5 out of 5,(1)
Candia Lait Candy'Up Fraise - 200ML,190 FCFA,https://www.jumia.sn/lait-candyup-fraise-200ml-candia-mpg19691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/25149/1.jpg?6979,True,,,4 out of 5,(4)
Dano Lait Entier Concentré Non Sucré - 170 gr,380 FCFA,https://www.jumia.sn/dano-lait-entier-concentre-non-sucre-170-gr-9346095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/06439/1.jpg?7660,True,390 FCFA,3%,4.2 out of 5,(9)
Candia Lait Demi-Ecrémé GrandLait - 50CL,525 FCFA,https://www.jumia.sn/lait-demi-ecreme-grandlait-50cl-candia-mpg19694.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/84539/1.jpg?0366,True,540 FCFA,3%,4.2 out of 5,(17)
Dano Lait Entier - 400G,1 690 FCFA,https://www.jumia.sn/dano-lait-entier-400g-9346135.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/16439/1.jpg?7632,True,,,4.3 out of 5,(15)
"Dano Chapelet de 10 Lait En Poudre ""Quotidien' - 20G",1 000 FCFA,https://www.jumia.sn/dano-chapelet-de-10-lait-en-poudre-quotidien-20g-9485119.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/15849/1.jpg?8143,True,1 010 FCFA,1%,4.8 out of 5,(4)
Candia Pack De 21 Lait Candy'Up Fraise - 200ML,3 850 FCFA,https://www.jumia.sn/candia-pack-de-21-lait-candyup-fraise-200ml-9354839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/84539/1.jpg?9450,True,4 010 FCFA,4%,4.8 out of 5,(5)
