name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
White Label Lampe Led USB pour Clavier - Jaune,1 600 FCFA,https://www.jumia.sn/white-label-lampe-led-usb-pour-clavier-jaune-95976.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/959/1.jpg?1766,False,7 500 FCFA,79%,5 out of 5,(2)
Generic Lampe Solaire Premium avec Panneau Solaire pour Chargement,2 900 FCFA,https://www.jumia.sn/lampe-solaire-premium-avec-panneau-solaire-pour-chargement-generic-mpg33990.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/16679/1.jpg?2432,False,9 000 FCFA,68%,3.6 out of 5,(17)
Generic Lampe Led USB pour Clavier - Blanc,1 650 FCFA,https://www.jumia.sn/generic-lampe-led-usb-pour-clavier-blanc-83649.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/638/1.jpg?1523,False,3 000 FCFA,45%,3.6 out of 5,(5)
Generic N 2 Premium Lampe Solaire avec Détecteur de mouvement intégré - panneau inclus,18 000 FCFA - 39 000 FCFA,https://www.jumia.sn/n-2-premium-lampe-solaire-avec-detecteur-de-mouvement-integre-panneau-inclus-generic-mpg34404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/79316/1.jpg?6959,False,45 000 FCFA - 95 000 FCFA,64%,4.2 out of 5,(14)
White Label Mini Led USB lamp pour clavier - BLANC,1 640 FCFA,https://www.jumia.sn/white-label-mini-led-usb-lamp-pour-clavier-blanc-80459.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/408/1.jpg?4463,False,3 000 FCFA,45%,4.2 out of 5,(5)
Generic Lampadaire Avec Liseuse réglable - Lampe de salon sur pied Chromé - H 177cm,12 900 FCFA,https://www.jumia.sn/generic-lampadaire-avec-liseuse-reglable-lampe-de-salon-sur-pied-chrome-h-177cm-9248823.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/88429/1.jpg?6095,False,25 000 FCFA,48%,4 out of 5,(6)
Generic Lampe Solaire d'extérieur avec capteur de mouvement-& télécommande -20/40/60/90W,32 500 FCFA,https://www.jumia.sn/lampe-solaire-dexterieur-avec-capteur-de-mouvement-telecommande-20406090w-generic-mpg33991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/90879/1.jpg?3220,False,45 000 FCFA,28%,,
Generic Lampe de bureau led rotation 360° USB à bras flexible,6 900 FCFA,https://www.jumia.sn/generic-lampe-de-bureau-led-rotation-360-usb-a-bras-flexible-9998889.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/88999/1.jpg?6913,False,,,,
Generic Ampoule 7W rechargeable qui s'allume automatiquement en cas de coupure,2 450 FCFA,https://www.jumia.sn/generic-ampoule-7w-rechargeable-qui-sallume-automatiquement-en-cas-de-coupure-6075623.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/65706/1.jpg?1893,False,5 000 FCFA,51%,4 out of 5,(1)
2 White Lampe solaire LED - Detectecteur de mouvement - extérieur,7 500 FCFA,https://www.jumia.sn/2-white-lampe-solaire-led-detectecteur-de-mouvement-exterieur-9638165.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/18369/1.jpg?6113,False,14 000 FCFA,46%,,
Generic Lampe Solaire Premium avec Panneau Solaire + 4 lampe 30w,15 600 FCFA,https://www.jumia.sn/generic-lampe-solaire-premium-avec-panneau-solaire-4-lampe-30w-5974469.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/44795/1.jpg?9983,False,,,3 out of 5,(1)
Elo Lampe de Chevet - 220V - Max 40W - 35*30 cm- CA820473,7 900 FCFA,https://www.jumia.sn/elo-lampe-de-chevet-220v-max-40w-3530-cm-ca820473-479549.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/5974/1.jpg?8222,False,25 000 FCFA,68%,4.6 out of 5,(5)
White Label Lampe Led USB pour Clavier - Pink,1 600 FCFA,https://www.jumia.sn/white-label-lampe-led-usb-pour-clavier-pink-83650.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/638/1.jpg?1523,False,3 000 FCFA,47%,3.8 out of 5,(9)
Generic lampe projecteur avec panneau Solaire avec télécommande 200w,58 900 FCFA,https://www.jumia.sn/generic-lampe-projecteur-avec-panneau-solaire-avec-telecommande-200w-9729338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/39279/1.jpg?4258,False,78 000 FCFA,24%,1 out of 5,(1)
Generic Kit de Lampe Solaire - EP-05,8 900 FCFA,https://www.jumia.sn/generic-kit-de-lampe-solaire-ep-05-9100346.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/30019/1.jpg?6001,False,12 000 FCFA,26%,1 out of 5,(1)
"Generic Lampadaire Avec Liseuse Basic, Chromé -Lampe De Sol",13 000 FCFA,https://www.jumia.sn/generic-lampadaire-avec-liseuse-basic-chrome-lampe-de-sol-9794711.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/74979/1.jpg?3954,False,25 000 FCFA,48%,,
Generic Lampe avec panneau solaire 60w,39 000 FCFA - 43 000 FCFA,https://www.jumia.sn/lampe-avec-panneau-solaire-60w-generic-mpg33995.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/23409/1.jpg?4323,False,45 000 FCFA - 78 000 FCFA,45%,3.6 out of 5,(8)
Generic Lampe Rechargeable 10 w,7 900 FCFA,https://www.jumia.sn/lampe-rechargeable-10-w-generic-mpg45471.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/89489/1.jpg?0741,False,15 000 FCFA,47%,4 out of 5,(2)
Generic Lampe Solaire - Ampoule Avec Panneau Solaire,3 100 FCFA,https://www.jumia.sn/lampe-solaire-ampoule-avec-panneau-solaire-blanc-generic-mpg20209.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/96289/1.jpg?1730,False,8 000 FCFA,61%,4 out of 5,(6)
Generic Lampe LED 3D-luminaire décoratif d'intérieur-tactile changement de couleur-,8 175 FCFA,https://www.jumia.sn/lampe-led-3d-luminaire-decoratif-dinterieur-tactile-changement-de-couleur-generic-mpg33983.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/30739/1.jpg?1203,False,10 900 FCFA,25%,1.7 out of 5,(3)
Generic Lampe projecteur Solaire - Détecteur de mouvement - Intelligente 3 Face,8 925 FCFA,https://www.jumia.sn/lampe-projecteur-solaire-detecteur-de-mouvement-intelligente-3-face-generic-mpg33998.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/49389/1.jpg?6324,False,10 500 FCFA,15%,4.2 out of 5,(14)
Generic Lampe de bureau led rotation 360° USB à bras flexible,6 300 FCFA,https://www.jumia.sn/generic-lampe-de-bureau-led-rotation-360-usb-a-bras-flexible-9999850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/89999/1.jpg?0828,False,,,,
