name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Hisense Machine à Laver Frontal 7 kg - WFXE7012 - Gris - Classe A+++,183 300 FCFA,https://www.jumia.sn/hisense-machine-a-laver-frontal-7-kg-wfxe7012-gris-classe-a-9959582.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/59599/1.jpg?3722,True,235 000 FCFA,22%,,
Hisense Machine à Laver Frontal 6kg - WFXE6010 - Gris,165 000 FCFA,https://www.jumia.sn/hisense-machine-a-laver-frontal-6kg-wfxe6010-gris-9959581.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/59599/1.jpg?3709,True,213 000 FCFA,23%,,
Samsung Machine à Laver Moteur Digital Inverter 9kg - Noir- Garantie 24 Mois - Classe A,356 500 FCFA,https://www.jumia.sn/samsung-machine-a-laver-moteur-digital-inverter-9kg-noir-garantie-24-mois-classe-a-9972620.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/62799/1.jpg?6776,True,371 737 FCFA,4%,,
SMART TECHNOLOGY Machine à Laver Frontal 7Kg - STML 7SH - Garantie 12 Mois - Classe A+,175 200 FCFA,https://www.jumia.sn/smart-technology-machine-a-laver-frontal-7kg-stml-7sh-garantie-12-mois-classe-a-9752808.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/82579/1.jpg?1501,True,230 000 FCFA,24%,4 out of 5,(2)
Samsung Machine à Laver Top - 13 Kg - Gris/Noir - Garantie 24 Mois,329 900 FCFA,https://www.jumia.sn/samsung-machine-a-laver-top-13-kg-grisnoir-garantie-24-mois-9972615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/62799/1.jpg?6028,True,338 029 FCFA,2%,,
Samsung Machine à Laver Moteur Digital Inverter 9kg - Addwash - Blanc - Garantie 24 Mois,340 900 FCFA,https://www.jumia.sn/samsung-machine-a-laver-moteur-digital-inverter-9kg-addwash-blanc-garantie-24-mois-9972619.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/62799/1.jpg?7322,True,359 770 FCFA,5%,,
White Label Étendoir Sèche-Linge - Métal - Bleu,19 800 FCFA,https://www.jumia.sn/etendoir-seche-linge-metal-bleu-white-label-mpg3875.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/72906/1.jpg?7698,False,20 000 FCFA,1%,4 out of 5,(4)
Samsung Machine à Laver Top - 16 Kg - Gris/Noir - Garantie 24 Mois,399 900 FCFA,https://www.jumia.sn/samsung-machine-a-laver-top-16-kg-grisnoir-garantie-24-mois-9972616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/62799/1.jpg?7475,True,422 298 FCFA,5%,,
Maison & Dco MACHINE A LAVER - FINIX - 9 KG - WU1061 - GRISE - GARANTIE 12 MOIS,350 000 FCFA,https://www.jumia.sn/maison-dco-machine-a-laver-finix-9-kg-wu1061-grise-garantie-12-mois-103869.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/8301/1.jpg?1148,False,400 000 FCFA,13%,,
Generic Machine à laver 7KG semi-automatique - sèche linge et fer à repasser,185 000 FCFA,https://www.jumia.sn/generic-machine-a-laver-7kg-semi-automatique-seche-linge-et-fer-a-repasser-9100881.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/80019/1.jpg?1505,False,,,5 out of 5,(1)
