name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Trotteur Youpala Pour Bébé - ( multicolores) CA820938,18 900 FCFA,https://www.jumia.sn/generic-trotteur-youpala-pour-bebe-multicolores-ca820938-6106125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/16016/1.jpg?3825,False,50 000 FCFA,62%,4 out of 5,(4)
Generic Bracelet De sécurité Anti Perte Enfant - Bleu - CA820606,1 900 FCFA,https://www.jumia.sn/generic-bracelet-de-securite-anti-perte-enfant-bleu-ca820606-1208180.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/18021/1.jpg?2536,False,2 500 FCFA,24%,3.5 out of 5,(2)
Evoluderm 25 Lingettes Démaquillantes Eau Micellaire - Peaux Sensibles,1 500 FCFA,https://www.jumia.sn/evoluderm-25-lingettes-demaquillantes-eau-micellaire-peaux-sensibles-9908163.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/18099/1.jpg?3930,True,3 000 FCFA,50%,,
Generic Trotteur Youpala Pour Bébé -,18 500 FCFA,https://www.jumia.sn/trotteur-youpala-pour-bebe-generic-mpg45675.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/38489/1.jpg?7731,False,,,3 out of 5,(1)
Generic Tapis Piano Eveil Musical pour bébé - CA820936,15 000 FCFA,https://www.jumia.sn/generic-tapis-piano-eveil-musical-pour-bebe-ca820936-6118075.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/08116/1.jpg?3202,False,30 000 FCFA,50%,3.7 out of 5,(14)
Tijinou 80 Lingettes Bébé -LT001,1 990 FCFA,https://www.jumia.sn/lingettes-bebe-tijinou-80-tijinou-mpg9376.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/857/1.jpg?1242,False,4 000 FCFA,50%,4.6 out of 5,(12)
Ultra Compact Lingettes Bébé - 120 Pièces,1 700 FCFA,https://www.jumia.sn/lingettes-bebe-120-pieces-ultra-compact-mpg29997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1844/1.jpg?4549,False,,,4 out of 5,(5)
Generic Sac de bébé portable Lit bébé,9 999 FCFA,https://www.jumia.sn/generic-sac-de-bebe-portable-lit-bebe-8872641.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/62788/1.jpg?9450,False,25 000 FCFA,60%,4.5 out of 5,(4)
Generic Biberon Cuillère - Blanc,2 900 FCFA,https://www.jumia.sn/biberon-cuillere-blanc-generic-mpg43078.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/76289/1.jpg?3324,False,4 900 FCFA,41%,,
Generic Biberon Cuillère - Rose,2 900 FCFA,https://www.jumia.sn/biberon-cuillere-rose-generic-mpg43080.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/76289/1.jpg?3324,False,4 900 FCFA,41%,3.6 out of 5,(5)
