name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Moustiquaire En Forme Dôme Pop-up Pliable pour Lit 3 places - 2 sorties,8 750 FCFA,https://www.jumia.sn/generic-moustiquaire-en-forme-dome-pop-up-pliable-pour-lit-3-places-2-sorties-9156372.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/36519/1.jpg?2469,False,12 500 FCFA,30%,4.2 out of 5,(13)
Generic Tente Moustiquaire - 3 places - 2 sorties,7 900 FCFA,https://www.jumia.sn/generic-tente-moustiquaire-3-places-2-sorties-176003.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/0671/1.jpg?1694,False,12 000 FCFA,34%,3.9 out of 5,(143)
Generic Anti-moustique Magnétique Ultrasonique Electronique,3 500 FCFA,https://www.jumia.sn/generic-anti-moustique-magnetique-ultrasonique-electronique-9849061.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/09489/1.jpg?8232,False,15 000 FCFA,77%,2 out of 5,(1)
Generic Drap V BLANC de lit en Coton - 3 Pièces - 220X240cm,5 500 FCFA,https://www.jumia.sn/generic-drap-v-blanc-de-lit-en-coton-3-pieces-220x240cm-9960039.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/00699/1.jpg?9404,False,15 000 FCFA,63%,4 out of 5,(1)
Generic Nappe de table brodée européenne (106 x 106),4 990 FCFA,https://www.jumia.sn/generic-nappe-de-table-brodee-europeenne-106-x-106-9477800.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/87749/1.jpg?1201,False,10 000 FCFA,50%,5 out of 5,(1)
Generic Oreiller Orthopédique - Lot de 2 - Blanc,5 800 FCFA,https://www.jumia.sn/oreiller-orthopedique-lot-de-2-blanc-generic-mpg34690.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/26029/1.jpg?2138,False,7 000 FCFA,17%,3.6 out of 5,(24)
Generic Jolie Drap carreaux bleu blanc de lit en Coton 100 %,5 300 FCFA,https://www.jumia.sn/generic-jolie-drap-carreaux-bleu-blanc-de-lit-en-coton-100-10028274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/282001/1.jpg?3479,False,25 000 FCFA,79%,,
Generic Tente Moustiquaire Baldaquin - 2 places,9 000 FCFA,https://www.jumia.sn/tente-moustiquaire-baldaquin-2-places-blanc-generic-mpg16780.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/51833/1.jpg?9858,False,15 000 FCFA,40%,4 out of 5,(2)
Generic Drap de lit en Coton -3 Pièces - 220X240cm.,5 500 FCFA,https://www.jumia.sn/generic-drap-de-lit-en-coton-3-pieces-220x240cm.-9963656.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/63699/1.jpg?3064,False,18 000 FCFA,69%,,
Generic Matelas Orthopédique 3 places - 180x190 - Blanc,123 900 FCFA,https://www.jumia.sn/generic-matelas-orthopedique-3-places-180x190-blanc-9988455.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/48899/1.jpg?2379,False,250 000 FCFA,50%,,
Generic Tente moustiquaire 3 places,11 800 FCFA,https://www.jumia.sn/tente-moustiquaire-3-places-generic-mpg29481.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/93315/1.jpg?9800,False,16 000 FCFA,26%,4.4 out of 5,(8)
