name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lit Appoint Bébé avec Moustiquaire -rose,7 500 FCFA,https://www.jumia.sn/lit-appoint-bebe-avec-moustiquaire-rose-generic-mpg34079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/13168/1.jpg?2406,False,20 000 FCFA,63%,4.5 out of 5,(6)
Happy Baby Matelas + Moustiquaire Assorti Bébé - Rose,11 990 FCFA,https://www.jumia.sn/happy-baby-matelas-moustiquaire-assorti-bebe-rose-8919185.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/19198/1.jpg?4516,False,20 000 FCFA,40%,3.8 out of 5,(8)
Generic Lit Appoint pour Bébé avec Moustiquaire,12 500 FCFA,https://www.jumia.sn/generic-lit-appoint-pour-bebe-avec-moustiquaire-9963627.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/63699/1.jpg?3062,False,25 000 FCFA,50%,,
Tijinou Berceau Confortable Fauteuil à Bascule électrique pour Bébé - Transat 2 en 1 Tijinou Baby CA820622,30 000 FCFA,https://www.jumia.sn/tijinou-berceau-confortable-fauteuil-a-bascule-electrique-pour-bebe-transat-2-en-1-tijinou-baby-ca820622-9806369.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/36089/1.jpg?0122,False,80 000 FCFA,63%,4.5 out of 5,(4)
Generic Lit Bébé Bassinet Et Sac à Coucher (Couleur Variable En Fonction Du Stock),15 400 FCFA,https://www.jumia.sn/lit-bebe-bassinet-et-sac-a-coucher-couleur-variable-en-fonction-du-stock-generic-mpg26431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/22588/1.jpg?0554,False,,,4.7 out of 5,(3)
Generic Lit Appoint Bébé avec Moustiquaire -,12 000 FCFA,https://www.jumia.sn/generic-lit-appoint-bebe-avec-moustiquaire-9851219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/21589/1.jpg?9978,False,35 000 FCFA,66%,,
Generic Lit Appoint Bébé avec Moustiquaire - TURQUIE,12 460 FCFA,https://www.jumia.sn/generic-lit-appoint-bebe-avec-moustiquaire-turquie-9963046.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/03699/1.jpg?9081,False,30 000 FCFA,58%,,
Generic Lit appoint bébé avec moustiquaire - Rose,3 190 FCFA,https://www.jumia.sn/lit-appoint-bebe-avec-moustiquaire-rose-generic-mpg34082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/83962/1.jpg?2215,False,13 000 FCFA,75%,3.7 out of 5,(16)
Generic Berceau rose avec rangement + Moustiquaire,63 999 FCFA,https://www.jumia.sn/berceau-rose-avec-rangement-moustiquaire-generic-mpg20065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/35375/1.jpg?1434,False,80 000 FCFA,20%,4.3 out of 5,(3)
Generic LIT TENTE POUR BÉBÉ AVEC MATELAS ET MOUSTIQUAIRE - Rose,3 990 FCFA,https://www.jumia.sn/generic-lit-tente-pour-bebe-avec-matelas-et-moustiquaire-rose-9410664.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/60149/1.jpg?7479,False,6 000 FCFA,34%,,
White Label Tente & lit Moustiquaire pour bien être des Bébés - Rose,9 500 FCFA,https://www.jumia.sn/white-label-tente-lit-moustiquaire-pour-bien-etre-des-bebes-rose-9250527.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/50529/1.jpg?6728,False,,,2.5 out of 5,(2)
Universal Summer Baby Infant Mosquito Net Toddler Bed Crib Canopy Netting White Babe Dome,22 730 FCFA,https://www.jumia.sn/universal-summer-baby-infant-mosquito-net-toddler-bed-crib-canopy-netting-white-babe-dome-663294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2366/1.jpg?4334,False,45 460 FCFA,50%,,
Generic LIT TENTE POUR BÉBÉ AVEC MATELAS ET MOUSTIQUAIRE - BLEU,3 990 FCFA,https://www.jumia.sn/lit-tente-pour-bebe-avec-matelas-et-moustiquaire-bleu-generic-mpg33956.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/55529/1.jpg?7662,False,6 000 FCFA,34%,,
Tijinou Berceau Confortable Fauteuil à Bascule électrique pour Bébé - Transat 2 en 1 Tijinou Baby CA820622,30 000 FCFA,https://www.jumia.sn/tijinou-berceau-confortable-fauteuil-a-bascule-electrique-pour-bebe-transat-2-en-1-tijinou-baby-ca820622-9806368.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/36089/1.jpg?0122,False,80 000 FCFA,63%,,
Generic Balancelle pour Bébé Electrique,85 500 FCFA,https://www.jumia.sn/balancelle-pour-bebe-electrique-generic-mpg32583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/02419/1.jpg?5771,False,,,,
Generic moustiquaire pour bébé-rose,4 500 FCFA,https://www.jumia.sn/moustiquaire-pour-bebe-rose-generic-mpg36183.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/05606/1.jpg?8495,False,7 000 FCFA,36%,4.5 out of 5,(2)
Universal Summer Baby Infant Mosquito Net Toddler Bed Crib Canopy Netting White Babe Dome,22 730 FCFA,https://www.jumia.sn/universal-summer-baby-infant-mosquito-net-toddler-bed-crib-canopy-netting-white-babe-dome-663296.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/2366/1.jpg?4334,False,45 460 FCFA,50%,,
White Tente Moustiquaire Pour Bébé -Lit pour bébé - Rose,9 500 FCFA,https://www.jumia.sn/white-tente-moustiquaire-pour-bebe-lit-pour-bebe-rose-9250508.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/50529/1.jpg?6728,False,,,5 out of 5,(2)
Generic Balancelle pour Bébé Electrique Gris/Vert - CA820847,99 000 FCFA,https://www.jumia.sn/generic-balancelle-pour-bebe-electrique-grisvert-ca820847-5094227.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/24905/1.jpg?2145,False,180 000 FCFA,45%,4 out of 5,(5)
Generic tente moustiquaire pour bébé- rose,6 500 FCFA,https://www.jumia.sn/tente-moustiquaire-pour-bebe-rose-generic-mpg2716.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/34995/1.jpg?0716,False,15 000 FCFA,57%,4.2 out of 5,(5)
Generic Lit Appoint Bébé avec Moustiquaire -,11 800 FCFA,https://www.jumia.sn/generic-lit-appoint-bebe-avec-moustiquaire-10038765.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/783001/1.jpg?6098,False,26 900 FCFA,56%,,
