name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lampe solaire led rechargeable avec son câble,2 850 FCFA,https://www.jumia.sn/lampe-solaire-led-rechargeable-avec-son-cable-generic-mpg34013.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/66289/1.jpg?8165,False,7 000 FCFA,59%,4.7 out of 5,(3)
Generic Lampe SOLAIRE LED - Solar premium - Noir,2 700 FCFA,https://www.jumia.sn/lampe-solaire-led-solar-premium-noir-generic-mpg33988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/98279/1.jpg?8599,False,15 000 FCFA,82%,3.6 out of 5,(17)
White Panneaux kit solaire avec 3 lampes LED et câble chargeur téléphone,11 250 FCFA,https://www.jumia.sn/white-panneaux-kit-solaire-avec-3-lampes-led-et-cable-chargeur-telephone-9372582.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/52739/1.jpg?8066,False,12 500 FCFA,10%,4 out of 5,(5)
Generic Lampe solaire extérieure Avec Détecteur de mouvement - 6x 2 Face,7 190 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-avec-detecteur-de-mouvement-6x-2-face-generic-mpg34007.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/59579/1.jpg?7644,False,200 000 FCFA,96%,3.9 out of 5,(17)
Generic Lampe solaire exterieure Led - Detectecteur de mouvement - Forme Caméra,8 500 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-led-detectecteur-de-mouvement-forme-camera-generic-mpg34005.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/63988/1.jpg?6605,False,25 000 FCFA,66%,3.8 out of 5,(26)
Generic Lampe solaire exterieure Led - Detectecteur de mouvement - Noir,3 125 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-led-detectecteur-de-mouvement-noir-generic-mpg26422.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/62389/1.jpg?0907,False,6 500 FCFA,52%,3.8 out of 5,(184)
Elo Lampe Chevet forme conique - 220V - Max 40W - 35*30 cm CA820472,7 900 FCFA,https://www.jumia.sn/elo-lampe-chevet-forme-conique-220v-max-40w-3530-cm-ca820472-9849829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/89489/1.jpg?7238,False,25 000 FCFA,68%,4.7 out of 5,(3)
White Lanterne portable magnétique rechargeable avec chargeur USB,5 273 FCFA,https://www.jumia.sn/lanterne-portable-magnetique-rechargeable-avec-chargeur-usb-white-mpg40280.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/31379/1.jpg?7272,False,6 500 FCFA,19%,,
Generic Lampe solaire extérieure Avec Détecteur de mouvement intelligente,6 500 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-avec-detecteur-de-mouvement-intelligente-generic-mpg34006.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/55489/1.jpg?9431,False,15 000 FCFA,57%,3 out of 5,(4)
Generic Lampe solaire avec câble rechargeable,3 299 FCFA,https://www.jumia.sn/lampe-solaire-avec-cable-rechargeable-generic-mpg42465.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/34629/1.jpg?0866,False,7 500 FCFA,56%,4 out of 5,(1)
