name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Global Air Ventilateur Sur Pied 10 pouces - Global Air - Noir,7 900 FCFA,https://www.jumia.sn/global-air-ventilateur-sur-pied-10-pouces-global-air-noir-38574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/583/1.jpg?6102,True,11 900 FCFA,34%,3.4 out of 5,(19)
Generic Fer à Repasser à Vapeur - 1600 W - Bleu,4 500 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-1600-w-bleu-generic-mpg33500.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/75016/1.jpg?0540,True,9 349 FCFA,52%,3.8 out of 5,(126)
SMART TECHNOLOGY Machine à Café + 2 tasses - 0.24L -STPE-1202C - 450W - Noir,9 900 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-2-tasses-0.24l-stpe-1202c-450w-noir-9902214.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/22099/1.jpg?7867,True,15 000 FCFA,34%,3.4 out of 5,(65)
Generic Fer A Repasser A Vapeur - Pour Voyage - Puissance 220V - Blanc/ Bleu,4 703 FCFA,https://www.jumia.sn/fer-a-repasser-a-vapeur-pour-voyage-puissance-220v-blanc-bleu-generic-mpg46055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/51488/1.jpg?9372,True,9 222 FCFA,49%,3.4 out of 5,(51)
Generic Robinet Intelligent-noir,2 998 FCFA,https://www.jumia.sn/generic-robinet-intelligent-noir-9096408.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/46909/1.jpg?4200,True,5 196 FCFA,42%,3.9 out of 5,(23)
Simfer Cuisinière à Gaz - 4Feux 50×50 gris - Garantie 1 an,69 900 FCFA,https://www.jumia.sn/simfer-cuisiniere-a-gaz-4feux-5050-gris-garantie-1-an-10039347.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/393001/1.jpg?0442,True,85 000 FCFA,18%,,
Generic Lots of 3 Sac à Dos pour Ordinateur,5 688 FCFA,https://www.jumia.sn/generic-lots-of-3-sac-a-dos-pour-ordinateur-8934746.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/74398/1.jpg?7079,True,11 153 FCFA,49%,,
Lot de 50 Sacs JUMIA Avec Anse Petit Format – 25 x 35cm,3 000 FCFA,https://www.jumia.sn/jumia-lot-de-50-sacs-jumia-avec-anse-petit-format-25-x-35cm-9753219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/23579/1.jpg?3024,True,5 000 FCFA,40%,4.1 out of 5,(21)
Astech Air cooler 16 litres - CP16NG-AL,49 900 FCFA,https://www.jumia.sn/astech-air-cooler-16-litres-cp16ng-al-10028447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/482001/1.jpg?4645,True,75 000 FCFA,33%,,
SMART TECHNOLOGY Split Éco Anti Corrosion Et Purificateur 1.25 CV9000BTU-Blanc-Garantie12mois,129 000 FCFA,https://www.jumia.sn/smart-technology-split-eco-anti-corrosion-et-purificateur-1.25-cv9000btu-blanc-garantie12mois-8886047.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/06888/1.jpg?8159,True,200 000 FCFA,36%,4.3 out of 5,(3)
Generic Lampadaire Solaire LED COB,4 068 FCFA,https://www.jumia.sn/lampadaire-solaire-led-cob-generic-mpg33975.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/46019/1.jpg?3861,True,7 976 FCFA,49%,3.4 out of 5,(51)
