name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Pack make up complet + 1 lip gloss et 1 crayon offert,8 700 FCFA,https://www.jumia.sn/generic-pack-make-up-complet-1-lip-gloss-et-1-crayon-offert-9415799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/75149/1.jpg?1277,False,25 000 FCFA,65%,4 out of 5,(21)
Generic Baume Lévres Roses - 100% pure Naturelle aleo vera,900 FCFA,https://www.jumia.sn/generic-baume-levres-roses-100-pure-naturelle-aleo-vera-9851641.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/61589/1.jpg?4340,False,5 000 FCFA,82%,2.8 out of 5,(4)
Og Pack complet pro de maquillage,6 930 FCFA,https://www.jumia.sn/og-pack-complet-pro-de-maquillage-9969343.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/39699/1.jpg?5366,False,60 000 FCFA,88%,5 out of 5,(1)
Vaseline Lèvres Roses Lip Therapy - Rosy Lips - 7 g - Rose,467 FCFA,https://www.jumia.sn/levres-roses-lip-therapy-rosy-lips-7-g-rose-vaseline-mpg40208.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/15472/1.jpg?1738,False,1 000 FCFA,53%,3.7 out of 5,(117)
Generic Éponge Fond de Teint Blender 7 en 1 multicouleur,900 FCFA,https://www.jumia.sn/eponge-fond-de-teint-blender-7-en-1-multicouleur-generic-mpg36317.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/16706/1.jpg?8860,False,,,3.8 out of 5,(21)
Lip & Co Lévres Roses - 100% Naturelle,842 FCFA,https://www.jumia.sn/levres-roses-100-naturelle-lip-co-mpg36829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/21006/1.jpg?2394,False,1 275 FCFA,34%,3.5 out of 5,(11)
Fashion 15pcs Ensemble De Pinceaux De Maquillage Lunettes De Soleil Gratuites,3 900 FCFA,https://www.jumia.sn/fashion-15pcs-ensemble-de-pinceaux-de-maquillage-lunettes-de-soleil-gratuites-9851011.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/01589/1.jpg?5996,True,7 200 FCFA,46%,4.7 out of 5,(3)
Maybelline New York Fond De Teint Dream Matte Mousse - Expresso (72),3 750 FCFA,https://www.jumia.sn/maybelline-new-york-fond-de-teint-dream-matte-mousse-expresso-72-8833976.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/93388/1.jpg?9003,True,4 490 FCFA,16%,4.2 out of 5,(12)
Generic Gel Eyeliner - Noir et Marron,842 FCFA,https://www.jumia.sn/gel-eyeliner-noir-et-marron-generic-mpg26308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/28516/1.jpg?3432,False,990 FCFA,15%,3.9 out of 5,(23)
Bio 100% Baume Lévres Roses - 100% Naturelle,790 FCFA,https://www.jumia.sn/baume-levres-roses-100-naturelle-bio-100-mpg31112.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/25906/1.jpg?4431,False,10 000 FCFA,92%,3.2 out of 5,(35)
Maybelline New York Fond De Teint Liquide - Fit Me - Espresso (365),2 500 FCFA,https://www.jumia.sn/maybelline-new-york-fond-de-teint-liquide-fit-me-espresso-365-8834019.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/04388/1.jpg?5017,True,3 420 FCFA,27%,4 out of 5,(3)
Generic Lévres Roses - 100% Naturelle-10gr,980 FCFA,https://www.jumia.sn/generic-levres-roses-100-naturelle-10gr-5070378.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/30705/1.jpg?6959,False,6 000 FCFA,84%,3.1 out of 5,(34)
Carmex CLASSIC LIP BALM: Baume à lèvre 10g,1 175 FCFA,https://www.jumia.sn/carmex-classic-lip-balm-baume-a-levre-10g-carmex-mpg10994.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/02206/1.jpg?3498,False,,,4.3 out of 5,(27)
Generic Lèvres Roses - Premium 7 jours - Traitement,1 000 FCFA,https://www.jumia.sn/generic-levres-roses-premium-7-jours-traitement-10021309.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/312001/1.jpg?7816,False,5 000 FCFA,80%,,
Generic Baume Lévres Roses - 100% Naturelle,850 FCFA,https://www.jumia.sn/generic-baume-levres-roses-100-naturelle-5040996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/90405/1.jpg?5312,False,5 000 FCFA,83%,3.6 out of 5,(28)
Generic Poudre de Maquillage - Karité Teints -clair; noir; maron,1 490 FCFA,https://www.jumia.sn/poudre-de-maquillage-karite-teints-clair-noir-maron-generic-mpg9978.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/836/1.jpg?9418,False,2 900 FCFA,49%,4.2 out of 5,(39)
Generic Cils cheveux naturels 3D 100% Human hair,950 FCFA,https://www.jumia.sn/cils-cheveux-naturels-3d-100-human-hair-generic-mpg32948.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/55055/1.jpg?2673,False,3 000 FCFA,68%,3.4 out of 5,(7)
Vaseline Baume à lèvres rose - 7g - Rose,1 500 FCFA,https://www.jumia.sn/vaseline-baume-a-levres-rose-7g-rose-9779636.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/69779/1.jpg?9049,False,5 000 FCFA,70%,3 out of 5,(1)
Banana Poudre BANANA de NYE Makeup,2 450 FCFA,https://www.jumia.sn/banana-poudre-banana-de-nye-makeup-9969329.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/39699/1.jpg?5366,False,11 000 FCFA,78%,,
Maybelline New York Tatouage Encre Sourcils - Peel Off - Dark Brown (3),5 500 FCFA,https://www.jumia.sn/maybelline-new-york-tatouage-encre-sourcils-peel-off-dark-brown-3-8834158.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/14388/1.jpg?8567,True,5 990 FCFA,8%,1 out of 5,(2)
White Label Sérum vitamine c naturals et thé vert 30 ml,2 799 FCFA,https://www.jumia.sn/serum-vitamine-c-naturals-et-the-vert-30-ml-white-label-mpg38754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/33489/1.jpg?9030,False,7 500 FCFA,63%,5 out of 5,(1)
Maybelline New York Fond De Teint Mousse - Dream Matte Mousse - Caramel (60),3 750 FCFA,https://www.jumia.sn/maybelline-new-york-fond-de-teint-mousse-dream-matte-mousse-caramel-60-8833991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/93388/1.jpg?2430,True,4 490 FCFA,16%,3 out of 5,(2)
Carmex Lèvres Roses - Classic Lip Balm Medicated,1 105 FCFA,https://www.jumia.sn/levres-roses-classic-lip-balm-medicated-carmex-mpg42993.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/18043/1.jpg?6904,False,1 300 FCFA,15%,4.1 out of 5,(10)
"Generic BIOAQUA – Gel de blanchiment des lèvres, crème de soin pour la peau du corps rose tendre, pour les parties intimes",2 900 FCFA,https://www.jumia.sn/generic-bioaqua-gel-de-blanchiment-des-levres-creme-de-soin-pour-la-peau-du-corps-rose-tendre-pour-les-parties-intimes-9972752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/72799/1.jpg?5431,False,3 500 FCFA,17%,1 out of 5,(1)
Generic Milk Of Magnésia base pour visage : bleu,4 900 FCFA,https://www.jumia.sn/milk-of-magnesia-base-pour-visage-lait-magnesieun-laxatif-miraculeux-sur-les-peaux-mixtes-graces-et-acneiques-generic-mpg15086.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/05979/1.jpg?6501,False,6 900 FCFA,29%,5 out of 5,(1)
Maybelline New York Tatouage Sourcils Gel -Deep Brown (06),5 500 FCFA,https://www.jumia.sn/maybelline-new-york-tatouage-sourcils-gel-deep-brown-06-9707885.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/87079/1.jpg?3294,True,5 990 FCFA,8%,,
Byphasse Eau Micellaire Démaquillante - 500 ml,1 955 FCFA,https://www.jumia.sn/eau-micellaire-demaquillante-500-ml-byphasse-mpg42981.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/28043/1.jpg?9971,False,2 300 FCFA,15%,4 out of 5,(28)
Byphasse Coton Pour Démaquillant - Disques 100% Fibres Naturelles - 120 Pièces,1 500 FCFA,https://www.jumia.sn/coton-pour-demaquillant-disques-100-fibres-naturelles-120-pieces-byphasse-mpg25492.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/22589/1.jpg?4241,False,,,3.3 out of 5,(6)
Generic Boite de rangement cosmétique - rotatif de 360 degré,8 000 FCFA,https://www.jumia.sn/generic-boite-de-rangement-cosmetique-rotatif-de-360-degre-9727423.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/47279/1.jpg?9355,False,16 000 FCFA,50%,3.8 out of 5,(6)
Aichun Beauty Baume à Lèvres Lip Balm Fraise strawberry - 50 Gr,990 FCFA,https://www.jumia.sn/baume-a-levres-lip-balm-fraise-strawberry-50-gr-aichun-beauty-mpg16685.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/07606/1.jpg?8683,False,,,4.7 out of 5,(6)
Carmex Lips à Lèvres waw! -couleur rose,775 FCFA,https://www.jumia.sn/lips-a-levres-waw-couleur-rose-carmex-mpg31280.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/36268/1.jpg?9699,False,,,3.7 out of 5,(3)
L A Girl Pro Conceal HD - Correcteur Haute Définition - Marron Claire,900 FCFA,https://www.jumia.sn/l-a-girl-pro-conceal-hd-correcteur-haute-definition-marron-claire-9786502.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/56879/1.jpg?4069,False,1 500 FCFA,40%,,
Generic Pack de 2 Lèvres Roses - 100% Naturelle -10gr,1 990 FCFA,https://www.jumia.sn/pack-de-2-levres-roses-100-naturelle-10gr-generic-mpg34824.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/24779/1.jpg?9140,False,8 000 FCFA,75%,3.2 out of 5,(13)
"Bioaoua BIOAQUA– Gel de blanchiment des lèvres, crème de soin pour la peau du corps rose tendre, pour les parties intimes",2 750 FCFA,https://www.jumia.sn/bioaoua-bioaqua-gel-de-blanchiment-des-levres-creme-de-soin-pour-la-peau-du-corps-rose-tendre-pour-les-parties-intimes-9984909.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/94899/1.jpg?7832,False,5 000 FCFA,45%,,
Generic Éponge Poudre Rond - Beige,680 FCFA,https://www.jumia.sn/eponge-poudre-rond-beige-generic-mpg2300.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/82121/1.jpg?5549,False,800 FCFA,15%,3.8 out of 5,(5)
Topface Rouge à Lèvres Instyle Mat - 003,3 604 FCFA,https://www.jumia.sn/topface-rouge-a-levres-instyle-mat-003-9981817.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/81899/1.jpg?2628,True,5 300 FCFA,32%,,
Generic Offre spéciale : Fond de Teint Matifiant + poudre compact karité,2 120 FCFA - 5 000 FCFA,https://www.jumia.sn/generic-offre-speciale-fond-de-teint-matifiant-poudre-compact-karite-2265512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/55622/1.jpg?0572,False,5 000 FCFA,58%,3.8 out of 5,(27)
Generic Aichun Baume Lévres Roses - 100% Naturelle,900 FCFA,https://www.jumia.sn/generic-aichun-baume-levres-roses-100-naturelle-9851642.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/61589/1.jpg?4340,False,3 000 FCFA,70%,,
L A Girl Pro Conceal HD - Correcteur Haute Définition - Marron,950 FCFA,https://www.jumia.sn/pro-conceal-hd-correcteur-haute-definition-marron-l-a-girl-mpg13837.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/37964/1.jpg?4763,False,1 500 FCFA,37%,4 out of 5,(23)
"Generic Poudre de 5 Palettes pour Teint clair, Marron et Noir",1 870 FCFA,https://www.jumia.sn/generic-poudre-de-5-palettes-pour-teint-clair-marron-et-noir-95357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/359/1.jpg?2443,False,2 200 FCFA,15%,3.9 out of 5,(8)
