name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Autre Ensembles de douilles professionnelles 45 Pièces1/4″,18 900 FCFA,https://www.jumia.sn/ensembles-de-douilles-professionnelles-45-pieces14-autre-mpg30960.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/38879/1.jpg?3391,False,28 000 FCFA,33%,4.7 out of 5,(3)
"Autre Ensemble de 12 clés à douille 1/4"" à cliquet",5 900 FCFA,https://www.jumia.sn/autre-ensemble-de-12-cles-a-douille-14-a-cliquet-9757398.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/37579/1.jpg?4051,False,13 000 FCFA,55%,5 out of 5,(3)
Autre Correcteur de Posture ou Support lombaire réglable pour dos,6 000 FCFA,https://www.jumia.sn/autre-correcteur-de-posture-ou-support-lombaire-reglable-pour-dos-9805308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/35089/1.jpg?8484,False,14 000 FCFA,57%,,
Autre Boîte à outils en aluminium de 147 pièces,97 000 FCFA,https://www.jumia.sn/boite-a-outils-en-aluminium-de-147-pieces-autre-mpg30934.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/84879/1.jpg?9126,False,170 000 FCFA,43%,4 out of 5,(1)
"Autre Ensemble de 12 clés à douille 1/2 "" à cliquet",11 900 FCFA,https://www.jumia.sn/autre-ensemble-de-12-cles-a-douille-12-a-cliquet-9752416.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/42579/1.jpg?9524,False,20 000 FCFA,41%,,
Autre Ensemble d'outils à main 142 Pièces,102 000 FCFA,https://www.jumia.sn/ensemble-doutils-a-main-142-pieces-autre-mpg30951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/38879/1.jpg?9058,False,180 000 FCFA,43%,,
Generic MT W3230 Temperature Controller Thermostat Dual Digital Regulator-black-0,22 095 FCFA,https://www.jumia.sn/generic-mt-w3230-temperature-controller-thermostat-dual-digital-regulator-black-0-1833302.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/33381/1.jpg?3711,False,43 324 FCFA,49%,,
"Autre Jeu de clés à étoile, 9 pièces",4 000 FCFA,https://www.jumia.sn/jeu-de-cles-a-etoile-9-pieces-autre-mpg30977.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/72089/1.jpg?5928,False,10 000 FCFA,60%,,
Autre Boite outils à main de douilles 14 Pièces,6 900 FCFA,https://www.jumia.sn/autre-boite-outils-a-main-de-douilles-14-pieces-9752421.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/42579/1.jpg?0265,False,16 000 FCFA,57%,,
Autre Coffre À Outils 59 Pièces,99 000 FCFA,https://www.jumia.sn/autre-coffre-a-outils-59-pieces-9784850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/84879/1.jpg?7225,False,183 000 FCFA,46%,,
Ingco Harnais de sécurité et de protection ingco,13 900 FCFA,https://www.jumia.sn/harnais-de-securite-et-de-protection-ingco-ingco-mpg36447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/76539/1.jpg?4395,False,15 000 FCFA,7%,5 out of 5,(1)
"Autre Ensembles de douilles professionnelles 1/4""+1/2"" 44 Pièces",36 900 FCFA,https://www.jumia.sn/ensembles-de-douilles-professionnelles-1412-44-pieces-autre-mpg30957.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/38879/1.jpg?9057,False,56 000 FCFA,34%,,
Autre Ensembles de douilles professionnelles 25 Pièces 1/2″,33 000 FCFA,https://www.jumia.sn/ensembles-de-douilles-professionnelles-25-pieces-12-autre-mpg30959.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/38879/1.jpg?9057,False,50 000 FCFA,34%,,
Generic Party Rotating Wine Gl Holder Deta Hable 6 Shot Gl Dispenser And Holder-black-Cup Holder,56 250 FCFA,https://www.jumia.sn/generic-party-rotating-wine-gl-holder-deta-hable-6-shot-gl-dispenser-and-holder-black-cup-holder-9281284.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/21829/1.jpg?8958,False,112 500 FCFA,50%,,
Autre Ensemble d'outils à main isolés 16 Pièces,37 000 FCFA,https://www.jumia.sn/ensemble-doutils-a-main-isoles-16-pieces-autre-mpg30952.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/38879/1.jpg?9057,False,50 000 FCFA,26%,,
"Autre Ensembles de douilles professionnelles 24 Pièces 1/2""",26 900 FCFA,https://www.jumia.sn/ensembles-de-douilles-professionnelles-24-pieces-12-autre-mpg30958.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/38879/1.jpg?9057,False,40 000 FCFA,33%,,
"Autre Ensembles de douilles professionnelles 15 Pièces 3/4 """,72 900 FCFA,https://www.jumia.sn/autre-ensembles-de-douilles-professionnelles-15-pieces-34-9751574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/51579/1.jpg?7253,False,95 000 FCFA,23%,,
Autre Support de Posture de flèche,4 000 FCFA,https://www.jumia.sn/autre-support-de-posture-de-fleche-9805066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/05089/1.jpg?2463,False,7 000 FCFA,43%,,
Generic Ventouse réparation de bosse automatique grand modèle,7 000 FCFA,https://www.jumia.sn/ventouse-reparation-de-bosse-automatique-grand-modele-generic-mpg45680.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/83489/1.jpg?0295,False,,,,
Autre Organisation instantanée de voiture,4 000 FCFA,https://www.jumia.sn/organisation-instantanee-de-voiture-autre-mpg30988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/05089/1.jpg?2463,False,7 000 FCFA,43%,,
Generic Led Anti Mosquito Killer Light,7 900 FCFA,https://www.jumia.sn/generic-led-anti-mosquito-killer-light-9199568.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/59919/1.jpg?4698,False,12 900 FCFA,39%,,
Sans Pack Garde Corps MEGALUXFRANCE en aluminium de 2 mètres modèle Dakar,112 000 FCFA,https://www.jumia.sn/sans-pack-garde-corps-megaluxfrance-en-aluminium-de-2-metres-modele-dakar-9806377.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/36089/1.jpg?0124,False,,,,
"Generic Ventouse en plastique pour carrelage, sol antistatique",5 000 FCFA,https://www.jumia.sn/ventouse-en-plastique-pour-carrelage-sol-antistatique-generic-mpg36026.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/02879/1.jpg?8236,False,13 000 FCFA,62%,2.5 out of 5,(2)
