name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Sèche Linge Fil Cintre - Cintre Crochet Métallique,14 000 FCFA,https://www.jumia.sn/seche-linge-fil-cintre-cintre-crochet-metallique-generic-mpg8964.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/9993/1.jpg?2157,False,,,,
Generic Panier de fruits de légumes en bois,4 860 FCFA,https://www.jumia.sn/generic-panier-de-fruits-de-legumes-en-bois-9970681.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/60799/1.jpg?1996,False,8 000 FCFA,39%,,
Generic Hamac Rayé suspendu - 2 personnes - 280*80cm - lit de loisirs en plein air,15 000 FCFA,https://www.jumia.sn/generic-hamac-raye-suspendu-2-personnes-28080cm-lit-de-loisirs-en-plein-air-8906650.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/66098/1.jpg?7369,False,25 000 FCFA,40%,3 out of 5,(1)
Generic Tente Igloo/Camping Camouflage - 4 Places - Vert Militaire,18 900 FCFA,https://www.jumia.sn/tente-igloocamping-camouflage-4-places-vert-militaire-generic-mpg35793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/67388/1.jpg?6988,False,25 000 FCFA,24%,,
Generic Panier de fruits de légumes en bois,4 999 FCFA,https://www.jumia.sn/generic-panier-de-fruits-de-legumes-en-bois-9801260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/21089/1.jpg?7567,False,9 000 FCFA,44%,,
Generic Panier de fruits de légumes,3 900 FCFA,https://www.jumia.sn/panier-de-fruits-de-legumes-generic-mpg34545.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/80288/1.jpg?1779,False,9 000 FCFA,57%,,
"Generic Support de Gaz, de Poubelle, de pot de Fleur à Roulettes",6 000 FCFA,https://www.jumia.sn/support-de-gaz-de-poubelle-de-pot-de-fleur-a-roulettes-generic-mpg29418.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/25606/1.jpg?8995,False,10 000 FCFA,40%,3.8 out of 5,(4)
Original Support de Gaz à Roulettes,5 800 FCFA,https://www.jumia.sn/support-de-gaz-a-roulettes-original-mpg15793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/15622/1.jpg?8296,False,12 000 FCFA,52%,4.5 out of 5,(2)
Crystal Chaise en Crystal,100 000 FCFA,https://www.jumia.sn/crystal-chaise-en-crystal-77904.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/977/1.jpg?3483,False,,,,
Arôme zone Table petit déjeuner en bois pliable,11 000 FCFA,https://www.jumia.sn/arome-zone-table-petit-dejeuner-en-bois-pliable-105200.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/2501/1.jpg?6366,False,,,,
Generic Tente Igloo/Camping Camouflage - 2 Places - Vert Militaire,17 000 FCFA,https://www.jumia.sn/generic-tente-igloocamping-camouflage-2-places-vert-militaire-9253739.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/73529/1.jpg?7890,False,25 000 FCFA,32%,,
Generic Ar Steering Wheel Dining Table Sturdy Not Easy To Fall Beautiful Dining Table-black-box Package,51 430 FCFA,https://www.jumia.sn/generic-ar-steering-wheel-dining-table-sturdy-not-easy-to-fall-beautiful-dining-table-black-box-package-9280891.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/80829/1.jpg?7816,False,102 860 FCFA,50%,,
"White Label Plateau de lit pour Ordinateur Portable Support de Lecture, Plateau de Petit-déjeuner avec Jambes Pliantes et Fente pour gobelet",21 600 FCFA,https://www.jumia.sn/white-label-plateau-de-lit-pour-ordinateur-portable-support-de-lecture-plateau-de-petit-dejeuner-avec-jambes-pliantes-et-fente-pour-gobelet-9902044.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/02099/1.jpg?0298,False,,,4 out of 5,(1)
"Generic Distributeur de boissons Globe, ABS + PET,- 1L",19 000 FCFA,https://www.jumia.sn/generic-distributeur-de-boissons-globe-abs-pet-1l-2746320.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/36472/1.jpg?1894,False,,,,
Bloom Chaise design BLOOM,135 000 FCFA,https://www.jumia.sn/bloom-chaise-design-bloom-55476.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/455/1.jpg?7058,False,,,,
Generic Support Appareils électroménagers,10 000 FCFA,https://www.jumia.sn/support-appareils-electromenagers-generic-mpg26880.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/58962/1.jpg?3171,False,,,4.5 out of 5,(2)
