name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Rangement chaussures en plastique 5 cubes,12 800 FCFA,https://www.jumia.sn/rangement-chaussures-en-plastique-5-cubes-generic-mpg45599.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/28289/1.jpg?0727,False,,,4 out of 5,(1)
Generic armoire Rangement chaussures 12 étagères,13 700 FCFA,https://www.jumia.sn/armoire-rangement-chaussures-12-etageres-generic-mpg45688.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/28289/1.jpg?0727,False,,,,
Generic Tapis de prière pliable ultra confortable avec adossoir+support coran,19 999 FCFA,https://www.jumia.sn/generic-tapis-de-priere-pliable-ultra-confortable-avec-adossoirsupport-coran-9923012.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/03299/1.jpg?1190,False,23 000 FCFA,13%,,
"Generic Boîte à Lunch Portative Multifonctionnelle, Chauffage électrique d'aliments",5 500 FCFA,https://www.jumia.sn/boite-a-lunch-portative-multifonctionnelle-chauffage-electrique-daliments-generic-mpg32742.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/34788/1.jpg?1065,False,,,3.3 out of 5,(3)
H2 Store Recharge Absorbeur d'humidité GM X 3,13 500 FCFA,https://www.jumia.sn/h2-store-recharge-absorbeur-dhumidite-gm-x-3-8839580.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/59388/1.jpg?4039,False,,,,
Intex canapé gonflable avec repose pied plus Pompe offerte,36 400 FCFA,https://www.jumia.sn/canape-gonflable-intex-avec-repose-pied-plus-pompe-offerte-intex-mpg36644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/67021/1.jpg?5912,False,55 000 FCFA,34%,,
Generic Coussin respirant double épaisseur silicone- nid d'abeille avec housse antidérapante,15 000 FCFA,https://www.jumia.sn/generic-coussin-respirant-double-epaisseur-silicone-nid-dabeille-avec-housse-antiderapante-6077094.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/07706/1.jpg?9152,False,,,,
Generic Ustensiles de cuisine Set 11 Pcs Silicone Ustensiles de,14 500 FCFA,https://www.jumia.sn/generic-ustensiles-de-cuisine-set-11-pcs-silicone-ustensiles-de-6025241.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/25206/1.jpg?1397,False,30 000 FCFA,52%,,
Generic VENTILATEUR MURAL NOIR-GRIS,23 000 FCFA,https://www.jumia.sn/ventilateur-mural-noir-gris-generic-mpg35985.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/5711/1.jpg?4078,False,24 000 FCFA,4%,,
Generic Armoire Penderie 3 Battants,16 000 FCFA,https://www.jumia.sn/armoire-penderie-3-battants-generic-mpg40753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/28289/1.jpg?0727,False,,,,
Generic Friteuse à air chaud compacte EK2817BGP 2 litres - 1000 W,34 900 FCFA,https://www.jumia.sn/generic-friteuse-a-air-chaud-compacte-ek2817bgp-2-litres-1000-w-6074830.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/84706/1.jpg?7788,False,50 000 FCFA,30%,3 out of 5,(2)
Generic gonflable floqué unique canapé paresseux canapé-lit siesta chaise longue avec repose-pieds,55 000 FCFA,https://www.jumia.sn/gonflable-floque-unique-canape-paresseux-canape-lit-siesta-chaise-longue-avec-repose-pieds-generic-mpg36145.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/05795/1.jpg?7361,False,,,3 out of 5,(1)
Generic gonflable avec pompe électrique + repose-pieds,55 000 FCFA,https://www.jumia.sn/generic-gonflable-avec-pompe-electrique-repose-pieds-9459564.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/59549/1.jpg?6291,False,,,,
Generic Canapé Luxe pliant moderne canapé-lit Style européen canapé paresseux pour salon meubles inclinable,160 000 FCFA,https://www.jumia.sn/generic-canape-luxe-pliant-moderne-canape-lit-style-europeen-canape-paresseux-pour-salon-meubles-inclinable-9842832.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/82489/1.jpg?0225,False,350 000 FCFA,54%,,
White Table Pliante Multifonctions pour ordinateurs,14 500 FCFA,https://www.jumia.sn/white-table-pliante-multifonctions-pour-ordinateurs-9802144.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/12089/1.jpg?1403,False,18 000 FCFA,19%,,
Generic Chaise Royal en Plastique - Rouge,18 000 FCFA,https://www.jumia.sn/generic-chaise-royal-en-plastique-rouge-2204360.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/34022/1.jpg?8371,False,,,,
Intex gonflable floqué unique canapé paresseux canapé-lit siesta chaise longue avec repose-pieds,65 000 FCFA,https://www.jumia.sn/intex-gonflable-floque-unique-canape-paresseux-canape-lit-siesta-chaise-longue-avec-repose-pieds-6044087.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/04406/1.jpg?0112,False,,,,
"Generic Canapé de jardin gonflable, fauteuil de la plage, matelas de couchage &pompe offerte",39 900 FCFA,https://www.jumia.sn/generic-canape-de-jardin-gonflable-fauteuil-de-la-plage-matelas-de-couchage-pompe-offerte-9752398.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/32579/1.jpg?6019,False,55 500 FCFA,28%,,
Generic ARMOIRE PLASTIQUE 3 BATTANTS AVEC RANGEMENT CHAUSSURES,35 000 FCFA,https://www.jumia.sn/armoire-plastique-3-battants-avec-rangement-chaussures-generic-mpg45268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/99389/1.jpg?1204,False,,,4.5 out of 5,(2)
