name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Noir",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-noir-6100199.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/10016/1.jpg?8517,True,75 000 FCFA,35%,4 out of 5,(56)
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Bleu",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-bleu-9845388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/35489/1.jpg?6701,True,75 000 FCFA,35%,3.9 out of 5,(34)
Samsung Galaxy A12 – Ecran 6.5″ - ROM 128GB - RAM 4GB - Caméra 48MP - Bleu,87 700 FCFA,https://www.jumia.sn/samsung-galaxy-a12-ecran-6.5-rom-128gb-ram-4gb-camera-48mp-bleu-10001120.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/110001/1.jpg?4777,True,95 000 FCFA,8%,5 out of 5,(1)
"Samsung Galaxy A03S - 4G - 6.5"" - RAM 4Go - ROM 64Go - Caméra 13+2+2MP - Empreinte digitale",74 500 FCFA,https://www.jumia.sn/samsung-galaxy-a03s-4g-6.5-ram-4go-rom-64go-camera-1322mp-empreinte-digitale-9795740.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/75979/1.jpg?0977,True,80 000 FCFA,7%,4.5 out of 5,(13)
"Samsung Galaxy A13 - 6.6"" - RAM 4Go - ROM 64Go - Caméra 50+5+2+2MP - 5000mAh – Black",96 960 FCFA,https://www.jumia.sn/samsung-galaxy-a13-6.6-ram-4go-rom-64go-camera-50522mp-5000mah-black-9961272.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/21699/1.jpg?6949,True,104 900 FCFA,8%,5 out of 5,(3)
Samsung Galaxy A12 – Ecran 6.5″ - ROM 128GB - RAM 4GB - Caméra 48MP - Noir,87 700 FCFA,https://www.jumia.sn/samsung-galaxy-a12-ecran-6.5-rom-128gb-ram-4gb-camera-48mp-noir-10001119.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/110001/1.jpg?4777,True,95 000 FCFA,8%,,
"Samsung Galaxy A03 - 4G - 6.5"" - 3Go - 32Go - 48Mpx - 5000 MAh - Bleu",59 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-4g-6.5-3go-32go-48mpx-5000-mah-bleu-9961292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/21699/1.jpg?9074,True,69 900 FCFA,14%,4 out of 5,(1)
"Samsung Galaxy A13 - 6.6"" - RAM 4Go - ROM 128Go - Caméra 50+5+2+2MP - 5000mAh – Black",107 270 FCFA,https://www.jumia.sn/samsung-galaxy-a13-6.6-ram-4go-rom-128go-camera-50522mp-5000mah-black-9961273.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/21699/1.jpg?3889,True,114 900 FCFA,7%,4 out of 5,(1)
"Samsung Galaxy A13 - Ecran 6.6"" - RAM 4Go - ROM 64Go - Bleu clair",96 960 FCFA,https://www.jumia.sn/samsung-galaxy-a13-ecran-6.6-ram-4go-rom-64go-bleu-clair-10002688.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/620001/1.jpg?3888,True,104 900 FCFA,8%,,
"Samsung Galaxy A03 - 4G - 6.5"" - 3Go - 32Go - 48Mpx - 5000 MAh - Noir",60 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-4g-6.5-3go-32go-48mpx-5000-mah-noir-9961294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/21699/1.jpg?9076,True,69 900 FCFA,13%,3 out of 5,(2)
