name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Housse de Chaise de Bureau Pivotante - Noir,750 FCFA,https://www.jumia.sn/generic-housse-de-chaise-de-bureau-pivotante-noir-667393.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/3766/1.jpg?6121,False,1 471 FCFA,49%,2.3 out of 5,(3)
Generic Honana SC-587 European Flannel Simple Winter Plush Non-slip Cushion Modern Sofa Cover Towel 90 x 120cm,10 945 FCFA,https://www.jumia.sn/generic-honana-sc-587-european-flannel-simple-winter-plush-non-slip-cushion-modern-sofa-cover-towel-90-x-120cm-920831.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/8029/1.jpg?1279,False,21 461 FCFA,49%,,
Generic Table de lit multifonction - couleur ROSE,13 500 FCFA,https://www.jumia.sn/generic-table-de-lit-multifonction-couleur-rose-9212446.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/42129/1.jpg?1358,False,25 000 FCFA,46%,,
Express Table de lit Multifonctions pour ordinateur couleur hasard,7 500 FCFA,https://www.jumia.sn/table-de-lit-multifonctions-pour-ordinateur-couleur-hasard-express-mpg45202.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/16489/1.jpg?0900,False,15 000 FCFA,50%,,
Generic Sofa Cover All Inclusive Without Armrest Folding Bed Cushion Navy,28 340 FCFA,https://www.jumia.sn/generic-sofa-cover-all-inclusive-without-armrest-folding-bed-cushion-navy-2389377.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/39832/1.jpg?5574,False,55 569 FCFA,49%,,
"Generic Table d'appoint Mesa Express Multifonctionnel, Table Réglable et Pliante avec Fente pour Plateau, Bureau, Canapé-Lit",15 000 FCFA,https://www.jumia.sn/generic-table-dappoint-mesa-express-multifonctionnel-table-reglable-et-pliante-avec-fente-pour-plateau-bureau-canape-lit-9827321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/37289/1.jpg?3875,False,,,,
Generic Ensemble : Table de Bureau + Chaise Fauteuil - Noir,110 500 FCFA,https://www.jumia.sn/ensemble-table-de-bureau-chaise-fauteuil-noir-generic-mpg24410.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/09121/1.jpg?5348,False,125 000 FCFA,12%,,
Generic Chaise Pliante - Assise et Dossier en Bois - Marron,11 000 FCFA,https://www.jumia.sn/chaise-pliante-assise-et-dossier-en-bois-marron-generic-mpg18342.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/62716/1.jpg?9026,False,15 000 FCFA,27%,3 out of 5,(1)
Generic Mine Table Pliable - Multifonctions - 48 x 30 x 27cm,7 500 FCFA,https://www.jumia.sn/mine-table-pliable-multifonctions-48-x-30-x-27cm-generic-mpg39640.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/97788/1.jpg?7359,False,15 000 FCFA,50%,4 out of 5,(1)
Table Ronde Fauteuil chaise de bureau design siège - pivotant ergonomique,45 000 FCFA,https://www.jumia.sn/fauteuil-chaise-de-bureau-design-siege-pivotant-ergonomique-table-ronde-mpg29944.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/25606/1.jpg?8996,False,55 000 FCFA,18%,4 out of 5,(1)
Generic Table de lit multifonction - couleur aléatoire,8 000 FCFA,https://www.jumia.sn/table-de-lit-multifonction-couleur-aleatoire-generic-mpg35746.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/39429/1.jpg?8281,False,25 000 FCFA,68%,3 out of 5,(2)
