name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Pack 12 Slips - Coton, Multicolore - Fille -enfants",5 000 FCFA,https://www.jumia.sn/pack-12-slips-coton-multicolore-fille-enfants-generic-mpg34739.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/28849/1.jpg?2943,False,8 000 FCFA,38%,3.8 out of 5,(5)
Generic Lot de 12 Boxer petite fille,7 990 FCFA,https://www.jumia.sn/generic-lot-de-12-boxer-petite-fille-7276328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/36727/1.jpg?4312,False,15 000 FCFA,47%,,
Generic Robe Wax,4 500 FCFA,https://www.jumia.sn/generic-robe-wax-116269.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/2611/1.jpg?1035,False,,,,
Generic 1180 pièces Fille Accessoire à cheveux - Multicolore,6 500 FCFA,https://www.jumia.sn/generic-1180-pieces-fille-accessoire-a-cheveux-multicolore-9843090.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/03489/1.jpg?4134,False,10 000 FCFA,35%,,
Generic Lot de 6 Boxers pour Fille en Coton - Dentelle (4 a 7 ans),2 250 FCFA,https://www.jumia.sn/generic-lot-de-6-boxers-pour-fille-en-coton-dentelle-4-a-7-ans-10028318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/382001/1.jpg?0136,False,4 500 FCFA,50%,,
Unbrand Montre Projecteur Électronique Cadeau pour Enfant,8 550 FCFA,https://www.jumia.sn/unbrand-montre-projecteur-electronique-cadeau-pour-enfant-6124992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/94216/1.jpg?0313,False,10 000 FCFA,15%,,
Generic Ensemble Cache Cœur - Unisexe,7 000 FCFA,https://www.jumia.sn/generic-ensemble-cache-coeur-unisexe-171970.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9171/1.jpg?8177,False,,,,
Generic Lot de 12 Silipes petite fille,6 990 FCFA,https://www.jumia.sn/generic-lot-de-12-silipes-petite-fille-7276631.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/66727/1.jpg?1968,False,15 000 FCFA,53%,,
Generic Robe à volants - Noire et argent - Tulle - Fille,10 000 FCFA,https://www.jumia.sn/generic-robe-a-volants-noire-et-argent-tulle-fille-10030196.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/103001/1.jpg?0991,False,,,,
Alyfa Sac à dos modèle papillon en Bache - Multicouleur,17 000 FCFA,https://www.jumia.sn/alyfa-sac-a-dos-modele-papillon-en-bache-multicouleur-215002.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/0512/1.jpg?1378,False,,,,
Generic Pack de 12 boxer femme 100% coton,7 990 FCFA,https://www.jumia.sn/generic-pack-de-12-boxer-femme-100-coton-6136432.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/46316/1.jpg?1644,False,12 000 FCFA,33%,,
Generic Robe wax + Nœud,4 500 FCFA,https://www.jumia.sn/generic-robe-wax-noeud-116273.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/2611/1.jpg?1155,False,,,,
Generic Robe pour fille - Robe de princesse - Noir,17 000 FCFA,https://www.jumia.sn/generic-robe-pour-fille-robe-de-princesse-noir-6102306.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/32016/1.jpg?1330,False,,,,
Generic POPIT Fidget Sac à main pour filles - cadeaux d'anniversaire,8 500 FCFA,https://www.jumia.sn/generic-popit-fidget-sac-a-main-pour-filles-cadeaux-danniversaire-10030292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/203001/1.jpg?9689,False,9 900 FCFA,14%,,
Generic 18 pièces Fille Accessoires pour cheveux - Rose bonbon,4 300 FCFA,https://www.jumia.sn/generic-18-pieces-fille-accessoires-pour-cheveux-rose-bonbon-10021879.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/812001/1.jpg?5733,False,8 000 FCFA,46%,,
Generic 18 pièces Accessoires pour cheveux à nœud à fleur - Rouge,4 300 FCFA,https://www.jumia.sn/generic-18-pieces-accessoires-pour-cheveux-a-noeud-a-fleur-rouge-10021880.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/812001/1.jpg?5733,False,8 000 FCFA,46%,,
Generic Ensemble pour bébé fille 4 pièces,4 990 FCFA,https://www.jumia.sn/ensemble-pour-bebe-fille-4-pieces-generic-mpg30509.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/70866/1.jpg?4844,False,10 000 FCFA,50%,,
