name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Correcteur de posture réglable,1 680 FCFA,https://www.jumia.sn/generic-correcteur-de-posture-reglable-9992113.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/12999/1.jpg?1343,False,6 000 FCFA,72%,3 out of 5,(2)
Generic Correcteur de posture réglable,6 000 FCFA,https://www.jumia.sn/generic-correcteur-de-posture-reglable-8283407.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/43828/1.jpg?1594,False,,,4 out of 5,(2)
Aichun Beauty crème pour Abdominaux -Ventre Plat dégraissant- Eight Pack -,5 000 FCFA,https://www.jumia.sn/aichun-beauty-creme-pour-abdominaux-ventre-plat-degraissant-eight-pack-10028335.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/382001/1.jpg?1681,False,17 000 FCFA,71%,,
Generic Gaine minceur ventre plat string,8 000 FCFA,https://www.jumia.sn/generic-gaine-minceur-ventre-plat-string-6128637.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/68216/1.jpg?5856,False,,,5 out of 5,(1)
Generic 22-48 cm Grand Adulte Brassard de Pression Artérielle Pour Bras Moniteur de Tension Artérielle Compteur Tonomètre Tensiomètre dropship,7 466 FCFA,https://www.jumia.sn/generic-22-48-cm-grand-adulte-brassard-de-pression-arterielle-pour-bras-moniteur-de-tension-arterielle-compteur-tonometre-tensiometre-dropship-3536799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/76353/1.jpg?1484,False,14 639 FCFA,49%,,
Generic Numérique LCD Automatique Bras Moniteur de Tension Artérielle Bat Mètre Dispositif medidor de pressão artérielle,16 999 FCFA,https://www.jumia.sn/generic-numerique-lcd-automatique-bras-moniteur-de-tension-arterielle-bat-metre-dispositif-medidor-de-pressao-arterielle-8873268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/23788/1.jpg?6616,False,30 000 FCFA,43%,5 out of 5,(2)
Aichun Beauty Pack de 2 crèmes pour Abdominaux - Eight Pack - Ventre Plat,3 999 FCFA,https://www.jumia.sn/pack-de-2-cremes-pour-abdominaux-eight-pack-ventre-plat-aichun-beauty-mpg27912.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/38849/1.jpg?8085,False,12 500 FCFA,68%,4.7 out of 5,(3)
Generic Revoflex Xxtrem - Travail Abdominal et Biceps - Rose/Bleu,5 900 FCFA,https://www.jumia.sn/generic-revoflex-xxtrem-travail-abdominal-et-biceps-rosebleu-3594804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/84953/1.jpg?5019,False,20 000 FCFA,71%,,
Arôme zone Barre de Traction - Exercice Barre Fixe,7 500 FCFA,https://www.jumia.sn/arome-zone-barre-de-traction-exercice-barre-fixe-95431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/459/1.jpg?6215,False,,,4.3 out of 5,(3)
Generic 5 couleur LED Affichage Oxymètre De Dedo Oxymètre De Pouls Sang Saturometro Moniteur SPO2 PR Oxymètre De Pulso Portable Pulsioximetro,8 431 FCFA,https://www.jumia.sn/generic-5-couleur-led-affichage-oxymetre-de-dedo-oxymetre-de-pouls-sang-saturometro-moniteur-spo2-pr-oxymetre-de-pulso-portable-pulsioximetro-3392629.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/62933/1.jpg?3267,False,16 531 FCFA,49%,,
