name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Balance Pesé Personne Eléctronique De Graisse Corporelle IMC,4 190 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-de-graisse-corporelle-imc-8841540.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/51488/1.jpg?9372,True,8 216 FCFA,49%,4.1 out of 5,(61)
Generic Balance Pèse-Personne Électronique en Verre - Ecran Lcd,7 590 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-en-verre-ecran-lcd-6023723.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/73206/1.jpg?5387,False,15 000 FCFA,49%,4 out of 5,(22)
Generic Tensiomètre Electronique,10 500 FCFA,https://www.jumia.sn/tensiometre-electronique-blanc-generic-mpg13081.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/07489/1.jpg?8600,False,15 000 FCFA,30%,4.5 out of 5,(2)
Generic Balance Pèse - Personne Électronique Plateau En Verre - Ecran Lcd,6 900 FCFA,https://www.jumia.sn/balance-pese-personne-electronique-plateau-en-verre-ecran-lcd-generic-mpg19154.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/44439/1.jpg?2818,False,15 000 FCFA,54%,4.1 out of 5,(17)
White Label Balance pèse personne numérique,7 480 FCFA,https://www.jumia.sn/white-label-balance-pese-personne-numerique-6023683.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/63206/1.jpg?0169,False,17 000 FCFA,56%,4.2 out of 5,(33)
Generic Afficheur Thermohygromètre Numérique avec sonde externe,2 190 FCFA,https://www.jumia.sn/generic-afficheur-thermohygrometre-numerique-avec-sonde-externe-9050484.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/40509/1.jpg?6116,False,2 590 FCFA,15%,3.4 out of 5,(15)
Generic Pèse-personne Numérique à Lecture Précise,4 900 FCFA,https://www.jumia.sn/generic-pese-personne-numerique-a-lecture-precise-9825375.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/35289/1.jpg?5399,True,9 900 FCFA,51%,,
Generic Thermoflash détecteur coronavirus - Bleu,11 900 FCFA,https://www.jumia.sn/generic-thermoflash-detecteur-coronavirus-bleu-5669822.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/89665/1.jpg?7014,False,35 000 FCFA,66%,4 out of 5,(1)
Generic Oxymètre de Pouls - Saturomètre - à Piles,6 000 FCFA,https://www.jumia.sn/oxymetre-de-pouls-saturometre-a-piles-generic-mpg34711.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/74089/1.jpg?7684,False,25 000 FCFA,76%,4.3 out of 5,(9)
Generic Balance poids pèse-personne mécanique,6 250 FCFA,https://www.jumia.sn/balance-poids-pese-personne-mecanique-generic-mpg42313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/78389/1.jpg?6588,False,,,5 out of 5,(1)
Generic Balance poids pèse-personne mécanique(couleur dépend du stock),4 900 FCFA,https://www.jumia.sn/generic-balance-poids-pese-personne-mecaniquecouleur-depend-du-stock-9804306.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/34089/1.jpg?9761,False,4 990 FCFA,2%,1 out of 5,(1)
Newfeel Pèse personne SCALE 100 verre by Decathlon,10 165 FCFA,https://www.jumia.sn/newfeel-pese-personne-scale-100-verre-by-decathlon-6022158.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/12206/1.jpg?5182,False,,,,
Generic Tensiomètre Blood pressure,12 000 FCFA,https://www.jumia.sn/generic-tensiometre-blood-pressure-9846971.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/96489/1.jpg?7029,False,25 000 FCFA,52%,3 out of 5,(1)
Medisana Thermomètre Digital Medisana,1 800 FCFA,https://www.jumia.sn/thermometre-digital-medisana-medisana-mpg6547.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/166/1.jpg?5604,False,4 000 FCFA,55%,4.2 out of 5,(13)
Generic Balance Pèse - Personne Électronique Plateau En Verre - Ecran Lcd,6 500 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-plateau-en-verre-ecran-lcd-9977616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/67799/1.jpg?4457,False,10 000 FCFA,35%,,
Generic Oxymètre de Pouls - Saturomètre - à Piles / Saturation Approuvé,25 000 FCFA,https://www.jumia.sn/generic-oxymetre-de-pouls-saturometre-a-piles-saturation-approuve-6172535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/52716/1.jpg?6845,False,,,,
Fashion Balance pèse personne numérique,6 375 FCFA,https://www.jumia.sn/fashion-balance-pese-personne-numerique-9225970.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/95229/1.jpg?0508,False,20 000 FCFA,68%,3.3 out of 5,(3)
Generic Balance poids pèse-personne mécanique,6 000 FCFA,https://www.jumia.sn/generic-balance-poids-pese-personne-mecanique-10003052.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/030001/1.jpg?7371,False,,,,
Generic Balance électronique LCD,6 999 FCFA,https://www.jumia.sn/generic-balance-electronique-lcd-9977618.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/67799/1.jpg?4454,False,15 000 FCFA,53%,,
Genelec Balance pèse personne numérique,7 500 FCFA,https://www.jumia.sn/genelec-balance-pese-personne-numerique-6023214.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/23206/1.jpg?3149,False,15 000 FCFA,50%,4.5 out of 5,(2)
Generic Balance de Pesage Numérique Personnelle Générique,7 500 FCFA,https://www.jumia.sn/generic-balance-de-pesage-numerique-personnelle-generique-10028441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/482001/1.jpg?2212,False,20 000 FCFA,63%,,
Generic DC12V 20A Digital Temperature Controller DIY Smart Mini Thermostat Regulator,14 445 FCFA,https://www.jumia.sn/generic-dc12v-20a-digital-temperature-controller-diy-smart-mini-thermostat-regulator-772747.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/7277/1.jpg?8520,False,28 324 FCFA,49%,,
Generic Sphygmomanomètre Anéroïde,16 000 FCFA,https://www.jumia.sn/sphygmomanometre-aneroide-welcom-et-autres-mpg15408.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/08342/1.jpg?8106,False,20 000 FCFA,20%,4.7 out of 5,(3)
Tefal Pèse Personne électronique - Tefal Premiss PP1060V0 - Noir,14 500 FCFA,https://www.jumia.sn/tefal-pese-personne-electronique-tefal-premiss-pp1060v0-noir-5872963.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/92785/1.jpg?8765,False,,,4.1 out of 5,(8)
Generic Tensiomètre Electronique,14 500 FCFA,https://www.jumia.sn/tensiometre-electronique-generic-mpg43400.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/31035/1.jpg?6786,False,25 000 FCFA,42%,3.7 out of 5,(20)
Medisana Thermomètre Digital Medisana,2 000 FCFA,https://www.jumia.sn/medisana-thermometre-digital-medisana-66113.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/166/1.jpg?2163,False,5 000 FCFA,60%,4.3 out of 5,(7)
Generic Balance Pèse Personne Électronique 180 kg A/NN,7 999 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-180-kg-ann-9850713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/70589/1.jpg?0534,False,20 000 FCFA,60%,,
