name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Montre A Quartz Pour Femme- Or,1 568 FCFA,https://www.jumia.sn/fashion-montre-a-quartz-pour-femme-or-9078406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/48709/1.jpg?3352,True,3 075 FCFA,49%,3.8 out of 5,(13)
Generic Montre Bracelet Pour Femme - Or,1 990 FCFA,https://www.jumia.sn/generic-montre-bracelet-pour-femme-or-9751370.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/31579/1.jpg?6727,True,3 902 FCFA,49%,,
Generic Coffret cadeau montre class'chic + bague & boite offertes,7 500 FCFA,https://www.jumia.sn/generic-coffret-cadeau-montre-classchic-bague-boite-offertes-9788902.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/98879/1.jpg?6607,False,9 500 FCFA,21%,,
White Label Coffret Montre Cadeau Femmes + 2 accessoires et boite,3 550 FCFA,https://www.jumia.sn/white-label-coffret-montre-cadeau-femmes-2-accessoires-et-boite-9804808.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/84089/1.jpg?8941,False,5 500 FCFA,35%,4.3 out of 5,(4)
Generic Multifonctionnel Bluetooth V3.0 montre pour hommes EDR montre intelligente avec téléphone caméra carte hooge intelligente pour xiaomi hauwei téléphone portable(#Bla),7 333 FCFA,https://www.jumia.sn/generic-multifonctionnel-bluetooth-v3.0-montre-pour-hommes-edr-montre-intelligente-avec-telephone-camera-carte-hooge-intelligente-pour-xiaomi-hauwei-telephone-portablebla-2902432.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/42092/1.jpg?4775,False,14 378 FCFA,49%,,
Realy Montre - Cadran Doré en plaqué sertie de strass,2 890 FCFA,https://www.jumia.sn/realy-montre-cadran-dore-en-plaque-sertie-de-strass-3068297.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/28603/1.jpg?7714,False,13 000 FCFA,78%,4 out of 5,(4)
Generic Coffret Cadeau Femme: Montre + boucles d'oreilles + Collier + Bague,8 500 FCFA,https://www.jumia.sn/generic-coffret-cadeau-femme-montre-boucles-doreilles-collier-bague-9789146.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/19879/1.jpg?0133,False,10 000 FCFA,15%,5 out of 5,(1)
Generic Montre de Sport Connectée à téléphone portable - Rose-Gold,6 900 FCFA,https://www.jumia.sn/montre-de-sport-connectee-a-telephone-portable-rose-gold-generic-mpg44822.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/45089/1.jpg?1969,False,8 900 FCFA,22%,1 out of 5,(1)
Generic Cadeau Femme: Montre + Ensemble Collier et boucles d'oreilles Cœur en Plaqué,7 500 FCFA,https://www.jumia.sn/cadeau-femme-montre-ensemble-collier-et-boucles-doreilles-coeur-en-plaque-generic-mpg46031.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/25022/1.jpg?0295,False,10 000 FCFA,25%,4 out of 5,(30)
Yazole 313 Ladies Japan Quartz Bracelet en Acier Inoxydable,9 800 FCFA,https://www.jumia.sn/yazole-313-ladies-japan-quartz-bracelet-en-acier-inoxydable-9782870.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/82879/1.jpg?1354,False,30 000 FCFA,67%,,
Unbranded Montre Quartz Femme Change de Couleur sous le Soleil,5 000 FCFA,https://www.jumia.sn/unbranded-montre-quartz-femme-change-de-couleur-sous-le-soleil-8941389.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/31498/1.jpg?4278,False,11 000 FCFA,55%,,
Generic Mode femmes montres offre spéciale pas cher ciel étoilé dames Bracelet montre décontracté en cuir Quartz montres hooge Relogio Feminino(#Bla Color),5 213 FCFA,https://www.jumia.sn/generic-mode-femmes-montres-offre-speciale-pas-cher-ciel-etoile-dames-bracelet-montre-decontracte-en-cuir-quartz-montres-hooge-relogio-femininobla-color-2902487.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/42092/1.jpg?4949,False,10 222 FCFA,49%,,
Generic Coffret cadeau-ensemble de montre & bracelet + boite,4 500 FCFA,https://www.jumia.sn/coffret-cadeau-femme-montre-2-accessoires-boite-generic-mpg32975.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/04379/1.jpg?9554,False,9 000 FCFA,50%,4.5 out of 5,(2)
Fashion Montres homme Ecran Tactile avec Heure et Date - montre gris,4 500 FCFA,https://www.jumia.sn/montres-homme-ecran-tactile-avec-heure-et-date-montre-gris-fashion-mpg31736.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/66539/1.jpg?8687,False,7 500 FCFA,40%,,
Lvpai Montres bracelet de luxe ensemble pour les femmes bracelet quartz horloge,4 500 FCFA,https://www.jumia.sn/lvpai-montres-bracelet-de-luxe-ensemble-pour-les-femmes-bracelet-quartz-horloge-5996274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/26995/1.jpg?7085,False,8 000 FCFA,44%,4.3 out of 5,(4)
Generic Cadeau Femmes Coffret Montre+ 2 accessoires & boite,2 900 FCFA,https://www.jumia.sn/cadeau-femmes-coffret-montre-2-accessoires-boite-generic-mpg42345.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/84089/1.jpg?6581,False,5 500 FCFA,47%,2 out of 5,(2)
Generic Boîte à Montre / Bijoux - rouge,2 000 FCFA,https://www.jumia.sn/generic-boite-a-montre-bijoux-rouge-9805295.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/25089/1.jpg?4029,True,5 000 FCFA,60%,,
Unbrand Boitier Rectangulaire Montre Bracelet Homme/Femme bleu,1 400 FCFA,https://www.jumia.sn/unbrand-boitier-rectangulaire-montre-bracelet-hommefemme-bleu-9347071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/07439/1.jpg?9389,False,4 500 FCFA,69%,,
Yazole Montre - Index Romain - Pour Femme - YZL313X - Blanc,6 300 FCFA,https://www.jumia.sn/montre-index-romain-pour-femme-yzl313x-blanc-yazole-mpg44571.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/04779/1.jpg?7498,False,25 000 FCFA,75%,2 out of 5,(1)
Generic Coffret cadeau montre class'chic avec 2 bracelets,5 500 FCFA,https://www.jumia.sn/generic-coffret-cadeau-montre-classchic-avec-2-bracelets-9788903.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/98879/1.jpg?4918,False,8 500 FCFA,35%,3.5 out of 5,(6)
Yazole 360 Quartz Colombe Cadeau Populaire Femme Marron/noir,5 314 FCFA,https://www.jumia.sn/360-quartz-colombe-cadeau-populaire-femme-marronnoir-yazole-mpg38868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/48606/1.jpg?8649,False,20 000 FCFA,73%,3.4 out of 5,(7)
White Coffret cadeau pour femmes -ensemble de 8 pièces avec boîte,8 900 FCFA,https://www.jumia.sn/white-coffret-cadeau-pour-femmes-ensemble-de-8-pieces-avec-boite-9788899.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/88879/1.jpg?4422,False,15 000 FCFA,41%,,
Generic Coffret cadeau montre class'chic + bague & boite offertes,9 990 FCFA,https://www.jumia.sn/generic-coffret-cadeau-montre-classchic-bague-boite-offertes-10045357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/354001/1.jpg?4645,False,10 000 FCFA,1%,,
Generic Bague en Acier Lisse,2 702 FCFA,https://www.jumia.sn/generic-bague-en-acier-lisse-5618103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/18165/1.jpg?1891,True,3 850 FCFA,30%,,
Realy Montre - Cadran Doré en plaqué sertie de strass,2 800 FCFA,https://www.jumia.sn/realy-montre-cadran-dore-en-plaque-sertie-de-strass-3068301.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/38603/1.jpg?8009,False,13 000 FCFA,78%,3.3 out of 5,(3)
2 White Coffret cadeau-ensemble de montre & bracelet + boite,7 500 FCFA,https://www.jumia.sn/coffret-cadeau-pour-femmes-ensemble-de-7-pieces-avec-boite-2-white-mpg30753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/98879/1.jpg?6605,False,15 000 FCFA,50%,4 out of 5,(4)
Generic Coffret cadeau montre class'chic Woman avec 5 accessoires,4 900 FCFA,https://www.jumia.sn/generic-coffret-cadeau-montre-classchic-woman-avec-5-accessoires-9734082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/04379/1.jpg?2260,False,9 000 FCFA,46%,3.5 out of 5,(2)
Generic Boîte à Montre / Bijoux - rouge,2 000 FCFA,https://www.jumia.sn/generic-boite-a-montre-bijoux-rouge-1215099.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/05121/1.jpg?2309,False,5 000 FCFA,60%,4.3 out of 5,(3)
Generic Coffret montre cadeau pour femme -6 PCS,8 990 FCFA,https://www.jumia.sn/coffret-montre-cadeau-pour-femme-6-pcs-generic-mpg43109.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/84788/1.jpg?0895,False,10 000 FCFA,10%,,
Unbrand Montre Quartz Unisex Couleur changeante sous le soleil,5 900 FCFA,https://www.jumia.sn/unbrand-montre-quartz-unisex-couleur-changeante-sous-le-soleil-8831045.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/01388/1.jpg?2388,False,10 000 FCFA,41%,,
Generic Montres femme - strass - bleu,3 500 FCFA,https://www.jumia.sn/generic-montres-femme-strass-bleu-9156379.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/36519/1.jpg?7896,False,4 900 FCFA,29%,,
Generic Montre Quartz Effet Bois Unisexe - Beige,4 275 FCFA,https://www.jumia.sn/generic-montre-quartz-effet-bois-unisexe-beige-489601.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/6984/1.jpg?4401,False,5 000 FCFA,15%,3 out of 5,(3)
Yazole Montre yazole 360,8 000 FCFA,https://www.jumia.sn/yazole-montre-yazole-360-6172191.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/12716/1.jpg?8194,False,16 000 FCFA,50%,,
HS VISION Rangement chaussures 48 paires,34 000 FCFA,https://www.jumia.sn/hs-vision-rangement-chaussures-48-paires-7276310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/36727/1.jpg?4311,False,55 000 FCFA,38%,,
stainless steel Montre Quartz Unisex Couleur changeante sous le soleil,4 675 FCFA,https://www.jumia.sn/stainless-steel-montre-quartz-unisex-couleur-changeante-sous-le-soleil-481812.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8184/1.jpg?6463,False,10 000 FCFA,53%,3.7 out of 5,(12)
Generic Montre Diamond Femmes Luxury - Digital - Tactile - Model CaDr,9 900 FCFA,https://www.jumia.sn/generic-montre-diamond-femmes-luxury-digital-tactile-model-cadr-9990228.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/20999/1.jpg?8206,False,14 000 FCFA,29%,,
Generic Coffret cadeau montre class'chic Woman avec 2 bracelets-BL,7 500 FCFA,https://www.jumia.sn/generic-coffret-cadeau-montre-classchic-woman-avec-2-bracelets-bl-9788901.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/98879/1.jpg?4874,False,8 500 FCFA,12%,,
