name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Montres Bluetooth Intelligentes Pour Les Bandes Ios Et Android,5 390 FCFA,https://www.jumia.sn/generic-montres-bluetooth-intelligentes-pour-les-bandes-ios-et-android-9832502.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/52389/1.jpg?0039,True,9 945 FCFA,46%,,
Generic Montres Bluetooth Intelligentes Pour Bandes Ios Et Android,5 390 FCFA,https://www.jumia.sn/generic-montres-bluetooth-intelligentes-pour-bandes-ios-et-android-9832503.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/52389/1.jpg?0035,True,9 945 FCFA,46%,3 out of 5,(1)
Generic Montre Connectée A1 - Doré,9 500 FCFA,https://www.jumia.sn/montre-connectee-a1-dore-generic-mpg44497.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/23489/1.jpg?5804,False,15 000 FCFA,37%,3.1 out of 5,(28)
Generic Smart E-Watch Montre Connectée Imperméable fréquence Cardiaque Bluetooth,10 900 FCFA,https://www.jumia.sn/smart-e-watch-montre-connectee-impermeable-frequence-cardiaque-bluetooth-generic-mpg45626.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/62716/1.jpg?6257,False,50 000 FCFA,78%,3.4 out of 5,(23)
Generic Smart Watch Peut Installer Une Montre D'appel De Carte SIM,9 970 FCFA,https://www.jumia.sn/generic-smart-watch-peut-installer-une-montre-dappel-de-carte-sim-9832506.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/52389/1.jpg?0035,True,21 225 FCFA,53%,,
Generic Montre Connectée DZ09 - Compatible Android - Bluetooth - Argent,9 850 FCFA,https://www.jumia.sn/generic-montre-connectee-dz09-compatible-android-bluetooth-argent-20981.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/902/1.jpg?8043,False,20 000 FCFA,51%,3.1 out of 5,(18)
Generic Montre Connectée DZ09 - Ecran Tactile - Bluetooth - Appel & SMS - Caméra - Carte SIM - Alarme - Compatible Android & IOS - Noir,9 850 FCFA,https://www.jumia.sn/montre-connectee-dz09-ecran-tactile-bluetooth-appel-sms-camera-carte-sim-alarme-compatible-android-ios-noir-generic-mpg34280.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/834/1.jpg?2863,False,15 000 FCFA,34%,3.9 out of 5,(17)
Generic Montre Connectée - Smartwatch A1 - Noir/Gris,9 440 FCFA,https://www.jumia.sn/generic-montre-connectee-smartwatch-a1-noirgris-9959198.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/19599/1.jpg?3280,False,30 000 FCFA,69%,,
Generic Montre Connectée AVEC PUCE - Smartwatch,9 500 FCFA,https://www.jumia.sn/generic-montre-connectee-avec-puce-smartwatch-9843286.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/23489/1.jpg?5804,False,15 000 FCFA,37%,3 out of 5,(1)
Generic Smart Watch - Montre Téléphone intelligente Compatible avec une puce - Gris,9 800 FCFA,https://www.jumia.sn/smart-watch-montre-telephone-intelligente-compatible-avec-une-puce-gris-generic-mpg35482.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/63489/1.jpg?0322,False,35 000 FCFA,72%,3.3 out of 5,(24)
