name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Montre à quartz pour femme style bohème,1 660 FCFA,https://www.jumia.sn/fashion-montre-a-quartz-pour-femme-style-boheme-9224757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/74229/1.jpg?5670,True,3 255 FCFA,49%,4.3 out of 5,(6)
W200 M Noir New By Decathlon,8 025 FCFA,https://www.jumia.sn/decathlon-w200-m-noir-new-by-decathlon-6075883.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/85706/1.jpg?2144,False,,,3.6 out of 5,(11)
Fashion Montre-bracelet à quartz en cuir pour femme,2 200 FCFA,https://www.jumia.sn/fashion-montre-bracelet-a-quartz-en-cuir-pour-femme-9223996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/93229/1.jpg?5670,True,5 000 FCFA,56%,3.2 out of 5,(5)
Generic Montre Décontractée pour Femme avec Boucle de,2 860 FCFA,https://www.jumia.sn/generic-montre-decontractee-pour-femme-avec-boucle-de-3463365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/33643/1.jpg?8652,True,4 085 FCFA,30%,3.7 out of 5,(3)
Generic Montre à Cadran Rond - Bracelet En Silicone - Fond Noir,4 900 FCFA,https://www.jumia.sn/montre-a-cadran-rond-bracelet-en-silicone-fond-noir-generic-mpg45534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/62388/1.jpg?3923,True,,,4 out of 5,(7)
Generic Montre Sport Unisexe Bracelet en Silicone Orange,1 100 FCFA,https://www.jumia.sn/generic-montre-sport-unisexe-bracelet-en-silicone-orange-117161.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/1711/1.jpg?8779,False,10 000 FCFA,89%,4.4 out of 5,(9)
Generic Montre Digital Watches électrique- chrono - sport watch t,5 500 FCFA,https://www.jumia.sn/montre-digital-watches-electrique-chrono-sport-watch-t-generic-mpg34289.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/72739/1.jpg?5854,False,20 000 FCFA,73%,3.5 out of 5,(8)
Gogoey Men Women Silver Vintage Steel LED Sports Digital Watch,2 421 FCFA,https://www.jumia.sn/gogoey-men-women-silver-vintage-steel-led-sports-digital-watch-3463487.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/43643/1.jpg?8651,True,3 842 FCFA,37%,5 out of 5,(1)
Generic Montre à Quartz Pour Femme-d'or,2 338 FCFA,https://www.jumia.sn/generic-montre-a-quartz-pour-femme-dor-8934735.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/74398/1.jpg?8271,True,4 584 FCFA,49%,3.3 out of 5,(13)
Generic Montre à Quartz Homme Crâne Décorer - Sport,2 490 FCFA,https://www.jumia.sn/generic-montre-a-quartz-homme-crane-decorer-sport-9751369.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/31579/1.jpg?6732,True,4 882 FCFA,49%,3 out of 5,(1)
Yazole Montres à Quartz pour hommes en Cuir - Marron,3 350 FCFA,https://www.jumia.sn/yazole-montres-a-quartz-pour-hommes-en-cuir-marron-3463354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/33643/1.jpg?8648,True,5 216 FCFA,36%,3.9 out of 5,(16)
Kalenji Montre chronomètre de course a pied ATW100 noire by Decathlon,7 490 FCFA,https://www.jumia.sn/kalenji-montre-chronometre-de-course-a-pied-atw100-noire-by-decathlon-6094588.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/54906/1.jpg?8936,False,,,4 out of 5,(5)
Unbrand Boitier Rectangulaire Montre Bracelet Homme/Femme bleu,1 400 FCFA,https://www.jumia.sn/unbrand-boitier-rectangulaire-montre-bracelet-hommefemme-bleu-9347066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/07439/1.jpg?9391,False,4 500 FCFA,69%,,
White Montre chrono digital pour sport,7 500 FCFA,https://www.jumia.sn/white-montre-chrono-digital-pour-sport-9733651.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/63379/1.jpg?2694,False,9 500 FCFA,21%,5 out of 5,(1)
Generic Montre à Quartz Bracelet Magnétique Rose Gold,3 500 FCFA,https://www.jumia.sn/generic-montre-a-quartz-bracelet-magnetique-rose-gold-8842179.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/12488/1.jpg?8868,False,4 900 FCFA,29%,3.5 out of 5,(2)
Generic Montre Numérique Tactile Led Unisexe Bracelet en Acier Noir,2 975 FCFA,https://www.jumia.sn/generic-montre-numerique-tactile-led-unisexe-bracelet-en-acier-noir-9348288.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/28439/1.jpg?2270,False,7 000 FCFA,58%,,
Yazole 509 Style Homme d'Affaires Quartz Bracelet en cuir,13 930 FCFA,https://www.jumia.sn/yazole-509-style-homme-daffaires-quartz-bracelet-en-cuir-10019834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/891001/1.jpg?5749,False,40 000 FCFA,65%,,
Fashion Women Casual Quartz Wrist Watch Starry Sky,2 870 FCFA,https://www.jumia.sn/fashion-women-casual-quartz-wrist-watch-starry-sky-5794704.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/74975/1.jpg?7068,True,4 100 FCFA,30%,2 out of 5,(1)
White Montre Sports Watches Fashion Men LED Digital,6 000 FCFA,https://www.jumia.sn/white-montre-sports-watches-fashion-men-led-digital-9516988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/96159/1.jpg?7393,False,15 000 FCFA,60%,3 out of 5,(3)
Unbrand Boitier Rectangulaire pour Montre Bracelet Homme/Femme,1 400 FCFA,https://www.jumia.sn/unbrand-boitier-rectangulaire-pour-montre-bracelet-hommefemme-9348706.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/78439/1.jpg?5247,False,4 000 FCFA,65%,,
Unbrand Boitier Rectangulaire pour Montre Bracelet Homme/Femme,1 400 FCFA,https://www.jumia.sn/unbrand-boitier-rectangulaire-pour-montre-bracelet-hommefemme-9348709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/78439/1.jpg?5247,False,4 000 FCFA,65%,,
Fashion Female Sky Star Water Diamond Steel Watch Gold,5 300 FCFA,https://www.jumia.sn/fashion-female-sky-star-water-diamond-steel-watch-gold-9277384.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/37729/1.jpg?5929,True,8 566 FCFA,38%,,
Generic Montre Homme Numérique - noir,1 998 FCFA,https://www.jumia.sn/generic-montre-homme-numerique-noir-8934725.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/74398/1.jpg?7679,True,4 839 FCFA,59%,3.3 out of 5,(12)
White Label Led montres 7 couleur avec monture en cuir - unisex - blanc,11 500 FCFA,https://www.jumia.sn/white-label-led-montres-7-couleur-avec-monture-en-cuir-unisex-blanc-113666.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6311/1.jpg?7831,False,,,2.5 out of 5,(2)
Generic Coffret Cadeau Homme: Montre LED +2 bracelets en Perles,5 500 FCFA,https://www.jumia.sn/generic-coffret-cadeau-homme-montre-led-2-bracelets-en-perles-9828389.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/38289/1.jpg?4528,False,10 000 FCFA,45%,,
Orlando Montre de Luxe Orlando en Acier Inoxydable,7 500 FCFA,https://www.jumia.sn/orlando-montre-de-luxe-orlando-en-acier-inoxydable-8871357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/31788/1.jpg?5438,False,20 000 FCFA,63%,,
Fashion Montre Bracelet De Luxe En Métal Numérique - Noir Unisexe,4 500 FCFA,https://www.jumia.sn/montre-bracelet-de-luxe-en-metal-numerique-noir-unisexe-fashion-mpg31713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/39779/1.jpg?3175,True,7 843 FCFA,43%,4.3 out of 5,(4)
Generic LED Digital Waterproof Quartz Men Women Steel Belt Watch,3 000 FCFA,https://www.jumia.sn/generic-led-digital-waterproof-quartz-men-women-steel-belt-watch-3463464.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/43643/1.jpg?8658,True,4 285 FCFA,30%,1 out of 5,(1)
Geneva Montres de luxe minimalistes ultra mince pour hommes d'affaires,3 630 FCFA,https://www.jumia.sn/geneva-montres-de-luxe-minimalistes-ultra-mince-pour-hommes-daffaires-3463484.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/43643/1.jpg?8647,True,5 100 FCFA,29%,3.2 out of 5,(11)
Smael Montre Chronomètres numériques - PIAOMA Noiro,5 500 FCFA,https://www.jumia.sn/smael-montre-chronometres-numeriques-piaoma-noiro-9333850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/83339/1.jpg?2895,False,10 000 FCFA,45%,1 out of 5,(1)
Fashion Men's And Women's Watches Double Calendar - Gold,6 999 FCFA,https://www.jumia.sn/fashion-mens-and-womens-watches-double-calendar-gold-9277372.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/37729/1.jpg?3154,True,12 699 FCFA,45%,5 out of 5,(1)
Fashion Female Sky Star Water Diamond Steel Watch Rose Gold,5 300 FCFA,https://www.jumia.sn/fashion-female-sky-star-water-diamond-steel-watch-rose-gold-9277383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/37729/1.jpg?5929,True,8 566 FCFA,38%,,
Generic Montre chrono electronique digital pour sport,6 800 FCFA,https://www.jumia.sn/montre-chrono-electronique-digital-pour-sport-generic-mpg34302.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/63379/1.jpg?2695,False,8 500 FCFA,20%,4.3 out of 5,(3)
Generic Montre Quartz Effet Bois Unisexe - Gris Novelle Mode,4 500 FCFA,https://www.jumia.sn/generic-montre-quartz-effet-bois-unisexe-gris-novelle-mode-9346991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/96439/1.jpg?4851,False,8 000 FCFA,44%,,
Fashion Female Studded Rhinestone Wrist Watch-Rose Gold,4 899 FCFA,https://www.jumia.sn/fashion-female-studded-rhinestone-wrist-watch-rose-gold-9277382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/37729/1.jpg?5929,True,6 999 FCFA,30%,,
Fashion Montre-bracelet en cuir simple pour jeune fille,1 800 FCFA,https://www.jumia.sn/fashion-montre-bracelet-en-cuir-simple-pour-jeune-fille-5794705.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/74975/1.jpg?7064,True,3 353 FCFA,46%,5 out of 5,(1)
Smael Montre Chronomètres numériques - PIAOMA TRELLIS,5 800 FCFA,https://www.jumia.sn/smael-montre-chronometres-numeriques-piaoma-trellis-9333849.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/83339/1.jpg?4819,False,10 000 FCFA,42%,,
Fashion Men's Steel Belt Calendar Pointer Watch-Gold,6 599 FCFA,https://www.jumia.sn/fashion-mens-steel-belt-calendar-pointer-watch-gold-9277375.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/37729/1.jpg?4280,True,12 699 FCFA,48%,,
Unbrand Boitier Rectangulaire pour Montre Bracelet Homme/Femme,1 400 FCFA,https://www.jumia.sn/unbrand-boitier-rectangulaire-pour-montre-bracelet-hommefemme-9346630.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/66439/1.jpg?5246,False,4 000 FCFA,65%,4 out of 5,(1)
Generic Montre Homme Oneda12345- Simili Cuir - Noir R1,2 500 FCFA,https://www.jumia.sn/generic-montre-homme-oneda12345-simili-cuir-noir-r1-2293028.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/03922/1.jpg?0893,False,16 000 FCFA,84%,,
