name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Mini Mixeur de Fruits Portable électrique Rechargeable avec USB - 380ml - Mauve,5 500 FCFA,https://www.jumia.sn/mini-mixeur-de-fruits-portable-electrique-rechargeable-avec-usb-380ml-mauve-generic-mpg39694.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/33988/1.jpg?0464,False,9 000 FCFA,39%,3.3 out of 5,(30)
Generic Blender Mixer Portable et Rechargeable Via USB,5 500 FCFA,https://www.jumia.sn/blender-mixer-portable-et-rechargeable-via-usb-generic-mpg32674.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/73043/1.jpg?5993,False,,,3.8 out of 5,(8)
Generic Mixeur 3 en 1 multifonctions 800W,13 500 FCFA,https://www.jumia.sn/mixeur-3-en-1-multifonctions-800w-generic-mpg39757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/15289/1.jpg?1774,False,,,4.1 out of 5,(33)
Generic Mini Blender Mixeur des Fruits Portable électrique Rechargeable avec USB - 380 ml - Vert Vert,5 500 FCFA,https://www.jumia.sn/generic-mini-blender-mixeur-des-fruits-portable-electrique-rechargeable-avec-usb-380-ml-vert-vert-9847430.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/47489/1.jpg?5112,False,12 000 FCFA,54%,3 out of 5,(1)
Binatone Blender Mixeur 1.5 Litres - BLG 403 - 350W - Gris,12 900 FCFA,https://www.jumia.sn/binatone-blender-mixeur-1.5-litres-blg-403-350w-gris-8816354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/36188/1.jpg?1599,True,20 000 FCFA,36%,4.1 out of 5,(12)
YU Mini Blender Mixeur des Fruits Portable électrique Rechargeable avec USB - 380 ml - Vert,5 500 FCFA,https://www.jumia.sn/mini-blender-mixeur-des-fruits-portable-electrique-rechargeable-avec-usb-380-ml-vert-yu-mpg14059.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/40402/1.jpg?6760,False,,,3.5 out of 5,(27)
Generic Mini mélangeur portable de jus de fruits étanche USB,7 400 FCFA,https://www.jumia.sn/generic-mini-melangeur-portable-de-jus-de-fruits-etanche-usb-7304868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/84037/1.jpg?6601,False,7 900 FCFA,6%,3.5 out of 5,(2)
"Generic MIXEUR Mélangeur à grande vitesse 2l , presse-agrumes, presse-agrumes, glace",20 628 FCFA,https://www.jumia.sn/mixeur-melangeur-a-grande-vitesse-2l-presse-agrumes-presse-agrumes-glace-generic-mpg45505.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/60589/1.jpg?4722,False,49 900 FCFA,59%,,
Generic Fouet Mélangeur À Café Manuel Batteur Lait Mousseur - couleur aléatoire,2 900 FCFA,https://www.jumia.sn/fouet-melangeur-a-cafe-manuel-batteur-lait-mousseur-couleur-aleatoire-generic-mpg33539.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/31016/1.jpg?8131,False,4 000 FCFA,28%,3.1 out of 5,(7)
Scarlett Mixeur Batteur Electrique à Main - 180 W - 7 Vitesses - Blanc,4 990 FCFA,https://www.jumia.sn/mixeur-batteur-electrique-a-main-180-w-7-vitesses-blanc-scarlett-mpg27578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/63353/1.jpg?7224,False,12 000 FCFA,58%,3.5 out of 5,(19)
