name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fer à Repasser à Vapeur - 1600 W,15 900 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791448.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/41979/1.jpg?8643,False,25 000 FCFA,36%,,
Elbee Fer à Repasser 1100 WATTS,8 000 FCFA,https://www.jumia.sn/fer-a-repasser-1100-watts-elbee-mpg31473.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/14979/1.jpg?5997,False,25 000 FCFA,68%,2.5 out of 5,(2)
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791446.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/41979/1.jpg?8643,False,,,,
Elbee Fer à Repasser 1100 WATTS,30 000 FCFA,https://www.jumia.sn/elbee-fer-a-repasser-1100-watts-6157294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/27516/1.jpg?8007,False,,,1 out of 5,(1)
Original Spray de Repassage Easy One - Double Amidon 150ml,3 300 FCFA,https://www.jumia.sn/original-spray-de-repassage-easy-one-double-amidon-150ml-474530.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/5474/1.jpg?0317,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/41979/1.jpg?8643,False,,,,
Elbee Fer à Repasser 1100 WATTS,25 000 FCFA,https://www.jumia.sn/elbee-fer-a-repasser-1100-watts-7074117.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/14707/1.jpg?6576,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791445.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/41979/1.jpg?8643,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791453.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/41979/1.jpg?0459,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-7070936.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/90707/1.jpg?9528,False,,,,
Elbee Fer à Repasser 1100 WATTS,25 000 FCFA,https://www.jumia.sn/elbee-fer-a-repasser-1100-watts-7074609.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/64707/1.jpg?6576,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791449.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/41979/1.jpg?8643,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791451.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/41979/1.jpg?8643,False,,,,
Fer à Repasser à Vapeur - 1600 W,25 000 FCFA,https://www.jumia.sn/cac-fer-a-repasser-a-vapeur-1600-w-9791454.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/41979/1.jpg?0459,False,,,,
