name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
MELOLAC Céréales - 50g,225 FCFA,https://www.jumia.sn/melolac-cereales-50g-9733598.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/53379/1.jpg?8003,True,,,1 out of 5,(1)
Blédina Petit Pot Carrotte 130g,880 FCFA,https://www.jumia.sn/bledina-petit-pot-carrotte-130g-9752848.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/82579/1.jpg?4740,True,,,,
Blédina Lait Croissance 400g,2 900 FCFA,https://www.jumia.sn/bledina-lait-croissance-400g-9752844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/82579/1.jpg?4456,True,,,,
Céréales 3 Fruits - 50g,230 FCFA,https://www.jumia.sn/carrefour-cereales-3-fruits-50g-6072261.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/22706/1.jpg?6337,False,,,4 out of 5,(3)
Blédina Petit Pot Pomme Pêche 130g,1 010 FCFA,https://www.jumia.sn/bledina-petit-pot-pomme-peche-130g-9752851.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/82579/1.jpg?4811,True,,,,
Blédina Lait Croissance 350g,2 350 FCFA,https://www.jumia.sn/bledina-lait-croissance-350g-9752843.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/82579/1.jpg?4145,True,,,,
Blédina Petit Pot Pomme Poire 130g,1 010 FCFA,https://www.jumia.sn/bledina-petit-pot-pomme-poire-130g-9752852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/82579/1.jpg?4847,True,,,,
Blédina Lait Croissance 900g,5 560 FCFA,https://www.jumia.sn/bledina-lait-croissance-900g-9752846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/82579/1.jpg?4592,True,,,5 out of 5,(2)
Nan Lait en Poudre Enfant Nan 3 - 400G,3 200 FCFA,https://www.jumia.sn/nan-lait-en-poudre-enfant-nan-3-400g-9782048.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/02879/1.jpg?5785,False,,,3 out of 5,(1)
Blé Délicat Précuit 10mn - 500g,1 190 FCFA,https://www.jumia.sn/carrefour-ble-delicat-precuit-10mn-500g-2286853.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/86822/1.jpg?8657,False,,,4.5 out of 5,(2)
Blédina Lait Croissance 3 (12-36 Mois) - 900g,5 750 FCFA,https://www.jumia.sn/bledina-lait-croissance-3-12-36-mois-900g-6072128.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/12706/1.jpg?6336,False,,,,
Céréales Lactées 3 Fruits - 300g,1 440 FCFA,https://www.jumia.sn/carrefour-cereales-lactees-3-fruits-300g-6072265.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/22706/1.jpg?6337,False,,,,
