name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Hp Mini HP Stream - Ecran 11"" - Dual Core - RAM 4Go - Stockage 64Go - Noir",119 900 FCFA,https://www.jumia.sn/mini-hp-stream-ecran-11-dual-core-4go-ram-64go-emmc-hp-mpg45757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/41879/1.jpg?1784,True,230 000 FCFA,48%,4 out of 5,(1)
"Lenovo Ideapad S145 - 1000Go Stockage - 4Go RAM - 15,6"" - Dual Core - Gris",203 000 FCFA,https://www.jumia.sn/lenovo-ideapad-s145-1000go-stockage-4go-ram-156-dual-core-gris-6029513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/59206/1.jpg?2514,False,270 000 FCFA,25%,4.5 out of 5,(17)
"Lenovo V15 - 1000Go Disque Dur - 4Go - Dual Core - ECRAN 15.6""",184 900 FCFA,https://www.jumia.sn/lenovo-v15-1000go-disque-dur-4go-dual-core-ecran-15.6-9839233.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/29389/1.jpg?4080,True,260 000 FCFA,29%,,
"Lenovo S145 Core I3 - 4GO RAM / 1000GO HDD / Ecran 15""6 / 10TH Génération",290 000 FCFA,https://www.jumia.sn/lenovo-s145-core-i3-4go-ram-1000go-hdd-ecran-156-10th-generation-9796051.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/06979/1.jpg?7793,False,350 000 FCFA,17%,,
"Hp 250 G8 - DUAL CORE - 4Go RAM - 500Go Disque Dur - Ecran 15.6"" + Sac, Souris et Tapis",214 000 FCFA,https://www.jumia.sn/hp-250-g8-dual-core-4go-ram-500go-disque-dur-ecran-15.6-sac-souris-et-tapis-9908843.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/88099/1.jpg?7114,False,260 000 FCFA,18%,,
"Hp 250 G8 - DUAL CORE - 4Go RAM - 500Go Disque Dur - Ecran 15.6"" + Sac Carte sd 64Go et Souris",217 000 FCFA,https://www.jumia.sn/hp-250-g8-dual-core-4go-ram-500go-disque-dur-ecran-15.6-sac-carte-sd-64go-et-souris-9908846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/88099/1.jpg?7114,False,260 000 FCFA,17%,,
"Hp 250 G8 - DUAL CORE - 4Go RAM - 500Go Disque Dur - Ecran 15.6"" + Sac",209 500 FCFA,https://www.jumia.sn/hp-250-g8-dual-core-4go-ram-500go-disque-dur-ecran-15.6-sac-9902535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/52099/1.jpg?8702,False,260 000 FCFA,19%,,
"Hp 250 G8 - DUAL CORE - 4Go RAM - 500Go Disque Dur - Ecran 15.6"" + Sac et Souris",199 900 FCFA,https://www.jumia.sn/hp-250-g8-dual-core-4go-ram-500go-disque-dur-ecran-15.6-sac-et-souris-9908844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/88099/1.jpg?7114,False,260 000 FCFA,23%,,
Hp ORDINATEUR PORTABLE HP 15 DUAL CORE,270 000 FCFA,https://www.jumia.sn/hp-ordinateur-portable-hp-15-dual-core-9926784.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/76299/1.jpg?1062,False,272 000 FCFA,1%,,
"Lenovo Ideapad S145 - 1000Go HDD- 4Go RAM - 15,6"" - Dual Core - Gris + Sac,Souris,Tapis",223 000 FCFA,https://www.jumia.sn/lenovo-ideapad-s145-1000go-hdd-4go-ram-156-dual-core-gris-sacsouristapis-6068869.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/88606/1.jpg?2514,False,270 000 FCFA,17%,4.3 out of 5,(3)
