name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic OR 1:10 Alloy Diecast Metal Bicycle Road Bike Model Cycling Toys For Kids,22 110 FCFA,https://www.jumia.sn/generic-or-110-alloy-diecast-metal-bicycle-road-bike-model-cycling-toys-for-kids-3349501.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/59433/1.jpg?9756,False,43 353 FCFA,49%,,
Generic 15 In 1 Malette Boîte à Outils,5 558 FCFA,https://www.jumia.sn/generic-15-in-1-malette-boite-a-outils-9096457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/46909/1.jpg?7786,True,10 518 FCFA,47%,4.3 out of 5,(4)
Generic 20 W pistolet à colle thermofusible machine à colle,3 200 FCFA,https://www.jumia.sn/20-w-pistolet-a-colle-thermofusible-machine-a-colle-generic-mpg32212.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/67305/1.jpg?0032,False,12 000 FCFA,73%,3 out of 5,(4)
Generic LAMPE DE POCHE - LAMPE TORCHE police,2 650 FCFA,https://www.jumia.sn/lampe-de-poche-lampe-torche-police-generic-mpg33927.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/99779/1.jpg?9804,False,5 000 FCFA,47%,3.4 out of 5,(7)
Fx Tools 12 bâtonnets de Recharge pour pistolet à colle,1 790 FCFA,https://www.jumia.sn/12-batonnets-de-recharge-pour-pistolet-a-colle-fx-tools-mpg19412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/43706/1.jpg?6043,False,3 000 FCFA,40%,4 out of 5,(37)
Facom Jeu 8 tournevis AD.J5TVEPB,8 400 FCFA,https://www.jumia.sn/jeu-8-tournevis-ad.j5tvepb-facom-mpg31511.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/65779/1.jpg?7260,False,20 000 FCFA,58%,2 out of 5,(1)
0cean soudeuse electrique pour sachets en plastique 200 mm,10 900 FCFA,https://www.jumia.sn/soudeuse-electrique-pour-sachets-en-plastique-200-mm-bleu-generic-mpg2619.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0221/1.jpg?3999,False,,,,
Generic OR 1:10 Alloy Diecast Metal Bicycle Folding Bike Model Cycling Toys For Kids,22 385 FCFA,https://www.jumia.sn/generic-or-110-alloy-diecast-metal-bicycle-folding-bike-model-cycling-toys-for-kids-3349475.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/49433/1.jpg?9755,False,43 892 FCFA,49%,5 out of 5,(1)
Somafix AGRAFEUSE PISTOLET LOURD 4-14mm SOMAFIX REF SFX534,8 400 FCFA,https://www.jumia.sn/agrafeuse-pistolet-lourd-4-14mm-somafix-ref-sfx534-somafix-mpg30774.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/42189/1.jpg?5583,False,20 000 FCFA,58%,5 out of 5,(2)
TOTAL Couteau suisse Multifonctions Total,8 000 FCFA,https://www.jumia.sn/couteau-suisse-multifonctions-total-total-mpg31351.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/08289/1.jpg?6116,False,20 000 FCFA,60%,3.8 out of 5,(5)
NRJSOLAIRE Kit 5k pour maison entièrement solaire,6 979 000 FCFA,https://www.jumia.sn/kit-5k-pour-maison-entierement-solaire-nrjsolaire-mpg3554.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/75964/1.jpg?3823,False,,,,
DINGQI Cutter 5pc Pliant - Jaune,1 600 FCFA,https://www.jumia.sn/cutter-5pc-pliant-jaune-dingqi-mpg45186.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/817/1.jpg?3723,False,2 500 FCFA,36%,4.3 out of 5,(6)
DINGQI Cutter Tapissier 5pc - Jaune,1 600 FCFA,https://www.jumia.sn/cutter-tapissier-5pc-jaune-dingqi-mpg45187.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/817/1.jpg?3964,False,2 500 FCFA,36%,5 out of 5,(1)
