name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic ORGANISATEUR RANGEMENT MAQUILLAGE - 2 PLATEAUX ET 4 TIROIRS - ORGANISEUR DE COSMÉTIQUES,4 900 FCFA,https://www.jumia.sn/generic-organisateur-rangement-maquillage-2-plateaux-et-4-tiroirs-organiseur-de-cosmetiques-9993135.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/13999/1.jpg?2866,False,15 000 FCFA,67%,4.3 out of 5,(3)
Rose Ensemble 13 bagues dorée,1 624 FCFA,https://www.jumia.sn/ensemble-13-bagues-doree-rose-mpg29796.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/36206/1.jpg?3334,False,2 900 FCFA,44%,3.5 out of 5,(17)
Generic Lot de 5 pinceaux de maquillage -(couleurs aléatoire),1 000 FCFA,https://www.jumia.sn/generic-lot-de-5-pinceaux-de-maquillage-couleurs-aleatoire-9848914.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/98489/1.jpg?6511,False,5 000 FCFA,80%,3 out of 5,(1)
Generic Double Miroir Pliant Grossissant Avec lumière LED,3 500 FCFA,https://www.jumia.sn/generic-double-miroir-pliant-grossissant-avec-lumiere-led-9981686.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/61899/1.jpg?9390,False,12 000 FCFA,71%,5 out of 5,(1)
Generic 15 pièces Set de pinceaux à maquillage Brush - Multicolore,4 000 FCFA,https://www.jumia.sn/generic-15-pieces-set-de-pinceaux-a-maquillage-brush-multicolore-9839990.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/99389/1.jpg?1210,False,6 000 FCFA,33%,3.5 out of 5,(2)
Generic 200 Batonnets,880 FCFA,https://www.jumia.sn/generic-200-batonnets-9790292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/20979/1.jpg?9882,True,,,5 out of 5,(2)
Topface Brosse Tondue pour mélanger F09,1 496 FCFA,https://www.jumia.sn/topface-brosse-tondue-pour-melanger-f09-9981751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/71899/1.jpg?8531,True,2 200 FCFA,32%,,
"Generic Organiseur Enlèvement de Maquillage, 3 Tiroir, pour Coiffeuse, Miroir",3 500 FCFA,https://www.jumia.sn/generic-organiseur-enlevement-de-maquillage-3-tiroir-pour-coiffeuse-miroir-9849066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/09489/1.jpg?8230,False,18 500 FCFA,81%,,
Generic Éponge de Brosse à Cheveux Outil Magique Coiffeur pour Dreads Locs,1 800 FCFA,https://www.jumia.sn/eponge-de-brosse-a-cheveux-outil-magique-coiffeur-pour-dreads-locs-generic-mpg36318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/00739/1.jpg?4794,False,6 000 FCFA,70%,3.5 out of 5,(11)
"Generic Organisateur de maquillage Boîte de rangement cosmétique rotative à 360 degrés, réglable",8 500 FCFA,https://www.jumia.sn/generic-organisateur-de-maquillage-boite-de-rangement-cosmetique-rotative-a-360-degres-reglable-9851262.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/21589/1.jpg?8749,False,12 000 FCFA,29%,3 out of 5,(1)
