name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Serpillière Multicolore,430 FCFA,https://www.jumia.sn/generic-serpilliere-multicolore-9774404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/44779/1.jpg?2804,True,,,4 out of 5,(7)
Europa Balai Moquette + Manche,1 200 FCFA,https://www.jumia.sn/europa-balai-moquette-manche-9790349.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/30979/1.jpg?0082,True,,,4 out of 5,(1)
Generic Balai Raclette Sol GMx 55 Cm + Manche,1 450 FCFA,https://www.jumia.sn/generic-balai-raclette-sol-gmx-55-cm-manche-9790351.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/30979/1.jpg?6657,True,,,2.5 out of 5,(2)
Generic Balai Tête De Loup Boule + Manche Telescopique,1 450 FCFA,https://www.jumia.sn/generic-balai-tete-de-loup-boule-manche-telescopique-9790355.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/30979/1.jpg?1365,True,,,4.7 out of 5,(3)
Generic Balai Raclette Vitre + Manche,760 FCFA,https://www.jumia.sn/generic-balai-raclette-vitre-manche-9790353.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/30979/1.jpg?6751,True,,,4 out of 5,(4)
Generic Serpillière Blanche,430 FCFA,https://www.jumia.sn/generic-serpilliere-blanche-9774403.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/44779/1.jpg?2786,True,,,3.8 out of 5,(8)
Gondola Balai Avec Manche,1 070 FCFA,https://www.jumia.sn/gondola-balai-avec-manche-9790350.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/30979/1.jpg?2034,True,,,3 out of 5,(1)
Stella Eponge Vaisselle,360 FCFA,https://www.jumia.sn/stella-eponge-vaisselle-9753820.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/83579/1.jpg?1588,True,,,4 out of 5,(1)
Generic SEAU avec robinet 50l,6 800 FCFA,https://www.jumia.sn/generic-seau-avec-robinet-50l-5011369.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/31105/1.jpg?2639,False,10 000 FCFA,32%,5 out of 5,(1)
Arix Eponge Carre Vert Abrasif x 5,530 FCFA,https://www.jumia.sn/arix-eponge-carre-vert-abrasif-x-5-9790340.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/30979/1.jpg?0761,True,,,5 out of 5,(1)
Stella Mop Set (Seau+Mop+Manche) Tpf Assortie 12L,2 720 FCFA,https://www.jumia.sn/stella-mop-set-seaumopmanche-tpf-assortie-12l-9753834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/83579/1.jpg?0976,True,,,5 out of 5,(2)
Generic Pelle / Balayette PVC avec Bord - Petit Modèle,2 500 FCFA,https://www.jumia.sn/pelle-balayette-pvc-avec-bord-petit-modele-generic-mpg20281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/68043/1.jpg?1369,False,,,,
Generic Balai Magique et Seau essoreuse 360°,8 390 FCFA,https://www.jumia.sn/balai-magique-et-seau-essoreur-360-generic-mpg1337.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/36089/1.jpg?0121,False,9 700 FCFA,14%,3.7 out of 5,(3)
White Label Panier à Linge - 63 Litres - CA820414,4 500 FCFA,https://www.jumia.sn/white-label-panier-a-linge-63-litres-ca820414-33613.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/633/1.jpg?5463,False,18 000 FCFA,75%,4.3 out of 5,(4)
York Balai+Manche En Bois Laura,2 360 FCFA,https://www.jumia.sn/york-balaimanche-en-bois-laura-9753839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/83579/1.jpg?2004,True,,,,
Columbia Balai + Manche,1 070 FCFA,https://www.jumia.sn/columbia-balai-manche-9790348.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/30979/1.jpg?0105,True,,,,
