name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
MINT ESSENTIEL Frotter MINT ESSENTIAL Pour Muscles et Articulations 75ml,840 FCFA,https://www.jumia.sn/mint-essentiel-frotter-mint-essential-pour-muscles-et-articulations-75ml-6043424.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/43406/1.jpg?0370,True,850 FCFA,1%,4.1 out of 5,(25)
MINT ESSENTIEL Baume Calmant MINT ESSENTIEL 50ml,504 FCFA,https://www.jumia.sn/mint-essentiel-baume-calmant-mint-essentiel-50ml-6043041.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/03406/1.jpg?2083,True,625 FCFA,19%,4.2 out of 5,(16)
Generic Pistolet De Massage Rechargeable - 6 Vitesses - Noir,14 140 FCFA,https://www.jumia.sn/generic-pistolet-de-massage-rechargeable-6-vitesses-noir-9784662.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/64879/1.jpg?3249,True,27 725 FCFA,49%,5 out of 5,(4)
Generic Masseur de Tête En Forme De Poulpe Pour Caresse,1 365 FCFA,https://www.jumia.sn/generic-masseur-de-tete-en-forme-de-poulpe-pour-caresse-8886241.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/26888/1.jpg?8652,False,1 950 FCFA,30%,3.8 out of 5,(8)
Generic Masseur de Tête En Forme De Poulpe Pour Caresse,1 365 FCFA,https://www.jumia.sn/generic-masseur-de-tete-en-forme-de-poulpe-pour-caresse-8886222.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/26888/1.jpg?7001,False,1 950 FCFA,30%,,
Aichun Beauty Eight Pack - Crème brûle graisse pour Abdominaux - Ventre Plat - 170gr,1 500 FCFA,https://www.jumia.sn/eight-pack-creme-brule-graisse-pour-abdominaux-ventre-plat-170gr-aichun-beauty-mpg44754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/89979/1.jpg?4929,False,3 000 FCFA,50%,3 out of 5,(2)
Generic Huile de Massage érotique,2 700 FCFA,https://www.jumia.sn/generic-huile-de-massage-erotique-9977923.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/97799/1.jpg?3771,False,,,,
Generic Ceinture Minceur Graisse - Gaine Brûlante + Crème Brûle-Graisse,4 000 FCFA,https://www.jumia.sn/ceinture-minceur-graisse-gaine-brulante-creme-brule-graisse-generic-mpg32876.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/43679/1.jpg?0049,False,10 000 FCFA,60%,3.7 out of 5,(3)
Generic Pistolet De Massage Rechargeable - 6 Vitesses - Argent,14 700 FCFA,https://www.jumia.sn/generic-pistolet-de-massage-rechargeable-6-vitesses-argent-9784663.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/64879/1.jpg?3246,True,30 431 FCFA,52%,2 out of 5,(1)
Generic Oreiller de Posture Cou Gonflant avec un Cache Visage,2 390 FCFA,https://www.jumia.sn/oreiller-de-posture-cou-gonflant-avec-un-cache-visage-generic-mpg34691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/87795/1.jpg?7511,False,8 500 FCFA,72%,4.1 out of 5,(7)
Generic Masseur de Tête En Forme De Poulpe Pour Caresse,1 365 FCFA,https://www.jumia.sn/generic-masseur-de-tete-en-forme-de-poulpe-pour-caresse-8886560.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/56888/1.jpg?2733,False,1 950 FCFA,30%,3 out of 5,(2)
"Generic Masseur de cou à pétrissage profond avec chaleur - Masseur de dos et d'épaules Shiatsu pour le bureau à domicile, électrique filaire (beige)",16 000 FCFA,https://www.jumia.sn/generic-masseur-de-cou-a-petrissage-profond-avec-chaleur-masseur-de-dos-et-depaules-shiatsu-pour-le-bureau-a-domicile-electrique-filaire-beige-9735393.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/35379/1.jpg?0460,False,20 000 FCFA,20%,,
Generic Huile de Massage érotique,2 450 FCFA,https://www.jumia.sn/huile-de-massage-erotique-generic-mpg33785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/88389/1.jpg?5876,False,15 000 FCFA,84%,3 out of 5,(3)
MINT ESSENTIEL Crème Apaisante MINT ESSENTIAL 50ml,504 FCFA,https://www.jumia.sn/creme-apaisante-mint-essential-50ml-mint-essentiel-mpg43498.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/13406/1.jpg?4437,True,625 FCFA,19%,3.9 out of 5,(11)
Generic Outil éponge Dreads Hair Barber Dreads Afro Locs Twist,1 800 FCFA,https://www.jumia.sn/outil-eponge-dreads-hair-barber-dreads-afro-locs-twist-generic-mpg34710.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/14406/1.jpg?1349,False,6 000 FCFA,70%,3.8 out of 5,(65)
Generic Appareil de massage cou U-Neck lite,8 100 FCFA,https://www.jumia.sn/generic-appareil-de-massage-cou-u-neck-lite-9334772.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/74339/1.jpg?7256,False,9 500 FCFA,15%,4 out of 5,(2)
