name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Lot de 50 Sacs JUMIA Avec Anse Petit Format – 25 x 35cm,3 000 FCFA,https://www.jumia.sn/jumia-lot-de-50-sacs-jumia-avec-anse-petit-format-25-x-35cm-9753219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/23579/1.jpg?3024,True,5 000 FCFA,40%,4.1 out of 5,(21)
Lot de 50 Sacs JUMIA Avec Anse Moyen Format – 40 x 45cm,6 200 FCFA,https://www.jumia.sn/jumia-lot-de-50-sacs-jumia-avec-anse-moyen-format-40-x-45cm-9753218.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/23579/1.jpg?3362,True,8 000 FCFA,23%,4.5 out of 5,(15)
Generic Lots of 3 Sac à Dos pour Ordinateur,5 688 FCFA,https://www.jumia.sn/generic-lots-of-3-sac-a-dos-pour-ordinateur-8934746.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/74398/1.jpg?7079,True,11 153 FCFA,49%,,
Lot de 50 Sacs JUMIA Avec Anse Grand Format – 50 x 60cm,10 904 FCFA,https://www.jumia.sn/jumia-lot-de-50-sacs-jumia-avec-anse-grand-format-50-x-60cm-9753217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/23579/1.jpg?2751,True,,,4.2 out of 5,(5)
Generic Lot de 100 Sachets en plastique Blanc scellés auto étanchéité fermeture adhésive Petit format - 30x17cm,10 000 FCFA,https://www.jumia.sn/generic-lot-de-100-sachets-en-plastique-blanc-scelles-auto-etancheite-fermeture-adhesive-petit-format-30x17cm-10021915.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/912001/1.jpg?4004,False,12 000 FCFA,17%,,
Generic Colle adhésif nano double face 1rouleaux de 2 mètre 30mmx2mx2mm,1 700 FCFA,https://www.jumia.sn/colle-adhesif-nano-double-face-1rouleaux-de-2-metre-30mmx2mx2mm-generic-mpg46480.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/03299/1.jpg?1194,False,,,3.7 out of 5,(25)
Generic Colle adhésif nano double face 1rouleaux de 2 mètre 30mmx2mx2mm,2 000 FCFA,https://www.jumia.sn/generic-colle-adhesif-nano-double-face-1rouleaux-de-2-metre-30mmx2mx2mm-9962959.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/92699/1.jpg?9082,False,5 000 FCFA,60%,,
"Generic Colle Double Face Réutilisable Ruban Adhésif Fort Robuste, Sans Trace Amovible Colle Transparente Fixation, Lavable Forte Gel Antidérapant pour Photos Mur Cuisine 2 M",2 200 FCFA,https://www.jumia.sn/generic-colle-double-face-reutilisable-ruban-adhesif-fort-robuste-sans-trace-amovible-colle-transparente-fixation-lavable-forte-gel-antiderapant-pour-photos-mur-cuisine-2-m-9851659.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/61589/1.jpg?4340,False,5 000 FCFA,56%,5 out of 5,(2)
Jing Cai Lot 20 port badge plus corde B2,4 900 FCFA - 7 000 FCFA,https://www.jumia.sn/jing-cai-lot-20-port-badge-plus-corde-b2-9799655.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/69979/1.jpg?5497,False,12 000 FCFA - 15 000 FCFA,67%,,
Bâtons De Colle 20g Blanche X2,800 FCFA,https://www.jumia.sn/carrefour-batons-de-colle-20g-blanche-x2-6073347.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/33706/1.jpg?7240,False,,,,
Generic Colle adhésif nano double face de 1 mètre,2 250 FCFA,https://www.jumia.sn/colle-adhesif-nano-double-face-5-rouleaux-de-1-metre-generic-mpg39385.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/03299/1.jpg?1193,False,5 000 FCFA,55%,3.2 out of 5,(15)
