name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Renova Essuie-Tout Design - 4 Rouleaux,1 590 FCFA,https://www.jumia.sn/renova-essuie-tout-design-4-rouleaux-9790310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/30979/1.jpg?9340,True,,,5 out of 5,(2)
Lys Boite 120 Mouchoirs - Lys,475 FCFA,https://www.jumia.sn/lys-boite-120-mouchoirs-lys-9812267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/22189/1.jpg?7015,True,,,5 out of 5,(4)
Lotus 100 Mouchoirs Blancs - Lotus,710 FCFA,https://www.jumia.sn/lotus-100-mouchoirs-blancs-lotus-9812249.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/22189/1.jpg?2048,True,,,5 out of 5,(2)
Generic Film Alimentaire - 20m - 100 pièces,1 850 FCFA,https://www.jumia.sn/film-alimentaire-20m-100-pieces-generic-mpg33505.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/66289/1.jpg?9841,False,,,3.7 out of 5,(3)
Lotus Papier Toilette Confort 4 Rouleaux - Lotus,1 580 FCFA,https://www.jumia.sn/lotus-papier-toilette-confort-4-rouleaux-lotus-9812262.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/22189/1.jpg?2394,True,,,4 out of 5,(1)
"Generic Rouleau De Papier Aluminium - 8m X 0,30m",1 175 FCFA,https://www.jumia.sn/generic-rouleau-de-papier-aluminium-8m-x-030m-9123695.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/63219/1.jpg?8799,True,,,4 out of 5,(8)
Style Essuie Tout classic x 3 rlx,750 FCFA,https://www.jumia.sn/style-essuie-tout-classic-x-3-rlx-10023344.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/332001/1.jpg?1050,True,825 FCFA,9%,,
Renova Essuie-Tout Maxi Absorption - 1 Rouleaux XXL Extra,1 060 FCFA,https://www.jumia.sn/renova-essuie-tout-maxi-absorption-1-rouleaux-xxl-extra-9790314.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/30979/1.jpg?9312,True,,,4 out of 5,(1)
Renova Essuie-Tout Design - 3 Rouleaux XXL,1 720 FCFA,https://www.jumia.sn/renova-essuie-tout-design-3-rouleaux-xxl-9790309.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/30979/1.jpg?9362,True,,,,
Lot De 20 Sacs Poubelle à Poignées - 20Là,1 875 FCFA,https://www.jumia.sn/carrefour-lot-de-20-sacs-poubelle-a-poignees-20la-2391478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/41932/1.jpg?4528,False,,,3 out of 5,(4)
Renova 9 Rouleaux De Papier Hygiénique - Double Plis - Blanc,1 575 FCFA,https://www.jumia.sn/renova-9-rouleaux-de-papier-hygienique-double-plis-blanc-6072153.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/12706/1.jpg?6380,False,,,3.6 out of 5,(5)
Renova Serviette De Table Blanc x 70,610 FCFA,https://www.jumia.sn/renova-serviette-de-table-blanc-x-70-9790389.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/30979/1.jpg?9204,True,,,4 out of 5,(1)
