name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
SAPHIR Parfum Saphir Apple - 200ml,8 000 FCFA,https://www.jumia.sn/saphir-parfum-saphir-apple-200ml-9832594.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/52389/1.jpg?6467,False,,,,
Mont Saint Michel Ambrée Authentique,7 900 FCFA,https://www.jumia.sn/ambree-authentique-mont-saint-michel-mpg45770.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/48989/1.jpg?2359,False,10 900 FCFA,28%,4.6 out of 5,(5)
Mont Saint Michel Ambrée Authentique,8 900 FCFA,https://www.jumia.sn/mont-saint-michel-ambree-authentique-9998864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/88999/1.jpg?2868,False,12 900 FCFA,31%,,
SAPHIR Parfum Saphir Elégance - 200 ml,7 900 FCFA,https://www.jumia.sn/parfum-saphir-elegance-200-ml-saphir-mpg45837.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/48989/1.jpg?2360,False,,,5 out of 5,(1)
Collection Parfum Oud Highness,15 000 FCFA,https://www.jumia.sn/collection-parfum-oud-highness-9364713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/74639/1.jpg?9820,False,,,4 out of 5,(1)
SAPHIR Parfum Oui De Saphir,8 000 FCFA,https://www.jumia.sn/saphir-parfum-oui-de-saphir-9415072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/05149/1.jpg?7726,False,,,,
SAPHIR Parfum Saphir Vive la femme,7 900 FCFA,https://www.jumia.sn/parfum-saphir-vive-la-femme-saphir-mpg45843.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/48989/1.jpg?2359,False,,,1 out of 5,(1)
Gotas EAU DE COLOGNE GOTAS FRESCAS 750ml,5 900 FCFA,https://www.jumia.sn/eau-de-cologne-gotas-frescas-750ml-gotas-mpg45192.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/48989/1.jpg?2359,False,6 900 FCFA,14%,,
Nova Parfum Nova Pour Homme -N° 111 - 50ml,3 900 FCFA,https://www.jumia.sn/parfum-nova-pour-homme-n-111-50ml-nova-mpg29745.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/14895/1.jpg?0188,False,,,4.3 out of 5,(4)
SAPHIR Parfum Saphir Flowers,7 900 FCFA,https://www.jumia.sn/parfum-saphir-flowers-saphir-mpg45838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/48989/1.jpg?2360,False,,,,
Generic Oud Parfum - Elite GOLD ORCHID - 100ml,3 150 FCFA,https://www.jumia.sn/oud-parfum-elite-gold-orchid-100ml-generic-mpg41722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/01389/1.jpg?9294,False,15 000 FCFA,79%,,
Prive PARFUM AMBER NIGHT,15 000 FCFA,https://www.jumia.sn/prive-parfum-amber-night-7276367.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/36727/1.jpg?4314,False,,,5 out of 5,(1)
Mah Parfum Cuir Rouge édition Prestige,22 900 FCFA,https://www.jumia.sn/parfum-cuir-rouge-edition-prestige-mah-mpg36884.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/58989/1.jpg?2360,False,,,,
Generic Parfum fakhaar Al oud - 100 ml,18 900 FCFA,https://www.jumia.sn/parfum-fakhaar-al-oud-100-ml-generic-mpg45563.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/60589/1.jpg?2611,False,,,,
Generic Parfum Maïssa Jawhara,35 000 FCFA,https://www.jumia.sn/generic-parfum-maissa-jawhara-9757439.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/47579/1.jpg?4662,False,,,,
Generic Coffret Trousse Toilette pour homme - AXE,10 000 FCFA,https://www.jumia.sn/generic-coffret-trousse-toilette-pour-homme-axe-9839334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/39389/1.jpg?7524,False,,,,
SAPHIR Parfum Saphir Perfect Man,7 900 FCFA,https://www.jumia.sn/parfum-saphir-perfect-man-saphir-mpg45840.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/48989/1.jpg?2359,False,,,,
Lattafa Eau de Parfum Musk Al Aroos,14 900 FCFA,https://www.jumia.sn/eau-de-parfum-musk-al-aroos-lattafa-mpg45753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/58989/1.jpg?2360,False,,,,
Generic Collection Grey Mountain,15 000 FCFA,https://www.jumia.sn/generic-collection-grey-mountain-9731066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/01379/1.jpg?1412,False,,,,
Generic Eau de Parfum Midnight oud - 100 ml,15 000 FCFA,https://www.jumia.sn/generic-eau-de-parfum-midnight-oud-100-ml-9797457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/47979/1.jpg?1668,False,,,,
Generic Eau de parfum oud Turab Al Dhahab,15 000 FCFA,https://www.jumia.sn/generic-eau-de-parfum-oud-turab-al-dhahab-9782025.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/02879/1.jpg?9552,False,,,,
Generic Parfum Ameer Al Oud White,10 000 FCFA,https://www.jumia.sn/generic-parfum-ameer-al-oud-white-9782310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/32879/1.jpg?6989,False,,,,
Naseem Gamme Bushra lotion parfum concentré déodorant,10 000 FCFA,https://www.jumia.sn/naseem-gamme-bushra-lotion-parfum-concentre-deodorant-9752818.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/82579/1.jpg?2911,False,,,,
Collection Parfum aoud desert - 80 ml,15 000 FCFA,https://www.jumia.sn/parfum-aoud-desert-80-ml-collection-mpg45181.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/86727/1.jpg?4766,False,,,,
Naseem Gamme Sadaat lotion parfum concentré déodorant,10 000 FCFA,https://www.jumia.sn/naseem-gamme-sadaat-lotion-parfum-concentre-deodorant-9752871.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/82579/1.jpg?4460,False,,,,
LR Health & Beauty Shine by Day LR Eau de Parfum de femme,35 000 FCFA,https://www.jumia.sn/lr-health-beauty-shine-by-day-lr-eau-de-parfum-de-femme-10023255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/232001/1.jpg?3724,False,,,,
Lattafa Parfum Qimmah Women Lattafa,14 900 FCFA,https://www.jumia.sn/parfum-qimmah-women-lattafa-lattafa-mpg45836.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/58989/1.jpg?2360,False,,,,
Naseem Coffret Bushra parfum lotion et parfum concentré,7 900 FCFA,https://www.jumia.sn/coffret-bushra-parfum-lotion-et-parfum-concentre-naseem-mpg37000.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/65679/1.jpg?4456,False,10 000 FCFA,21%,,
Generic Parfum Maïssa 66Avenue,35 000 FCFA,https://www.jumia.sn/generic-parfum-maissa-66avenue-9760348.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/30679/1.jpg?9433,False,,,,
Lr - Eau de parfum femme-Harem,25 000 FCFA,https://www.jumia.sn/lr-eau-de-parfum-femme-harem-10007906.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/970001/1.jpg?8754,False,,,,
Collection COFFRET PARFUM WOOD BY MAÏSSA,50 000 FCFA,https://www.jumia.sn/collection-coffret-parfum-wood-by-maissa-8874579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/54788/1.jpg?2941,False,,,,
Lr Sencial grace,25 000 FCFA,https://www.jumia.sn/lr-sencial-grace-10019569.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/591001/1.jpg?1740,False,,,,
Mah Parfum Bois Intense M.A.H,25 000 FCFA,https://www.jumia.sn/mah-parfum-bois-intense-m.a.h-9415809.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/85149/1.jpg?2847,False,,,,
Generic Eau de Parfum - Madame - 100 ML,4 000 FCFA,https://www.jumia.sn/eau-de-parfum-madame-100-ml-generic-mpg33239.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/90619/1.jpg?3670,False,,,,
SAPHIR Parfum Saphir Noches De Paris,7 700 FCFA,https://www.jumia.sn/parfum-saphir-noches-de-paris-saphir-mpg45839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/58989/1.jpg?2360,False,,,5 out of 5,(1)
SAPHIR Parfum Furor De Saphir,7 700 FCFA,https://www.jumia.sn/parfum-furor-de-saphir-saphir-mpg45834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/58989/1.jpg?2360,False,,,,
SAPHIR OUI de Saphir,8 000 FCFA,https://www.jumia.sn/oui-de-saphir-saphir-mpg45805.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/92406/1.jpg?9795,False,,,5 out of 5,(1)
Naseem Coffret Burhan Parfum Lotion et Parfum Concentré,7 900 FCFA,https://www.jumia.sn/coffret-burhan-parfum-lotion-et-parfum-concentre-naseem-mpg36999.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/23089/1.jpg?4758,False,10 000 FCFA,21%,,
Lattafa Eau de parfum oud Qaa'ed,20 000 FCFA,https://www.jumia.sn/lattafa-eau-de-parfum-oud-qaaed-9798937.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/98979/1.jpg?8176,False,,,,
Lr Parfum de classe Femme Noblesse LR,25 000 FCFA,https://www.jumia.sn/lr-parfum-de-classe-femme-noblesse-lr-10021528.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/512001/1.jpg?0896,False,,,,
