name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
BODY SECRET Brume Parfumée BODY SECRET PASSION LOVE 70ml - Vanille et Coco,504 FCFA,https://www.jumia.sn/body-secret-brume-parfumee-body-secret-passion-love-70ml-vanille-et-coco-6043431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/43406/1.jpg?1099,True,780 FCFA,35%,4 out of 5,(41)
Flowers Eau de Toilette BLACK FLOWERS Pour Homme 100ml,1 540 FCFA,https://www.jumia.sn/eau-de-toilette-black-flowers-pour-homme-100ml-flowers-mpg30200.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/43406/1.jpg?1104,True,1 600 FCFA,4%,4.1 out of 5,(32)
La Collection Privée Eau de Parfum Pour Homme POWER By UNIPARCO - 30 ML,1 456 FCFA,https://www.jumia.sn/la-collection-privee-eau-de-parfum-pour-homme-power-by-uniparco-30-ml-6044313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/34406/1.jpg?9854,True,2 000 FCFA,27%,4.3 out of 5,(19)
Generic Eau De Parfum - Exotic Vanilla 100 ml - Dorall Collection,1 500 FCFA,https://www.jumia.sn/generic-eau-de-parfum-exotic-vanilla-100-ml-dorall-collection-489089.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/0984/1.jpg?0161,False,,,4.2 out of 5,(18)
Nova Parfum Pour Homme NOVA 95,3 600 FCFA,https://www.jumia.sn/nova-parfum-pour-homme-nova-95-5984144.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/14895/1.jpg?9989,False,,,4.5 out of 5,(6)
Nova Parfum Pour Homme NOVA 95,3 273 FCFA,https://www.jumia.sn/nova-parfum-pour-homme-nova-95-10002999.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/920001/1.jpg?4557,False,3 850 FCFA,15%,,
La Collection Privée Eau de Parfum Pour Homme TERRE DE LA LUMIERE By UNIPARCO - 30 ML,1 456 FCFA,https://www.jumia.sn/la-collection-privee-eau-de-parfum-pour-homme-terre-de-la-lumiere-by-uniparco-30-ml-6044315.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/34406/1.jpg?9856,True,2 000 FCFA,27%,4.2 out of 5,(12)
BODY SECRET Brume Parfumée BODY SECRET SEDUCE LOVE 225ml - Prune rouge et Freesia,1 232 FCFA,https://www.jumia.sn/brume-parfumee-body-secret-seduce-love-225ml-prune-rouge-et-freesia-body-secret-mpg42979.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/43406/1.jpg?7558,True,1 300 FCFA,5%,3.9 out of 5,(15)
Tesori d'Oriente Tesori d'orient Parfum fior di loto 100 ML,3 875 FCFA,https://www.jumia.sn/tesori-dorient-parfum-fior-di-loto-100-ml-tesori-doriente-mpg38167.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/91299/1.jpg?7293,False,,,4.2 out of 5,(11)
Dorall Collection Islanders - Eau de Toilette Homme - 100 ml,1 254 FCFA,https://www.jumia.sn/islanders-eau-de-toilette-homme-100-ml-dorall-collection-mpg31433.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/07606/1.jpg?8683,False,1 475 FCFA,15%,4 out of 5,(10)
Aichun Beauty Best Huile Essentielle pour Augmenter les fesses et hanche - 30 ml,1 590 FCFA,https://www.jumia.sn/best-huile-essentielle-pour-augmenter-les-fesses-et-hanche-30-ml-aichun-beauty-mpg30804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/81788/1.jpg?6588,False,10 000 FCFA,84%,4 out of 5,(10)
Generic Parfum Monogotas Vanille - 100 ml,1 200 FCFA,https://www.jumia.sn/parfum-monogotas-vanille-100-ml-generic-mpg16946.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/33042/1.jpg?5755,False,,,3.9 out of 5,(23)
Axe Déodorant Axe Anarchy - 150 ml,1 700 FCFA,https://www.jumia.sn/deodorant-axe-anarchy-150-ml-axe-mpg11387.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/98121/1.jpg?9890,False,,,3.3 out of 5,(3)
Lomani Eau de Parfum - Lomani Code pour homme - 100 ml,5 865 FCFA,https://www.jumia.sn/eau-de-parfum-lomani-code-pour-homme-100-ml-lomani-mpg11395.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/37138/1.jpg?4548,False,6 900 FCFA,15%,4.1 out of 5,(32)
A Wish Lonkoom Eau de parfum A wish LONKOOM,4 190 FCFA,https://www.jumia.sn/a-wish-lonkoom-eau-de-parfum-a-wish-lonkoom-8839389.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/39388/1.jpg?4409,False,10 000 FCFA,58%,3 out of 5,(1)
Malizia Eau de Toilette Bonbons Oxygéne Bulle - 50 ml - Rose,1 340 FCFA,https://www.jumia.sn/eau-de-toilette-bonbons-oxygene-bulle-50-ml-rose-malizia-mpg3312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/046/1.jpg?2544,False,2 900 FCFA,54%,4.3 out of 5,(20)
Generic Eau de Parfum Dear Body rose - 200 ml,1 875 FCFA,https://www.jumia.sn/eau-de-parfum-dear-body-rose-200-ml-generic-mpg20137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/21895/1.jpg?3158,False,,,4 out of 5,(1)
Oud parfum ORCHID 80 ml black,3 000 FCFA,https://www.jumia.sn/parfum-orchid-80-ml-black-oud-mpg37294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/72189/1.jpg?3922,False,8 000 FCFA,63%,5 out of 5,(1)
La Collection Privée Eau de Parfum Pour Femme GOLDEN LADY By UNIPARCO - 30 ML,1 456 FCFA,https://www.jumia.sn/la-collection-privee-eau-de-parfum-pour-femme-golden-lady-by-uniparco-30-ml-6044312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/34406/1.jpg?9854,True,2 000 FCFA,27%,4.2 out of 5,(6)
VIOLA Désodorisant Violaura Oud Agaci 120ml,5 900 FCFA,https://www.jumia.sn/viola-desodorisant-violaura-oud-agaci-120ml-9126924.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/96219/1.jpg?8260,False,7 500 FCFA,21%,,
BODY SECRET Brume Parfumée BODY SECRET PASSION LOVE 225ml - Vanille et Coco,1 232 FCFA,https://www.jumia.sn/brume-parfumee-body-secret-passion-love-225ml-vanille-et-coco-body-secret-mpg42978.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/43406/1.jpg?7558,True,2 500 FCFA,51%,4.3 out of 5,(19)
Generic Parfum clive & keira collection rouage 30 ml,5 275 FCFA,https://www.jumia.sn/generic-parfum-clive-keira-collection-rouage-30-ml-9992350.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/32999/1.jpg?4261,False,6 900 FCFA,24%,,
Yves De Sistelle Eau De Toilette - Chairman - 100ml,2 530 FCFA,https://www.jumia.sn/yves-de-sistelle-eau-de-toilette-chairman-100ml-6072074.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/02706/1.jpg?6402,False,,,5 out of 5,(1)
Generic Fresh Perfect - Déodorant Atomiseur -100 ml,1 600 FCFA,https://www.jumia.sn/generic-fresh-perfect-deodorant-atomiseur-100-ml-6055841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/85506/1.jpg?4802,False,,,,
Generic Parfum Monogotas Fraise - 100 ml,1 200 FCFA,https://www.jumia.sn/parfum-monogotas-fraise-100-ml-generic-mpg16945.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/33042/1.jpg?6329,False,,,4.4 out of 5,(7)
SAPHIR Eau de Parfum Saphir_ Prestige Femme -200ml,7 900 FCFA,https://www.jumia.sn/eau-de-parfum-saphir-prestige-femme-200ml-saphir-mpg7619.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/95795/1.jpg?1322,False,8 900 FCFA,11%,3.3 out of 5,(3)
Brut DÉODORANT HOMME SPRAY ORIGINAL 200ML,1 445 FCFA,https://www.jumia.sn/deodorant-homme-spray-original-200ml-brut-mpg25449.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/63849/1.jpg?9533,False,4 500 FCFA,68%,4 out of 5,(5)
Generic Parfum CLASSE clive & keira collection rouage 30 ml,10 000 FCFA,https://www.jumia.sn/generic-parfum-classe-clive-keira-collection-rouage-30-ml-10002935.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/920001/1.jpg?4558,False,23 000 FCFA,57%,,
BODY SECRET Brume Parfumée BODY SECRET LOVE CHARM 70ml - Cerise et Pêche,590 FCFA,https://www.jumia.sn/brume-parfumee-body-secret-love-charm-70ml-cerise-et-peche-body-secret-mpg31210.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/16016/1.jpg?1963,False,,,3.5 out of 5,(4)
Lomani Parfum Lomani Code pour homme - 100 ml,1 870 FCFA,https://www.jumia.sn/parfum-lomani-code-pour-homme-100-ml-lomani-mpg27490.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/66774/1.jpg?6689,False,2 200 FCFA,15%,3.4 out of 5,(27)
Nova Parfum NOVA 95,3 990 FCFA,https://www.jumia.sn/nova-parfum-nova-95-3614851.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/84163/1.jpg?1177,False,,,,
Other Coffret Parfum pour femme - Elite GOLD ORCHID - 100ml + Deodorant 50ml + Porte clé offert,5 000 FCFA,https://www.jumia.sn/coffret-parfum-pour-femme-elite-gold-orchid-100ml-deodorant-50ml-porte-cle-offert-other-mpg37201.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/40298/1.jpg?4571,False,6 000 FCFA,17%,4.3 out of 5,(21)
