name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
3D DECO Déco 3D Cercles - Orange,1 900 FCFA,https://www.jumia.sn/3d-deco-deco-3d-cercles-orange-26055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/062/1.jpg?5086,False,2 250 FCFA,16%,,
White Label Sticker Chaussures avec Papillons,7 000 FCFA,https://www.jumia.sn/white-label-sticker-chaussures-avec-papillons-62836.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/826/1.jpg?6923,False,,,3 out of 5,(1)
White Label Sticker Autocollant fleur - Rouge,7 000 FCFA,https://www.jumia.sn/sticker-autocollant-fleur-rouge-white-label-mpg45985.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/16/1.jpg?7380,False,,,4.7 out of 5,(3)
MAUVILAC Peinture À Eau PREMIUM De Finition Satinée Intérieur/ Extérieur - 1 Kg - Blanc,4 500 FCFA,https://www.jumia.sn/mauvilac-peinture-a-eau-premium-de-finition-satinee-interieur-exterieur-1-kg-blanc-6051494.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/41506/1.jpg?1185,False,,,,
3D DECO Déco 3D Cercles - Noir,1 900 FCFA,https://www.jumia.sn/3d-deco-deco-3d-cercles-noir-26053.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/062/1.jpg?4966,False,2 250 FCFA,16%,5 out of 5,(2)
3D DECO Sticker Femme avec des Papillons,8 500 FCFA,https://www.jumia.sn/3d-deco-sticker-femme-avec-des-papillons-18075.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/081/1.jpg?2684,False,,,,
Generic Papier Peint Mural Décoratif A Effet Brique - 100x45cm - Multicolore,15 955 FCFA,https://www.jumia.sn/generic-papier-peint-mural-decoratif-a-effet-brique-100x45cm-multicolore-510996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/9015/1.jpg?2529,False,31 284 FCFA,49%,,
Generic Sticker 3d Arbre avec cadres photos 144cm x H 175cm,19 500 FCFA,https://www.jumia.sn/generic-sticker-3d-arbre-avec-cadres-photos-144cm-x-h-175cm-9992043.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/02999/1.jpg?1338,False,,,,
Generic Lot de 10 Crochets muraux se colle seul,1 900 FCFA,https://www.jumia.sn/generic-lot-de-10-crochets-muraux-se-colle-seul-9927270.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/27299/1.jpg?2461,False,10 000 FCFA,81%,,
White Label Sticker femme entourée de papillons,7 000 FCFA,https://www.jumia.sn/white-label-sticker-femme-entouree-de-papillons-6041.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/06/1.jpg?9845,False,,,3.6 out of 5,(5)
White Label Sticker fleur verte jaune avec oiseaux,8 500 FCFA,https://www.jumia.sn/white-label-sticker-fleur-verte-jaune-avec-oiseaux-6101021.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/01016/1.jpg?5385,False,,,,
White Label Sticker islamique Allah Mohamet,6 500 FCFA,https://www.jumia.sn/white-label-sticker-islamique-allah-mohamet-14864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/841/1.jpg?3423,False,7 000 FCFA,7%,4.7 out of 5,(3)
White Label Paquet de 12 Stickers Papillons - Mauve double aile,3 000 FCFA,https://www.jumia.sn/white-label-paquet-de-12-stickers-papillons-mauve-double-aile-6071354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/31706/1.jpg?1799,False,,,,
Generic Fleur de Rose Artificielle avec tige,2 190 FCFA,https://www.jumia.sn/generic-fleur-de-rose-artificielle-avec-tige-9829405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/49289/1.jpg?0449,False,5 000 FCFA,56%,,
MAUVILAC Peinture À Eau De Finition Mate Intérieur/ Extérieur - 1 Kg - Blanc,2 200 FCFA,https://www.jumia.sn/mauvilac-peinture-a-eau-de-finition-mate-interieur-exterieur-1-kg-blanc-6051488.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/41506/1.jpg?9925,False,,,5 out of 5,(1)
