name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Nutraline Brûle Graisse Minceur - 100% Bio - 31g,8 000 FCFA,https://www.jumia.sn/nutraline-brule-graisse-minceur-100-bio-31g-5618094.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/08165/1.jpg?6351,False,,,3.4 out of 5,(17)
Generic Pack Grossissant - Huile fenugrec 30ml + Huile kigélia 30ml + Huile Akpi 30ml,3 500 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-30ml-huile-kigelia-30ml-huile-akpi-30ml-generic-mpg43284.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/87116/1.jpg?2291,False,5 000 FCFA,30%,3.7 out of 5,(10)
Generic Appareil ABDO Tummy Trimmer - Noir,3 900 FCFA,https://www.jumia.sn/appareil-abdo-tummy-trimmer-noir-generic-mpg1290.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/27565/1.jpg?1850,False,,,4.3 out of 5,(3)
Generic Pack Grossissant - Huile fenugrec 60 ml+ kigélia 60ml + Akpi 60 ml,3 275 FCFA,https://www.jumia.sn/generic-pack-grossissant-huile-fenugrec-60-ml-kigelia-60ml-akpi-60-ml-6100560.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/50016/1.jpg?1258,False,3 700 FCFA,11%,,
Generic Appareil ABDO Tummy Trimmer,3 900 FCFA,https://www.jumia.sn/generic-appareil-abdo-tummy-trimmer-3284084.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/04823/1.jpg?4612,False,13 000 FCFA,70%,,
Generic Crème naturelle amincissante et brûleur de graisse,6 500 FCFA,https://www.jumia.sn/creme-naturelle-amincissante-et-bruleur-de-graisse-generic-mpg45352.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/65116/1.jpg?3936,False,,,2 out of 5,(3)
Generic Pack Grossissant - Huile fenugrec 30ml + Huile Akpi 30ml,2 300 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-30ml-huile-akpi-30ml-generic-mpg26623.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/56774/1.jpg?6673,False,,,3.8 out of 5,(4)
Generic Pack Grossissant - Huile kigélia 30ml + Huile Akpi 30ml,1 500 FCFA,https://www.jumia.sn/pack-grossissant-huile-kigelia-30ml-huile-akpi-30ml-generic-mpg34772.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/47116/1.jpg?2293,False,3 000 FCFA,50%,2.8 out of 5,(4)
Generic Pack Grossissant - Huile fenugrec 60 ml+ kigélia 60ml + Akpi 60 ml,3 900 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-60-ml-kigelia-60ml-akpi-60-ml-generic-mpg13717.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/71691/1.jpg?1256,False,,,4 out of 5,(7)
Generic Pack Grossissant - Huile fenugrec 60 ml + kigélia 60 ml + Akpi 60 ml,6 490 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-60-ml-kigelia-60-ml-akpi-60-ml-generic-mpg34770.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/40016/1.jpg?9134,False,10 000 FCFA,35%,,
Generic Thé 28 Jours bien-être minceur,10 000 FCFA,https://www.jumia.sn/generic-the-28-jours-bien-etre-minceur-10021669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/612001/1.jpg?2953,False,,,,
Generic Crème amincissante et anti-cellulite bio,9 000 FCFA,https://www.jumia.sn/generic-creme-amincissante-et-anti-cellulite-bio-6115651.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/65116/1.jpg?3148,False,,,5 out of 5,(1)
Generic Pack Grossissant - Huile fenugrec 30ml + Huile Akpi 30ml,3 700 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-30ml-huile-akpi-30ml-generic-mpg11884.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/25089/1.jpg?1596,False,10 000 FCFA,63%,2.7 out of 5,(3)
Generic Pack Grossissant - Huile fenugrec 60 ml+ kigélia 60ml + Akpi 60 ml,4 900 FCFA,https://www.jumia.sn/generic-pack-grossissant-huile-fenugrec-60-ml-kigelia-60ml-akpi-60-ml-10007806.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/870001/1.jpg?2392,False,10 000 FCFA,51%,,
