name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Nasco NASCO - Batteur Sur Socle - HM945B - 2.3 Litres - 200-250W - Blanc,6 900 FCFA,https://www.jumia.sn/nasco-nasco-batteur-sur-socle-hm945b-2.3-litres-200-250w-blanc-9850838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/80589/1.jpg?5600,True,12 000 FCFA,43%,4.1 out of 5,(26)
Nasco Presse Agrume électrique - MIXER_JE3000GS - 30W - 0.5 Litre - Blanc,2 900 FCFA,https://www.jumia.sn/nasco-presse-agrume-electrique-mixerje3000gs-30w-0.5-litre-blanc-9850841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/80589/1.jpg?7366,True,5 000 FCFA,42%,4.1 out of 5,(8)
Nasco Batteur à Main - Hm411 - 250 W - Blanc,3 900 FCFA,https://www.jumia.sn/nasco-batteur-a-main-hm411-250-w-blanc-9850839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/80589/1.jpg?6543,True,7 000 FCFA,44%,4.4 out of 5,(12)
Generic Mixeur 380ml pour smoothie Milk Shake,5 500 FCFA,https://www.jumia.sn/mixeur-380ml-pour-smoothie-milk-shake-generic-mpg14000.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/86606/1.jpg?8695,False,,,4.2 out of 5,(17)
Hot Plate Mini Réchaud Electrique - 500 W,4 000 FCFA,https://www.jumia.sn/mini-rechaud-electrique-500-w-hot-plate-mpg36466.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/25289/1.jpg?8929,False,,,4 out of 5,(1)
Generic Batteur/Mixeur Electrique - 7 Vitesses - 380 Watts,5 500 FCFA,https://www.jumia.sn/generic-batteurmixeur-electrique-7-vitesses-380-watts-104710.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/7401/1.jpg?2869,False,25 000 FCFA,78%,3.8 out of 5,(55)
Generic Batteur Electrique à Main - 150W - Blanc,3 990 FCFA,https://www.jumia.sn/generic-batteur-electrique-a-main-150w-blanc-9096458.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/46909/1.jpg?9571,True,7 824 FCFA,49%,4.5 out of 5,(2)
Scarlett Batteuse Electrique - 7 Vitesses - Blanc,4 200 FCFA,https://www.jumia.sn/scarlett-batteuse-electrique-7-vitesses-blanc-10023546.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/532001/1.jpg?9308,False,6 000 FCFA,30%,,
"Machine 4 en 1 à Panini et Croque-monsieur en Acier Inoxydable, 750W, Noir - CA820857",19 900 FCFA,https://www.jumia.sn/cac-machine-4-en-1-a-panini-et-croque-monsieur-en-acier-inoxydable-750w-noir-ca820857-5926718.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/76295/1.jpg?4134,False,45 080 FCFA,56%,4 out of 5,(45)
Generic Thermos Isotherme à chaud - 2 Litres - Inox noirs saine et naturelle.,6 299 FCFA,https://www.jumia.sn/thermos-isotherme-a-chaud-2-litres-inox-noirs-saine-et-naturelle.-generic-mpg29487.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/48289/1.jpg?3513,False,9 899 FCFA,36%,4 out of 5,(5)
Generic Machine à café électrique & Machine à petit-déjeuner électrique (poêle à frire mini four) - Multifonction 3 en 1 - 12Litres - 1250w,39 900 FCFA,https://www.jumia.sn/generic-machine-a-cafe-electrique-machine-a-petit-dejeuner-electrique-poele-a-frire-mini-four-multifonction-3-en-1-12litres-1250w-5977988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/97795/1.jpg?2516,False,47 880 FCFA,17%,3.4 out of 5,(10)
Geepas Batteuse Electrique - 7 Vitesses - 120 W - Blanc,5 500 FCFA,https://www.jumia.sn/batteuse-electrique-7-vitesses-120-w-blanc-geepas-mpg25920.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/84022/1.jpg?4778,False,9 500 FCFA,42%,3.9 out of 5,(64)
Generic Mini Four electrique a micro-onde 12 Litres - 220 voltes,20 000 FCFA,https://www.jumia.sn/mini-four-electrique-a-micro-onde-12-litres-220-voltes-generic-mpg45520.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/11388/1.jpg?3670,False,26 000 FCFA,23%,4 out of 5,(2)
Generic Friteuse Électrique Avec Paniers À Friture,27 800 FCFA,https://www.jumia.sn/generic-friteuse-electrique-avec-paniers-a-friture-9993097.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/03999/1.jpg?2865,False,57 000 FCFA,51%,,
Generic bouilloire avec thermos 2 litres CA820671,9 900 FCFA - 15 900 FCFA,https://www.jumia.sn/generic-bouilloire-avec-thermos-2-litres-ca820671-9844895.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/84489/1.jpg?9281,False,20 000 FCFA,51%,,
Generic Hachoir Eletrique Viande Poisson et Oignon,7 500 FCFA,https://www.jumia.sn/hachoir-eletrique-viande-poisson-et-oignon-generic-mpg28762.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/22606/1.jpg?2727,False,25 000 FCFA,70%,3.3 out of 5,(4)
"Generic Presse-fruits Manuel en Acier Inoxydable avec Pince à Citron, Presse-agrumes 12 trous - Argenté",6 000 FCFA,https://www.jumia.sn/presse-fruits-manuel-en-acier-inoxydable-avec-pince-a-citron-presse-agrumes-12-trous-argente-generic-mpg43326.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/93219/1.jpg?8036,False,15 000 FCFA,60%,4.1 out of 5,(7)
Autre hachoir électrique de viande et de poisson avec 3 coup différent,26 000 FCFA,https://www.jumia.sn/hachoir-electrique-de-viande-et-de-poisson-avec-3-coup-different-autre-mpg46006.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/98216/1.jpg?8850,False,40 000 FCFA,35%,4.5 out of 5,(2)
Autre Chipper de pommes de terre,6 900 FCFA,https://www.jumia.sn/chipper-de-pommes-de-terre-autre-mpg30939.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/85229/1.jpg?7718,False,,,,
White Label Batteuse Electrique - 7 Vitesses - Blanc Gris,4 999 FCFA,https://www.jumia.sn/batteuse-electrique-7-vitesses-blanc-gris-white-label-mpg27700.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/63353/1.jpg?7222,False,,,3.7 out of 5,(13)
Generic Label Batteuse Electrique sur Socle - 7 Vitesses - Inox,10 000 FCFA,https://www.jumia.sn/batteuse-electrique-inox-welcom-et-autres-mpg20834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/27706/1.jpg?4150,False,25 000 FCFA,60%,3.9 out of 5,(12)
White Label Mini Réchaud Electrique - 500 W,4 000 FCFA,https://www.jumia.sn/mini-rechaud-electrique-500-w-white-label-mpg43678.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/77606/1.jpg?0012,False,,,3.6 out of 5,(8)
Generic Mug Bouilloire pour Voiture - 300 ml - 12 v - Inox,3 750 FCFA,https://www.jumia.sn/mug-bouilloire-pour-voiture-300-ml-12-v-inox-generic-mpg13370.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/03788/1.jpg?2812,False,7 000 FCFA,46%,3 out of 5,(4)
Techwood Spécial Grille Pain/Baguettes-Techwood,35 010 FCFA,https://www.jumia.sn/techwood-special-grille-painbaguettes-techwood-9832790.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/72389/1.jpg?5562,False,50 000 FCFA,30%,,
Sokany Four Machine à petit-déjeuner 3 en 1,35 900 FCFA,https://www.jumia.sn/four-machine-a-petit-dejeuner-3-en-1-sokany-mpg37877.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/35489/1.jpg?6101,False,,,4 out of 5,(5)
Generic Thermos GRIS NOIR 1.9 LITRES,5 949 FCFA,https://www.jumia.sn/thermos-isotherme-a-chaud-1.9-litres-inox-noirs-saine-et-naturelle.-generic-mpg45667.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/13489/1.jpg?4720,False,19 899 FCFA,70%,,
Generic Black Pear - Blender Mixeur 3 en 1 - 800 W - Inox,13 500 FCFA,https://www.jumia.sn/black-pear-blender-mixeur-3-en-1-800-w-inox-generic-mpg16248.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/25732/1.jpg?9815,False,15 000 FCFA,10%,3.9 out of 5,(18)
Generic Hachoir Viande et Oignon Electrique - 250W Capacité 2 L Incassable,9 700 FCFA,https://www.jumia.sn/generic-hachoir-viande-et-oignon-electrique-250w-capacite-2-l-incassable-9849032.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/09489/1.jpg?8232,False,,,,
Autre Mixeur Multi-Fonctions - 1.5 L - Gris,18 500 FCFA,https://www.jumia.sn/autre-mixeur-multi-fonctions-1.5-l-gris-8873017.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/03788/1.jpg?2812,False,35 000 FCFA,47%,,
