name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Ea Fifa 22 - Jeu PS4 - Version Française,24 900 FCFA,https://www.jumia.sn/ea-fifa-22-jeu-ps4-version-francaise-9344380.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/34439/1.jpg?5825,True,60 000 FCFA,59%,4.3 out of 5,(39)
Rockstar Games Grand Theft Auto V GTA 5 - EDITION PREMIUM - Jeu PS4,14 900 FCFA,https://www.jumia.sn/grand-theft-auto-v-gta-5-edition-premium-jeu-ps4-rockstar-games-mpg37461.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/901/1.jpg?1756,True,45 000 FCFA,67%,4.3 out of 5,(65)
Sony Manette PS4 DUALSHOCK 4 - Noir,10 300 FCFA,https://www.jumia.sn/sony-manette-ps4-dualshock-4-noir-9998553.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/58999/1.jpg?1401,False,20 000 FCFA,49%,3 out of 5,(1)
EA Sports FIFA 22 Ps4,45 000 FCFA,https://www.jumia.sn/fifa-22-ps4-ea-sports-mpg31447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/93379/1.jpg?4718,False,78 000 FCFA,42%,4.5 out of 5,(10)
Generic RM-L1162 Universal Portable Remote Ontroller Ontrol For Te Ion TV-Black,7 370 FCFA,https://www.jumia.sn/generic-rm-l1162-universal-portable-remote-ontroller-ontrol-for-te-ion-tv-black-9280460.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/40829/1.jpg?8919,False,14 740 FCFA,50%,,
Generic Mini Console Game Hine Children's Handheld Nostalgic Game Hine-yellow,23 040 FCFA,https://www.jumia.sn/generic-mini-console-game-hine-childrens-handheld-nostalgic-game-hine-yellow-9281124.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/11829/1.jpg?8893,False,46 080 FCFA,50%,,
Sony MANETTE DUALSHOCK 4 PS4,9 900 FCFA,https://www.jumia.sn/manette-ps4-dualshock-4-noir-sony-mpg37900.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/41979/1.jpg?5825,False,24 000 FCFA,59%,3.5 out of 5,(51)
Generic 0.5M-10M Aluminum Able To Mini V1.4 HD 3D HDTV Adapter Set-Black-1.8M,19 320 FCFA,https://www.jumia.sn/generic-0.5m-10m-aluminum-able-to-mini-v1.4-hd-3d-hdtv-adapter-set-black-1.8m-9281186.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/11829/1.jpg?8918,False,38 640 FCFA,50%,,
Nintendo Pokémon Perle Scintillante - Jeu Nintendo Switch,42 000 FCFA,https://www.jumia.sn/nintendo-pokemon-perle-scintillante-jeu-nintendo-switch-9764072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/04679/1.jpg?7031,False,45 000 FCFA,7%,5 out of 5,(2)
Sony FIFA 20 - PS4 - Edition Standard,16 900 FCFA,https://www.jumia.sn/fifa-20-ps4-edition-standard-sony-mpg37898.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/09639/1.jpg?8490,False,,,2 out of 5,(2)
Sony The Witcher 3 Game of the year edition - PS4,20 000 FCFA,https://www.jumia.sn/the-witcher-3-game-of-the-year-edition-ps4-sony-mpg37909.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/19639/1.jpg?8490,False,25 000 FCFA,20%,4 out of 5,(2)
Sony Lego The Incredibles- PS4,13 920 FCFA,https://www.jumia.sn/lego-the-incredibles-ps4-sony-mpg37899.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/19639/1.jpg?8491,False,24 900 FCFA,44%,,
Konami CD Jeu PS4 Football 2020 - Bleu,45 000 FCFA,https://www.jumia.sn/cd-jeu-ps4-football-2020-bleu-konami-mpg36763.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/28629/1.jpg?8036,False,,,5 out of 5,(3)
Sony MANETTE DUALSHOCK 4 PS4 NOIR,10 225 FCFA,https://www.jumia.sn/sony-manette-dualshock-4-ps4-noir-9998890.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/88999/1.jpg?6913,False,24 000 FCFA,57%,,
Generic Housse de protection anti-poussière pour console Playstation 5 + stockage manette ps5,17 900 FCFA,https://www.jumia.sn/generic-housse-de-protection-anti-poussiere-pour-console-playstation-5-stockage-manette-ps5-9992128.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/12999/1.jpg?1340,False,40 000 FCFA,55%,,
Sony Pallette Sony Dualshock 4 Suport de Fixation dorsale pour Manette PS4,14 900 FCFA,https://www.jumia.sn/sony-pallette-sony-dualshock-4-suport-de-fixation-dorsale-pour-manette-ps4-6176991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/96716/1.jpg?7737,False,30 000 FCFA,50%,5 out of 5,(2)
stamps4schools MANETTE DUALSHOCK 4 PS4,13 000 FCFA,https://www.jumia.sn/stamps4schools-manette-dualshock-4-ps4-9902434.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/42099/1.jpg?8698,False,35 000 FCFA,63%,,
"Generic Chargeur de manette PS4, support de station d'accueil pour manette PS4",19 900 FCFA,https://www.jumia.sn/generic-chargeur-de-manette-ps4-support-de-station-daccueil-pour-manette-ps4-9992126.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/12999/1.jpg?1340,False,40 000 FCFA,50%,,
Sony Manette PS4 DUALSHOCK 4 - Bleu,12 500 FCFA,https://www.jumia.sn/sony-manette-ps4-dualshock-4-bleu-9977649.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/67799/1.jpg?4456,False,22 000 FCFA,43%,3 out of 5,(1)
"Generic Chargeur de manette PS5, support de station d'accueil pour manette PS5",19 900 FCFA,https://www.jumia.sn/generic-chargeur-de-manette-ps5-support-de-station-daccueil-pour-manette-ps5-9992125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/12999/1.jpg?1340,False,40 000 FCFA,50%,,
Capcom Résident évil village ps5,40 000 FCFA,https://www.jumia.sn/capcom-resident-evil-village-ps5-9926570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/56299/1.jpg?1054,False,42 000 FCFA,5%,,
Capcom Résident évil village ps4,42 000 FCFA,https://www.jumia.sn/capcom-resident-evil-village-ps4-9926569.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/56299/1.jpg?1054,False,,,,
