name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Madar Nettoyant Multi-Usage - Citron - 900ML,750 FCFA,https://www.jumia.sn/nettoyant-multi-usage-citron-900ml-madar-mpg30735.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/22788/1.jpg?7339,True,790 FCFA,5%,4.5 out of 5,(27)
Madar Eau de Javel - 1L,380 FCFA,https://www.jumia.sn/madar-eau-de-javel-1l-8872307.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/32788/1.jpg?3452,True,390 FCFA,3%,4.3 out of 5,(16)
Madar Nettoyant Multi-Usage Citron - 225ML,225 FCFA,https://www.jumia.sn/madar-nettoyant-multi-usage-citron-225ml-9973935.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/93799/1.jpg?3275,True,240 FCFA,6%,,
Generic Serpillière Multicolore,430 FCFA,https://www.jumia.sn/generic-serpilliere-multicolore-9774404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/44779/1.jpg?2804,True,,,4 out of 5,(7)
Europa Balai Moquette + Manche,1 200 FCFA,https://www.jumia.sn/europa-balai-moquette-manche-9790349.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/30979/1.jpg?0082,True,,,4 out of 5,(1)
Generic Balai Raclette Sol GMx 55 Cm + Manche,1 450 FCFA,https://www.jumia.sn/generic-balai-raclette-sol-gmx-55-cm-manche-9790351.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/30979/1.jpg?6657,True,,,2.5 out of 5,(2)
Noura Acide Chloridrique Flash 1L,350 FCFA,https://www.jumia.sn/noura-acide-chloridrique-flash-1l-9973940.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/93799/1.jpg?2939,True,390 FCFA,10%,4 out of 5,(1)
Madar Eau de Javel – 5L,1 600 FCFA,https://www.jumia.sn/madar-eau-de-javel-5l-9973939.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/93799/1.jpg?3064,True,1 680 FCFA,5%,5 out of 5,(1)
Armonia Eau de Javel - 5 Litres,1 520 FCFA,https://www.jumia.sn/armonia-eau-de-javel-5-litres-9370264.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/20739/1.jpg?0086,True,,,5 out of 5,(4)
Madar Nettoyant Lave Vitres - 1L,700 FCFA,https://www.jumia.sn/madar-nettoyant-lave-vitres-1l-8872423.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/42788/1.jpg?6517,True,,,4.8 out of 5,(6)
Generic Balai Tête De Loup Boule + Manche Telescopique,1 450 FCFA,https://www.jumia.sn/generic-balai-tete-de-loup-boule-manche-telescopique-9790355.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/30979/1.jpg?1365,True,,,4.7 out of 5,(3)
Armonia Nettoyant Bois - 750ML,540 FCFA,https://www.jumia.sn/armonia-nettoyant-bois-750ml-9370274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/20739/1.jpg?8199,True,,,4.5 out of 5,(6)
Generic Balai Raclette Vitre + Manche,760 FCFA,https://www.jumia.sn/generic-balai-raclette-vitre-manche-9790353.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/30979/1.jpg?6751,True,,,4 out of 5,(4)
Generic Serpillière Blanche,430 FCFA,https://www.jumia.sn/generic-serpilliere-blanche-9774403.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/44779/1.jpg?2786,True,,,3.8 out of 5,(8)
Choc Poudre À Récurer Javellisant - 500G,820 FCFA,https://www.jumia.sn/choc-poudre-a-recurer-javellisant-500g-9785154.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/15879/1.jpg?5582,True,,,4 out of 5,(2)
FRESHY Savon Liquide Lave Main FRESHY Citron 475ML,695 FCFA,https://www.jumia.sn/freshy-savon-liquide-lave-main-freshy-citron-475ml-6043449.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/43406/1.jpg?1103,True,900 FCFA,23%,4.5 out of 5,(6)
Gondola Balai Avec Manche,1 070 FCFA,https://www.jumia.sn/gondola-balai-avec-manche-9790350.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/30979/1.jpg?2034,True,,,3 out of 5,(1)
Generic SEAU avec robinet 50l,6 800 FCFA,https://www.jumia.sn/generic-seau-avec-robinet-50l-5011369.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/31105/1.jpg?2639,False,10 000 FCFA,32%,5 out of 5,(1)
Stella Eponge Vaisselle,360 FCFA,https://www.jumia.sn/stella-eponge-vaisselle-9753820.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/83579/1.jpg?1588,True,,,4 out of 5,(1)
Arix Eponge Carre Vert Abrasif x 5,530 FCFA,https://www.jumia.sn/arix-eponge-carre-vert-abrasif-x-5-9790340.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/30979/1.jpg?0761,True,,,5 out of 5,(1)
Generic Serpillière plate avec seau et tampons en microfibre lavables pour système professionnel de nettoyage des sols de la maison,15 979 FCFA,https://www.jumia.sn/generic-serpilliere-plate-avec-seau-et-tampons-en-microfibre-lavables-pour-systeme-professionnel-de-nettoyage-des-sols-de-la-maison-10000721.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/700001/1.jpg?1500,False,35 000 FCFA,54%,,
Madar Eau de Javel – 250ML,160 FCFA,https://www.jumia.sn/madar-eau-de-javel-250ml-9973938.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/93799/1.jpg?3076,True,,,,
Generic Balai Magique et Seau essoreuse 360°,8 390 FCFA,https://www.jumia.sn/balai-magique-et-seau-essoreur-360-generic-mpg1337.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/36089/1.jpg?0121,False,9 700 FCFA,14%,3.7 out of 5,(3)
Stella Mop Set (Seau+Mop+Manche) Tpf Assortie 12L,2 720 FCFA,https://www.jumia.sn/stella-mop-set-seaumopmanche-tpf-assortie-12l-9753834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/83579/1.jpg?0976,True,,,5 out of 5,(2)
White Label Panier à Linge - 63 Litres - CA820414,4 500 FCFA,https://www.jumia.sn/white-label-panier-a-linge-63-litres-ca820414-33613.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/633/1.jpg?5463,False,18 000 FCFA,75%,4.3 out of 5,(4)
Generic Pelle / Balayette PVC avec Bord - Petit Modèle,2 500 FCFA,https://www.jumia.sn/pelle-balayette-pvc-avec-bord-petit-modele-generic-mpg20281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/68043/1.jpg?1369,False,,,,
Generic Senteur Concentré pour WC FORESAN - 125 ml,2 168 FCFA,https://www.jumia.sn/senteur-concentre-pour-wc-foresan-125-ml-generic-mpg35385.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/88389/1.jpg?5876,False,15 000 FCFA,86%,4 out of 5,(1)
Generic Colorant Bleu Pour Ménage 8g,15 FCFA,https://www.jumia.sn/generic-colorant-bleu-pour-menage-8g-9774402.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/44779/1.jpg?9136,True,,,,
York Balai+Manche En Bois Laura,2 360 FCFA,https://www.jumia.sn/york-balaimanche-en-bois-laura-9753839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/83579/1.jpg?2004,True,,,,
