name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
SMART TECHNOLOGY Machine à Café + 2 tasses - 0.24L -STPE-1202C - 450W - Noir,9 900 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-2-tasses-0.24l-stpe-1202c-450w-noir-9902214.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/22099/1.jpg?7867,True,15 000 FCFA,34%,3.4 out of 5,(65)
SMART TECHNOLOGY Machine à Café - 0.6L -STPE-1707C - 550W - Noir,10 600 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-0.6l-stpe-1707c-550w-noir-9902213.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/22099/1.jpg?7868,True,18 000 FCFA,41%,4.4 out of 5,(14)
SMART TECHNOLOGY Machine à Café - 0.6L -STPE-1707C - 550W - Noir,11 200 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-0.6l-stpe-1707c-550w-noir-9959364.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/39599/1.jpg?6590,True,18 000 FCFA,38%,3.5 out of 5,(2)
Generic Extracteur de Jus Electrique Noir Gris,24 900 FCFA,https://www.jumia.sn/extracteur-de-jus-electrique-noir-gris-generic-mpg20152.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/00946/1.jpg?2939,False,,,3.3 out of 5,(3)
"SMART TECHNOLOGY Machine à café capsules Expresso STPE-787C compatible avec les capsules nespresso - Capacité 0,8L - Puissance 1260W",63 900 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-capsules-expresso-stpe-787c-compatible-avec-les-capsules-nespresso-capacite-08l-puissance-1260w-9902212.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/22099/1.jpg?7867,True,100 000 FCFA,36%,,
Autre Machine à Café HG-123 - 1.5 Litre - 750 W - Noir,16 800 FCFA,https://www.jumia.sn/autre-machine-a-cafe-hg-123-1.5-litre-750-w-noir-9794728.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/74979/1.jpg?3954,False,,,,
Machine a Café 0.75 litres HAEGER Inox - 220-240V 50/60Hz - 650 W. - Noir,15 860 FCFA,https://www.jumia.sn/machine-a-cafe-0.75-litres-haeger-inox-220-240v-5060hz-650-w.-noir-haeger-mpg24640.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/28516/1.jpg?8675,False,23 000 FCFA,31%,4 out of 5,(48)
Nespresso Machine à Café Nespresso - Noir + 100 CAPSULES OFFERTES,80 000 FCFA,https://www.jumia.sn/machine-a-cafe-nespresso-noir-cafe-royal-mpg45173.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/40872/1.jpg?9745,True,,,4.2 out of 5,(13)
Generic Machine à Café - 1.5 Litre - 800 W - Noir,16 900 FCFA,https://www.jumia.sn/machine-a-cafe-1.5-litre-800-w-noir-generic-mpg26490.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/68023/1.jpg?9145,False,26 000 FCFA,35%,3 out of 5,(1)
"Moulinex Machine Cafetière UNO - Moulinex - noire 12 tasses - 1,5 L - 800 W - Noir",25 900 FCFA,https://www.jumia.sn/moulinex-machine-cafetiere-uno-moulinex-noire-12-tasses-15-l-800-w-noir-5757798.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/77575/1.jpg?4725,False,,,5 out of 5,(2)
